peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K9me3_Rep1_S1	Naive_P14_Day30_H3K9me3_Rep2_S2	Naive_P14_Day30_H3K9me3_Rep3_S1	Naive_P14_Day30_H3K9me3_Rep4_S2	Naive_P14_Day32_H3K9me3_Rep1_S5	Naive_P14_Day32_H3K9me3_Rep2_S6	Naive_P14_Day32_H3K9me3_Rep3_S7	Naive_P14_Day32_H3K9me3_Rep4_S8	Arm_P14_Day30_H3K9me3_Rep1_S3	Arm_P14_Day30_H3K9me3_Rep2_S4	Arm_P14_Day30_H3K9me3_Rep3_S1	Arm_P14_Day30_H3K9me3_Rep4_S2	Cl13_P14_Day32_H3K9me3_Rep1_S5	Cl13_P14_Day32_H3K9me3_Rep2_S6	Cl13_P14_Day32_H3K9me3_Rep3_S7	Cl13_P14_Day32_H3K9me3_Rep4_S8
peak6626	chr5	25881616	27613944	.	1732329	24394.97	23994.58	24008.05	24375.13	25072.06	24829.22	25246.8	24820.89	21247.38	20970.33	21102.19	21212.67	18018.54	19111.86	19780.45	18981.95
peak6627	chr5	27628031	27631729	.	3699	38.43	40.95	35.89	20.33	29.86	28.02	34.79	26.51	26.96	21.88	20.8	23.04	13.59	16.39	13.07	11.31
peak6628	chr5	27634743	27645941	.	11199	102.49	89.9	81.58	89.8	81.43	81.42	79.14	81.94	55.14	61.46	74.64	58.74	47.55	60.1	52.27	45.23
peak6629	chr5	27660794	27665614	.	4821	32.45	24.92	15.5	22.03	20.81	32.39	27.83	22.49	25.73	21.88	19.58	23.04	5.66	14.21	19.01	16.96
peak6630	chr5	27866336	27872319	.	5984	70.03	62.31	70.97	53.37	62.43	67.42	77.4	77.92	66.17	66.67	70.96	66.8	57.74	66.66	51.08	73.5
peak6631	chr5	27901564	27920803	.	19240	171.66	186.04	167.23	173.68	161.95	167.23	160.9	196.81	105.38	89.59	94.21	117.48	93.98	85.23	108.11	94.99
peak6632	chr5	27924123	27927171	.	3049	23.91	38.28	38.34	24.57	28.95	28.02	24.35	34.54	18.38	12.5	18.35	17.28	11.32	14.21	16.63	7.92
peak6633	chr5	27957420	27963025	.	5606	32.45	32.04	24.47	29.65	19.9	26.27	26.09	24.9	12.25	12.5	14.68	17.28	12.45	18.58	14.26	11.31
peak6634	chr5	27981601	27991120	.	9520	74.3	68.54	60.37	85.57	85.95	75.3	72.19	87.56	85.77	76.04	77.08	74.87	82.65	86.33	74.84	83.68
peak6635	chr5	28024823	28029824	.	5002	70.89	68.54	66.08	86.42	76	54.28	73.93	73.1	26.96	35.42	34.26	27.64	43.03	31.69	32.08	41.84
peak6636	chr5	28224139	28228183	.	4045	55.51	50.74	37.53	49.14	52.47	33.27	59.14	54.63	28.18	34.38	31.81	32.25	26.04	30.6	26.14	29.4
peak6637	chr5	28431549	28436306	.	4758	45.26	42.73	47.31	55.07	45.24	49.03	51.31	54.63	47.79	33.33	41.6	38.01	38.5	53.54	34.45	40.71
peak6638	chr5	28441120	28446919	.	5800	90.53	84.56	79.95	66.08	86.85	70.92	101.76	81.94	83.32	86.46	74.64	87.54	92.84	86.33	93.85	85.94
peak6639	chr5	28483549	28491413	.	7865	85.4	93.46	91.37	82.18	98.62	91.93	71.32	87.56	72.3	81.25	80.75	86.38	76.99	85.23	74.84	71.24
peak6640	chr5	28507419	28516795	.	9377	103.34	114.83	103.6	122	115.81	102.44	124.37	92.38	84.55	92.71	96.66	103.66	93.98	93.97	81.97	97.25
peak6641	chr5	28535919	28549542	.	13624	111.03	126.4	93	105.9	90.47	98.06	105.23	85.15	79.65	76.04	68.52	104.81	61.14	55.73	61.78	66.72
peak6642	chr5	28563502	29022506	.	459005	4469.22	4482.74	4439.41	4512.25	4727.25	4633.32	4797.32	4711.45	3671.12	3579.26	3718.3	3938	2099.18	2091.49	2453.25	2106.72
peak6643	chr5	29024880	29027153	.	2274	23.06	22.25	17.95	22.87	17.19	19.26	25.22	18.48	9.8	16.67	17.13	12.67	4.53	6.56	9.5	4.52
peak6644	chr5	29033118	29083933	.	50816	562.82	529.63	502.51	511.72	555.51	507.81	545.31	522.16	370.05	360.43	335.25	359.36	262.68	254.61	278	248.78
peak6645	chr5	29087863	29115461	.	27599	257.92	234.11	230.05	219.43	214.42	210.13	226.99	231.36	110.28	93.75	133.36	134.76	61.14	79.77	86.73	71.24
peak6646	chr5	29150975	29155655	.	4681	29.89	33.83	31	31.35	33.48	40.27	41.75	35.35	13.48	17.71	17.13	14.97	7.93	10.93	17.82	18.09
peak6647	chr5	29168846	29183964	.	15119	152.02	145.09	135.42	136.4	148.38	139.21	157.42	129.33	122.53	120.84	126.02	127.85	115.49	115.83	119.99	115.34
peak6648	chr5	29265670	29267467	.	1798	17.08	13.35	15.5	18.64	15.38	18.39	13.05	15.26	15.93	15.63	18.35	11.52	11.32	21.85	16.63	9.05
peak6649	chr5	29302990	29306793	.	3804	34.16	31.15	39.97	33.04	33.48	34.15	34.79	30.53	15.93	13.54	9.79	17.28	26.04	29.5	19.01	24.88
peak6650	chr5	29349856	29357233	.	7378	58.93	80.11	88.1	88.96	79.62	81.42	82.62	88.36	75.97	75	75.86	88.69	95.11	72.12	81.97	90.47
peak6652	chr5	29540018	29543424	.	3407	28.18	16.91	17.13	25.42	28.05	19.26	25.22	20.89	17.15	19.79	17.13	14.97	14.72	16.39	27.32	20.35
peak6653	chr5	29592495	29593991	.	1497	26.48	16.02	31	21.18	28.05	35.9	29.57	22.49	22.06	23.96	26.92	26.49	20.38	32.78	26.14	32.79
peak6654	chr5	29679392	29682751	.	3360	30.75	25.81	29.37	27.11	35.28	30.64	23.48	36.15	26.96	35.42	29.36	41.46	27.17	37.15	41.58	37.32
peak6655	chr5	29722556	29724510	.	1955	21.35	19.58	13.87	23.72	19	28.89	16.52	14.46	18.38	23.96	24.47	10.37	23.78	29.5	15.44	20.35
peak6657	chr5	29812605	29815407	.	2803	31.6	32.94	29.37	33.89	41.62	38.52	37.4	27.31	19.61	25	19.58	16.13	27.17	28.41	21.38	27.14
peak6658	chr5	29911660	29913310	.	1651	16.23	22.25	12.24	11.01	21.71	14.88	20.87	12.85	12.25	14.58	17.13	12.67	10.19	9.83	15.44	11.31
peak6659	chr5	29914300	29924142	.	9843	73.45	85.45	70.16	97.43	82.33	77.05	105.23	97.2	122.53	118.75	122.35	123.24	184.56	172.65	135.43	177.54
peak6660	chr5	29974007	29979545	.	5539	20.5	19.58	17.95	20.33	22.62	18.39	20	25.71	24.51	23.96	17.13	24.19	21.51	27.32	21.38	28.27
peak6662	chr5	30044912	30047358	.	2447	7.69	3.56	7.34	6.78	4.52	7	11.31	8.84	22.06	19.79	9.79	20.73	30.57	17.48	21.38	16.96
peak6663	chr5	30050287	30056548	.	6262	71.74	64.09	75.87	66.93	62.43	77.92	73.93	77.92	64.94	62.5	52.61	69.11	80.39	54.64	65.34	64.46
peak6665	chr5	30223115	30229871	.	6757	103.34	95.24	100.34	122	102.24	110.32	101.76	93.99	111.51	131.25	134.59	115.18	126.81	150.8	148.5	147.01
peak6667	chr5	30283406	30286072	.	2667	13.66	19.58	20.39	22.03	28.95	24.51	14.79	20.89	25.73	13.54	22.02	11.52	28.31	32.78	20.2	28.27
peak6668	chr5	30561018	30562628	.	1611	23.06	34.72	22.03	32.19	38	36.77	30.44	26.51	12.25	9.38	12.24	10.37	19.25	19.67	23.76	18.09
peak6669	chr5	30659483	30662518	.	3036	35.02	38.28	35.89	34.74	30.76	39.4	40.01	37.76	33.08	45.83	42.82	36.86	45.29	75.4	55.84	73.5
peak6670	chr5	30693665	30696005	.	2341	19.64	20.47	17.13	25.42	20.81	19.26	18.26	16.87	20.83	23.96	19.58	26.49	18.12	30.6	22.57	30.53
peak6671	chr5	30758423	30761759	.	3337	25.62	18.69	26.1	11.01	23.52	31.52	23.48	28.12	37.99	37.5	39.15	26.49	29.44	31.69	36.83	35.06
peak6673	chr5	31112707	31115986	.	3280	34.16	25.81	31.81	27.11	39.81	34.15	25.22	23.3	25.73	25	36.71	31.1	23.78	34.97	26.14	23.75
peak6674	chr5	31235774	31237716	.	1943	5.12	7.12	7.34	3.39	3.62	7	2.61	7.23	11.03	10.42	9.79	13.82	27.17	14.21	20.2	20.35
peak6675	chr5	31317299	31324490	.	7192	35.87	49.85	42.42	44.9	38.9	26.27	36.53	40.97	31.86	46.88	41.6	32.25	39.63	57.91	28.51	35.06
peak6676	chr5	31327933	31337953	.	10021	142.63	153.1	144.39	149.11	194.52	194.37	202.64	179.14	226.69	203.13	198.21	193.5	271.74	295.04	256.61	278.18
peak6677	chr5	31342944	31348383	.	5440	43.56	37.39	37.53	38.97	55.19	48.15	45.22	45.79	29.41	33.33	39.15	42.62	48.69	44.8	45.14	31.66
peak6678	chr5	31364959	31367430	.	2472	28.18	23.14	31	27.11	28.95	20.14	28.7	28.12	25.73	33.33	33.04	31.1	47.55	39.34	39.2	38.45
peak6679	chr5	31388419	31398398	.	9980	181.91	165.57	192.52	204.18	226.18	178.61	192.21	180.75	156.84	159.38	162.73	160.1	226.45	228.38	167.51	175.28
peak6680	chr5	31418044	31424694	.	6651	42.7	32.94	34.26	28.81	33.48	26.27	43.49	28.12	40.44	42.71	34.26	33.4	41.89	48.08	36.83	38.45
peak6681	chr5	31434973	31440904	.	5932	60.64	55.19	70.16	60.15	48.86	53.41	60.01	61.05	56.37	54.17	57.51	63.35	49.82	33.87	60.59	45.23
peak6682	chr5	31588328	31591340	.	3013	7.69	7.12	6.53	11.86	7.24	4.38	4.35	4.82	12.25	6.25	6.12	9.21	14.72	18.58	26.14	19.22
peak6683	chr5	31652789	31656804	.	4016	5.12	16.91	12.24	7.62	13.57	5.25	10.44	12.05	18.38	16.67	9.79	13.82	30.57	14.21	21.38	15.83
peak6685	chr5	31736550	31738002	.	1453	16.23	14.24	13.87	19.49	17.19	14.01	10.44	15.26	13.48	11.46	14.68	6.91	6.79	7.65	13.07	12.44
peak6686	chr5	31833371	31835663	.	2293	22.21	21.36	29.37	22.03	31.67	40.27	27.83	28.92	39.21	47.92	51.39	43.77	60.01	40.43	45.14	42.97
peak6687	chr5	31848013	31851609	.	3597	12.81	19.58	23.66	24.57	21.71	25.39	18.26	19.28	18.38	10.42	13.46	23.04	16.98	7.65	24.95	21.49
peak6689	chr5	31988983	31994509	.	5527	75.16	56.97	80.76	77.94	48.86	82.3	77.4	84.35	104.15	77.09	75.86	88.69	67.93	88.51	84.35	68.98
peak6694	chr5	32522778	32527776	.	4999	39.29	48.96	31.81	31.35	51.57	44.65	33.92	44.99	53.91	41.67	37.93	33.4	33.97	40.43	33.26	47.49
peak6695	chr5	32532542	32540886	.	8345	64.91	85.45	72.6	66.08	78.71	59.54	60.88	65.07	83.32	86.46	62.4	88.69	96.24	80.86	78.41	72.37
peak6696	chr5	32579353	32585302	.	5950	82.84	98.81	97.08	98.28	104.95	91.06	115.67	109.25	67.39	31.25	45.27	42.62	60.01	63.38	57.02	74.63
peak6697	chr5	32598943	32600097	.	1155	19.64	22.25	13.05	23.72	19	16.64	21.74	23.3	14.7	10.42	8.56	5.76	7.93	6.56	7.13	7.92
peak6698	chr5	32629659	32631507	.	1849	16.23	13.35	20.39	11.01	17.19	10.51	19.13	10.44	15.93	18.75	31.81	24.19	20.38	21.85	23.76	20.35
peak6699	chr5	32671786	32680691	.	8906	61.49	58.75	58.74	49.99	50.67	73.54	52.18	66.68	69.84	69.79	68.52	77.17	75.86	65.56	67.72	76.9
peak6700	chr5	32699636	32704734	.	5099	61.49	56.08	58.74	61.85	60.62	57.79	56.53	63.46	49.01	52.08	51.39	39.16	43.03	52.45	43.96	39.58
peak6701	chr5	32711913	32741961	.	30049	272.44	231.44	286.33	264.33	257.85	216.26	264.39	245.01	286.73	295.84	303.43	284.49	334.01	344.21	375.41	370.91
peak6703	chr5	33059273	33066151	.	6879	97.36	100.59	92.18	99.12	123.95	98.06	93.06	98	49.01	66.67	56.28	67.96	58.88	56.82	61.78	73.5
peak6704	chr5	33172478	33175450	.	2973	74.3	81.89	77.5	86.42	76.9	84.93	80.88	73.91	33.08	36.46	35.48	36.86	31.7	42.62	28.51	29.4
peak6705	chr5	33183988	33191237	.	7250	46.12	36.5	32.63	31.35	37.09	37.65	35.66	41.77	33.08	32.29	39.15	32.25	38.5	34.97	40.39	50.89
peak6707	chr5	33325922	33334962	.	9041	90.53	77.44	70.16	83.87	68.76	88.43	71.32	89.97	102.93	108.34	83.2	110.57	123.41	146.43	95.04	117.61
peak6708	chr5	33794253	33804408	.	10156	146.04	159.33	152.55	154.19	177.33	177.73	171.33	180.75	192.38	177.09	155.39	160.1	266.08	233.84	213.84	271.4
peak6710	chr5	33861220	33862525	.	1306	5.98	11.57	5.71	5.93	6.33	6.13	4.35	9.64	13.48	9.38	9.79	9.21	24.91	15.3	24.95	7.92
peak6711	chr5	33904190	33914628	.	10439	60.64	58.75	59.55	84.72	68.76	68.29	73.93	76.32	89.45	75	92.99	81.78	100.77	97.25	84.35	117.61
peak6712	chr5	33940586	33959577	.	18992	251.09	277.72	261.05	270.26	311.23	289.8	280.05	293.21	276.93	271.88	315.67	305.23	365.72	320.17	318.39	315.5
peak6713	chr5	33964349	33965695	.	1347	12.81	10.68	12.24	22.87	13.57	16.64	15.65	14.46	8.58	25	15.91	9.21	15.85	16.39	21.38	6.78
peak6714	chr5	34035132	34038050	.	2919	20.5	42.73	24.47	23.72	32.57	27.14	19.13	24.1	25.73	26.04	23.25	19.58	23.78	26.23	16.63	21.49
peak6715	chr5	34042108	34048133	.	6026	58.93	68.54	56.29	83.03	80.52	71.79	71.32	85.15	77.2	83.34	59.95	73.72	66.8	74.31	79.6	59.93
peak6716	chr5	34062613	34066593	.	3981	26.48	22.25	22.84	22.03	21.71	17.51	24.35	20.08	23.28	20.83	24.47	21.88	20.38	37.15	20.2	24.88
peak6717	chr5	34071099	34074111	.	3013	64.91	67.65	63.63	55.92	71.47	75.3	83.49	65.07	29.41	25	23.25	21.88	26.04	25.13	34.45	27.14
peak6719	chr5	34262442	34265581	.	3140	31.6	32.94	35.08	27.96	35.28	28.02	30.44	29.72	29.41	34.38	34.26	25.34	33.97	30.6	30.89	37.32
peak6720	chr5	34384684	34391786	.	7103	35.02	36.5	42.42	50.83	32.57	36.77	42.62	42.58	75.97	69.79	66.07	57.59	98.51	103.81	116.43	117.61
peak6721	chr5	34683682	34690496	.	6815	58.93	40.06	48.95	44.9	37.09	29.77	44.36	49.81	41.66	22.92	22.02	39.16	28.31	21.85	32.08	29.4
peak6722	chr5	34721925	34727364	.	5440	80.28	70.32	76.68	69.47	68.76	73.54	50.44	70.69	58.82	65.63	68.52	57.59	61.14	66.66	61.78	64.46
peak6723	chr5	34738453	34741589	.	3137	18.79	17.8	17.95	28.81	25.33	27.14	26.09	27.31	11.03	18.75	23.25	20.73	19.25	15.3	22.57	19.22
peak6725	chr5	34855506	34859707	.	4202	22.21	19.58	22.03	13.56	12.67	20.14	23.48	14.46	22.06	16.67	30.59	16.13	21.51	13.11	21.38	19.22
peak6726	chr5	35241545	35243293	.	1749	21.35	25.81	26.1	20.33	12.67	16.64	20.87	16.87	40.44	29.17	23.25	42.62	53.22	40.43	36.83	27.14
peak6727	chr5	35436041	35438788	.	2748	25.62	34.72	27.74	27.11	17.19	18.39	20.87	13.66	15.93	16.67	18.35	24.19	15.85	19.67	34.45	18.09
peak6728	chr5	35548939	35550606	.	1668	11.96	14.24	14.68	16.94	14.48	16.64	10.44	9.64	15.93	18.75	22.02	12.67	18.12	22.95	26.14	21.49
peak6730	chr5	35780233	35783630	.	3398	13.66	11.57	13.05	10.17	15.38	8.76	15.65	9.64	23.28	20.83	30.59	23.04	40.76	52.45	48.71	52.02
peak6731	chr5	36088475	36090661	.	2187	14.52	17.8	20.39	21.18	18.09	21.89	15.65	15.26	33.08	41.67	20.8	18.43	47.55	30.6	29.7	46.36
peak6732	chr5	36238229	36245751	.	7523	87.97	91.68	90.55	75.4	91.38	83.18	85.23	86.76	102.93	71.88	79.53	95.6	82.65	81.95	89.1	96.12
peak6733	chr5	36780037	36786153	.	6117	107.61	119.28	108.5	132.17	127.57	131.33	146.98	149.42	106.6	96.88	81.98	115.18	129.08	134.41	121.18	144.74
peak6734	chr5	36840118	36844005	.	3888	11.96	12.46	8.97	5.08	13.57	7.88	5.22	6.43	19.61	11.46	12.24	17.28	32.84	27.32	23.76	16.96
peak6737	chr5	37005448	37009287	.	3840	15.37	23.14	30.18	21.18	31.67	20.14	28.7	18.48	19.61	14.58	14.68	21.88	19.25	22.95	17.82	19.22
peak6740	chr5	37206993	37209074	.	2082	26.48	27.59	22.84	27.11	15.38	15.76	25.22	19.28	13.48	6.25	15.91	10.37	6.79	9.83	7.13	12.44
peak6741	chr5	37216335	37218223	.	1889	13.66	13.35	17.13	16.94	11.76	21.01	15.65	12.05	25.73	28.13	18.35	28.79	32.84	16.39	29.7	24.88
peak6743	chr5	37363342	37812419	.	449078	3804.77	3745.7	3730.51	3693.84	3948.27	3911	3918.91	3909.74	5722.33	5617.85	5592.75	5697.95	4303.66	4350.16	4538.22	4344.61
peak6744	chr5	37908517	37910732	.	2216	18.79	16.91	15.5	13.56	17.19	10.51	18.26	13.66	15.93	17.71	24.47	18.43	29.44	15.3	23.76	10.18
peak6745	chr5	37922705	37928926	.	6222	53.8	57.86	67.71	72.01	65.14	58.66	49.57	69.09	88.22	89.59	74.64	79.47	70.2	92.88	77.22	72.37
peak6746	chr5	37952710	37954712	.	2003	13.66	20.47	24.47	22.03	18.09	21.01	20.87	18.48	15.93	16.67	17.13	20.73	13.59	8.74	17.82	24.88
peak6747	chr5	38130286	38134678	.	4393	28.18	42.73	53.02	36.43	39.81	42.9	40.01	49	44.11	61.46	57.51	50.68	61.14	79.77	51.08	91.6
peak6749	chr5	38249393	38254566	.	5174	53.8	36.5	41.6	49.14	45.24	35.02	36.53	32.94	33.08	40.63	34.26	32.25	38.5	36.06	35.64	40.71
peak6751	chr5	38405823	38417081	.	11259	169.1	185.15	190.89	186.39	168.28	186.49	188.73	199.22	185.03	184.38	193.32	177.38	189.08	194.51	174.64	209.2
peak6752	chr5	38437033	38440508	.	3476	38.43	19.58	26.1	34.74	30.76	29.77	18.26	32.13	9.8	21.88	18.35	10.37	26.04	28.41	27.32	29.4
peak6753	chr5	38454213	38463036	.	8824	108.46	131.74	121.55	114.37	144.76	116.45	126.98	138.17	71.07	88.54	69.74	80.63	67.93	62.29	72.47	71.24
peak6754	chr5	38471579	38475915	.	4337	78.57	59.64	71.79	67.78	76.9	73.54	67.84	60.25	95.58	111.46	78.31	103.66	101.9	95.07	97.42	93.86
peak6755	chr5	38644754	38648286	.	3533	76.01	74.77	84.02	80.49	64.24	73.54	73.06	67.48	28.18	20.83	24.47	29.95	31.7	28.41	45.14	33.92
peak6756	chr5	38784895	39281534	.	496640	1936.12	1917.36	1823.24	1846.07	1823.95	1730.05	1693.32	1728.74	4015.44	3806.35	3952	3987.53	4925.26	5092.12	5174.99	5204.03
peak6757	chr5	39285631	39641641	.	356011	1627.81	1669.01	1598.09	1565.65	1481.05	1452.51	1378.49	1455.61	3006.98	2895.91	2987.86	2929.02	3637.9	3672.67	3871.74	3825.56
peak6758	chr5	39648383	40950856	.	1302474	18133.96	17764.5	17590.4	18051.54	17749.12	17866.11	18007.34	17835.24	16920.71	16196.25	16807.6	16626.21	16100.52	16710.03	16708.25	17048.24
peak6759	chr5	40956819	41006667	.	49849	435.56	469.99	419.3	460.04	426.13	410.62	408.76	408.89	336.97	289.59	359.72	327.11	264.95	254.61	287.5	288.36
peak6760	chr5	41010358	41033683	.	23326	242.55	231.44	246.36	216.04	239.76	239.02	226.99	212.08	172.77	154.17	143.15	186.59	121.15	121.29	160.38	142.48
peak6761	chr5	41067510	41079732	.	12223	76.86	75.66	90.55	68.62	79.62	81.42	77.4	75.51	47.79	56.25	63.62	71.41	43.03	37.15	49.9	26.01
peak6762	chr5	41089126	41121175	.	32050	234.01	226.99	206.39	197.4	221.66	213.63	227.86	193.6	172.77	160.42	141.93	169.31	99.64	123.48	125.93	100.64
peak6763	chr5	41128839	41594338	.	465500	6209.77	6156.2	6078.29	6310.88	6075.31	6053.43	6174.07	6096.37	4690.6	4624.08	4607.81	4608.35	3603.93	3586.34	3963.22	3746.41
peak6764	chr5	41639617	41644752	.	5136	61.49	48.07	62.81	55.92	66.95	64.79	63.49	66.68	34.31	26.04	37.93	23.04	48.69	41.52	40.39	41.84
peak6765	chr5	41657890	41662166	.	4277	36.72	38.28	32.63	33.04	33.48	35.02	37.4	36.15	25.73	30.21	28.14	29.95	20.38	32.78	30.89	29.4
peak6766	chr5	41721991	41723909	.	1919	13.66	9.79	14.68	5.08	12.67	9.63	12.18	16.87	12.25	8.33	12.24	5.76	9.06	8.74	15.44	14.7
peak6767	chr5	41772522	41774095	.	1574	16.23	22.25	26.1	21.18	25.33	20.14	19.13	24.1	23.28	22.92	13.46	21.88	24.91	21.85	17.82	22.62
peak6768	chr5	41861607	41868175	.	6569	47.83	53.41	64.45	57.61	57.9	58.66	63.49	62.66	42.89	43.75	47.72	39.16	47.55	45.89	35.64	59.93
peak6769	chr5	41916230	42974759	.	1058530	14348.83	14270.71	14454.59	14292.46	14378.98	14363.11	14357.17	14164.09	13025.35	12754.49	12908.22	12776.9	10367.96	10846.44	10942.81	10803.86
peak6770	chr5	42977373	43020367	.	42995	321.98	303.54	309.99	330.41	308.52	312.57	321.79	339.8	458.28	459.39	449.03	467.63	390.62	372.62	397.99	361.86
peak6771	chr5	43020965	43042526	.	21562	46.97	42.73	53.02	44.9	41.62	24.51	34.79	32.94	137.24	156.25	146.82	155.49	78.12	85.23	108.11	98.38
peak6772	chr5	43045686	43072459	.	26774	151.17	120.17	129.71	119.46	124.85	137.46	123.5	149.42	227.91	204.17	265.51	215.39	185.69	185.76	231.66	199.02
peak6773	chr5	43083139	43088255	.	5117	14.52	21.36	22.03	14.4	10.86	17.51	20.87	14.46	30.63	29.17	40.38	31.1	39.63	19.67	34.45	26.01
peak6774	chr5	43095278	43101687	.	6410	66.62	64.98	56.29	64.39	57.9	76.17	63.49	57.84	77.2	70.84	64.85	77.17	74.73	79.77	81.97	75.76
peak6776	chr5	43314217	43319099	.	4883	59.78	52.52	58.74	44.06	57	62.16	63.49	56.23	74.75	46.88	59.95	48.38	49.82	68.84	51.08	57.67
peak6777	chr5	43344651	43349520	.	4870	54.66	67.65	57.92	48.29	43.43	53.41	61.75	69.09	58.82	69.79	69.74	63.35	72.46	72.12	71.28	79.16
peak6778	chr5	43409022	43417056	.	8035	75.16	87.23	84.84	77.94	61.52	79.67	64.36	77.12	73.52	80.21	68.52	66.8	93.98	69.93	93.85	92.73
peak6779	chr5	43426344	43434042	.	7699	81.99	87.23	90.55	79.64	78.71	72.67	84.36	92.38	93.13	80.21	97.88	94.45	92.84	89.6	95.04	79.16
peak6780	chr5	43445022	43450550	.	5529	70.89	72.1	64.45	66.08	65.14	55.16	60.01	62.66	51.46	34.38	31.81	39.16	20.38	25.13	13.07	21.49
peak6781	chr5	43483661	43497549	.	13889	152.87	142.42	144.39	155.89	151.09	144.46	160.9	141.38	158.07	165.63	140.71	155.49	142.66	143.15	121.18	143.61
peak6782	chr5	43636555	43642012	.	5458	53.8	50.74	56.29	62.69	54.28	54.28	43.49	53.02	55.14	52.08	47.72	61.05	47.55	52.45	46.33	44.1
peak6783	chr5	43650268	43658500	.	8233	87.11	81	70.16	80.49	73.28	72.67	94.8	77.12	68.62	60.42	68.52	62.2	61.14	55.73	76.03	64.46
peak6784	chr5	43828718	43837843	.	9126	103.34	108.6	117.47	109.29	114.9	101.56	131.33	130.94	143.36	129.17	137.04	141.67	190.22	185.76	144.94	197.89
peak6785	chr5	43841235	43844615	.	3381	15.37	16.02	10.6	12.71	9.95	14.01	14.79	16.87	8.58	9.38	9.79	12.67	27.17	27.32	26.14	23.75
peak6786	chr5	43855845	43859564	.	3720	26.48	26.7	33.45	30.5	37.09	31.52	30.44	32.94	51.46	48.96	46.49	43.77	70.2	68.84	49.9	76.9
peak6787	chr5	44008100	44010358	.	2259	19.64	23.14	16.32	25.42	23.52	23.64	32.18	21.69	3.68	13.54	9.79	17.28	21.51	18.58	22.57	19.22
peak6789	chr5	44135228	44142531	.	7304	35.87	36.5	44.87	39.82	29.86	38.52	37.4	41.77	56.37	55.21	59.95	47.22	64.54	57.91	47.52	36.19
peak6790	chr5	44148929	44151893	.	2965	23.91	24.92	20.39	26.26	10.86	22.76	28.7	26.51	20.83	25	20.8	17.28	21.51	18.58	13.07	21.49
peak6791	chr5	44312059	44321472	.	9414	61.49	61.42	60.37	59.3	66.95	65.66	61.75	56.23	60.04	51.04	62.4	62.2	62.27	54.64	65.34	56.54
peak6793	chr5	44395622	44400709	.	5088	11.96	17.8	15.5	12.71	12.67	18.39	8.7	9.64	19.61	36.46	24.47	36.86	28.31	16.39	15.44	14.7
peak6794	chr5	44439457	44444290	.	4834	25.62	28.48	18.76	23.72	21.71	30.64	19.13	18.48	50.24	25	22.02	35.71	13.59	18.58	17.82	16.96
peak6795	chr5	44445262	44460968	.	15707	127.25	131.74	106.87	109.29	121.23	119.07	127.85	113.27	162.97	148.96	174.96	150.89	130.21	109.27	142.56	136.83
peak6796	chr5	44465568	45288498	.	822931	5556.42	5524.2	5278.02	5301	5246.57	4974.77	5143.46	5238.43	8898.41	8871.06	8934.2	8811.26	8092.15	8595.42	8528.76	8266.3
peak6797	chr5	45299943	45314603	.	14661	104.19	86.34	90.55	72.01	69.66	63.91	80.88	74.71	99.25	106.25	128.47	87.54	81.52	87.42	102.17	93.86
peak6798	chr5	45343752	45353397	.	9646	65.76	65.87	62.81	73.71	60.62	72.67	56.53	49.81	79.65	67.71	78.31	59.89	74.73	59.01	83.16	65.59
peak6799	chr5	45395697	45399935	.	4239	66.62	65.87	63.63	46.6	63.33	56.03	58.27	60.25	93.13	68.75	58.73	81.78	89.45	79.77	95.04	71.24
peak6800	chr5	45408576	45417231	.	8656	76.86	87.23	81.58	78.79	67.86	74.42	75.66	77.12	79.65	77.09	78.31	55.29	75.86	64.47	95.04	63.33
peak6801	chr5	45569337	45572250	.	2914	35.02	33.83	33.45	32.19	30.76	33.27	35.66	37.76	14.7	41.67	34.26	20.73	18.12	28.41	26.14	23.75
peak6802	chr5	45585670	45587256	.	1587	17.93	15.13	15.5	15.25	12.67	7.88	14.79	8.84	4.9	5.21	14.68	3.46	4.53	5.46	8.32	4.52
peak6803	chr5	45601477	45608413	.	6937	70.03	68.54	62.81	77.94	75.09	69.17	60.01	84.35	89.45	68.75	81.98	55.29	55.48	65.56	58.21	53.15
peak6804	chr5	45615953	45628461	.	12509	140.06	178.03	184.36	175.37	156.52	169.85	193.08	172.71	93.13	92.71	73.41	86.38	103.03	99.44	96.23	59.93
peak6805	chr5	45646173	45650739	.	4567	59.78	56.08	66.08	49.99	58.81	56.03	54.79	58.64	57.59	56.25	61.18	59.89	52.08	53.54	58.21	46.36
peak6806	chr5	45659163	45664670	.	5508	37.58	36.5	46.5	44.9	39.81	33.27	40.01	44.99	25.73	36.46	31.81	34.55	35.1	43.71	39.2	40.71
peak6808	chr5	45798506	45809226	.	10721	146.9	165.57	161.52	155.04	160.14	169.85	174.81	175.12	154.39	159.38	129.69	145.13	180.03	168.28	146.13	174.15
peak6809	chr5	45813406	45824581	.	11176	224.61	222.53	274.1	271.95	320.28	319.57	284.4	280.36	384.76	371.88	376.85	363.97	346.47	382.46	337.4	391.26
peak6810	chr5	45828244	45831904	.	3661	29.04	32.04	35.08	37.28	45.24	26.27	34.79	30.53	58.82	48.96	44.05	58.74	49.82	31.69	45.14	40.71
