peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K9me3_Rep1_S1	Naive_P14_Day30_H3K9me3_Rep2_S2	Naive_P14_Day30_H3K9me3_Rep3_S1	Naive_P14_Day30_H3K9me3_Rep4_S2	Naive_P14_Day32_H3K9me3_Rep1_S5	Naive_P14_Day32_H3K9me3_Rep2_S6	Naive_P14_Day32_H3K9me3_Rep3_S7	Naive_P14_Day32_H3K9me3_Rep4_S8
peak4915	chr3	145719016	145723886	.	4871	29.89	29.37	25.29	21.18	17.19	20.14	26.09	29.72
peak4916	chr3	145865702	145871737	.	6036	93.95	71.21	67.71	82.18	77.81	83.18	69.58	77.92
peak4919	chr3	145973353	145975201	.	1849	30.75	28.48	23.66	22.03	19.9	22.76	20	22.49
peak4920	chr3	146073490	146078959	.	5470	46.97	56.97	65.26	57.61	57.9	60.41	55.66	53.82
peak4921	chr3	146082504	146090586	.	8083	109.32	93.46	108.5	109.29	109.47	104.19	104.37	119.69
peak4922	chr3	146101131	146108143	.	7013	39.29	40.06	32.63	42.36	41.62	45.53	31.31	48.2
peak4923	chr3	146169575	146171257	.	1683	5.12	11.57	10.6	7.62	10.86	7	9.57	12.85
peak4924	chr3	146292865	146299595	.	6731	71.74	81.89	62	79.64	84.14	48.15	62.62	69.89
peak4925	chr3	146356788	146362518	.	5731	96.51	92.57	91.37	82.18	75.09	79.67	101.76	77.12
peak4926	chr3	146537851	146543653	.	5803	40.99	43.62	48.95	33.89	38.9	43.78	38.27	46.59
peak4927	chr3	146726006	146728045	.	2040	23.06	24.03	36.71	29.65	26.24	29.77	19.13	23.3
peak4928	chr3	146879854	146887653	.	7800	37.58	52.52	53.84	48.29	38	38.52	40.88	47.4
peak4929	chr3	146918862	146925523	.	6662	58.93	73.88	67.71	74.55	60.62	65.66	72.19	74.71
peak4930	chr3	146960365	148964686	.	2004322	21114.58	21117.65	20875.5	21333.64	20976.31	20931.35	20818.24	21042.89
peak4931	chr3	148969125	148978927	.	9803	8.54	6.23	8.16	5.08	8.14	8.76	4.35	8.03
peak4933	chr3	149007845	149037947	.	30103	57.22	48.96	39.16	36.43	40.71	35.02	33.05	36.15
peak4934	chr3	149043042	149052286	.	9245	7.69	11.57	12.24	10.17	9.95	12.26	11.31	8.84
peak4935	chr3	149053295	149057850	.	4556	11.1	7.12	4.89	12.71	10.86	5.25	5.22	8.84
peak4936	chr3	149059821	149085085	.	25265	28.18	19.58	26.1	27.11	20.81	18.39	24.35	24.9
peak4937	chr3	149088222	149106217	.	17996	35.02	26.7	22.84	24.57	25.33	17.51	10.44	15.26
peak4938	chr3	149107589	149110974	.	3386	4.27	3.56	3.26	1.69	4.52	0.88	4.35	5.62
peak4939	chr3	149113995	149116484	.	2490	3.42	2.67	4.89	1.69	4.52	2.63	4.35	2.41
peak4940	chr3	149124418	149131473	.	7056	20.5	15.13	17.13	18.64	18.09	14.01	14.79	20.08
peak4941	chr3	149136584	149142801	.	6218	18.79	12.46	17.95	9.32	8.14	11.38	11.31	12.85
peak4943	chr3	149272964	149276412	.	3449	6.83	4.45	5.71	2.54	5.43	1.75	1.74	4.02
peak4945	chr3	149425393	149433529	.	8137	18.79	17.8	21.21	13.56	10.86	14.88	13.05	14.46
peak4946	chr3	149468869	149473817	.	4949	34.16	27.59	30.18	27.11	31.67	40.27	36.53	32.13
peak4947	chr3	149545509	149552529	.	7021	16.23	14.24	17.13	8.47	9.05	11.38	13.05	12.85
peak4948	chr3	149556955	149583722	.	26768	77.72	86.34	75.05	90.65	58.81	73.54	62.62	54.63
peak4949	chr3	149586007	151029946	.	1443940	20325.44	20152.74	19756.26	20088.24	20001.91	19843.06	19905.92	19896.56
peak4950	chr3	151030674	151566982	.	536309	4102.84	3858.75	3845.53	3967.49	3863.22	3824.33	3754.54	3779.61
peak4951	chr3	151567869	151985741	.	417873	2921.69	2993.54	2717.32	2863.58	2854.44	2771.94	2851.78	2801.97
peak4952	chr3	152001391	152006213	.	4823	27.33	33.83	27.74	25.42	18.09	23.64	24.35	24.1
peak4953	chr3	152007227	152019348	.	12122	118.71	125.51	129.71	102.51	114.9	98.94	105.23	111.66
peak4955	chr3	152325357	152329856	.	4500	18.79	16.02	20.39	9.32	15.38	16.64	13.92	17.67
peak4957	chr3	152533758	152542035	.	8278	56.37	55.19	55.47	52.53	50.67	60.41	66.97	44.18
peak4958	chr3	152570472	152576296	.	5825	81.13	71.21	68.52	80.49	98.62	84.05	80.88	73.1
peak4959	chr3	152633200	152635502	.	2303	29.89	23.14	22.84	20.33	23.52	26.27	26.09	22.49
peak4960	chr3	152801504	152808756	.	7253	79.43	82.78	94.63	93.19	90.47	95.43	106.97	124.51
peak4961	chr3	153045939	153048987	.	3049	38.43	44.51	48.95	46.6	48.86	47.28	39.14	40.97
peak4962	chr3	153090874	153093775	.	2902	35.87	41.84	26.1	34.74	44.33	46.4	34.79	33.74
peak4963	chr3	153269949	153275331	.	5383	25.62	38.28	31.81	33.04	32.57	34.15	40.01	30.53
peak4964	chr3	153323389	153333390	.	10002	29.04	40.06	32.63	29.65	36.19	31.52	34.79	32.94
peak4965	chr3	153341411	153377573	.	36163	81.13	67.65	79.95	76.25	70.57	62.16	73.93	58.64
peak4966	chr3	153379865	153403837	.	23973	68.32	48.07	59.55	57.61	50.67	60.41	50.44	57.84
peak4967	chr3	153404797	153412983	.	8187	7.69	8.01	5.71	9.32	8.14	9.63	4.35	7.23
peak4968	chr3	153431419	153438716	.	7298	2.56	3.56	4.89	5.93	4.52	7.88	6.09	8.84
peak4969	chr3	153439104	153500379	.	61276	158	170.91	163.97	188.93	158.33	147.96	148.72	157.45
peak4970	chr3	153513164	153525590	.	12427	16.23	12.46	13.05	17.79	15.38	7.88	10.44	13.66
peak4971	chr3	153531808	153545778	.	13971	10.25	16.02	16.32	16.94	18.09	15.76	12.18	17.67
peak4972	chr3	153551540	153559405	.	7866	9.39	5.34	19.58	8.47	9.95	8.76	13.05	10.44
peak4973	chr3	153621493	153627865	.	6373	22.21	32.04	38.34	23.72	22.62	16.64	24.35	23.3
peak4975	chr3	153956833	153958773	.	1941	10.25	10.68	6.53	10.17	15.38	13.13	16.52	17.67
peak4976	chr3	154022545	154042552	.	20008	228.88	232.33	235.76	236.37	227.99	201.37	230.47	216.9
peak4977	chr3	154063698	154224293	.	160596	292.94	260.81	252.07	251.62	225.28	220.63	251.35	245.01
peak4978	chr3	154235160	154264121	.	28962	54.66	64.09	71.79	61	53.38	48.15	46.96	51.41
peak4979	chr3	154282024	154286443	.	4420	4.27	8.9	3.26	3.39	2.71	3.5	1.74	2.41
peak4980	chr3	154295402	154303081	.	7680	28.18	27.59	27.74	34.74	24.43	19.26	27.83	28.12
peak4981	chr3	154344207	154385614	.	41408	152.02	131.74	124	132.17	124.85	116.45	128.72	134.15
peak4982	chr3	154389256	154533186	.	143931	807.93	719.23	693.4	780.28	757.26	763.46	715.77	695.67
peak4983	chr3	154639517	154646569	.	7053	58.93	81.89	72.6	64.39	67.86	72.67	78.27	68.28
peak4984	chr3	154666603	154682681	.	16079	30.75	40.06	37.53	33.89	30.76	30.64	29.57	32.94
peak4985	chr3	154684205	155054943	.	370739	4623.81	4711.51	4726.56	4768.96	4802.34	4695.48	4742.53	4692.17
peak4986	chr3	155056420	155068574	.	12155	87.97	100.59	94.63	102.51	87.76	78.8	106.97	81.94
peak4987	chr3	155108831	156559933	.	1451103	19373.18	19452.21	19354.91	19725.63	19462.69	19312.49	19538.9	19437.06
peak4988	chr3	156565336	157439139	.	873804	10531.24	10334.51	10185.68	10450.36	10219.9	10240.23	10305.19	10303.34
peak4989	chr3	157452430	157459951	.	7522	37.58	37.39	28.55	41.51	29.86	28.02	27.83	29.72
peak4990	chr3	157462967	157466149	.	3183	5.98	8.9	10.6	7.62	12.67	10.51	9.57	12.85
peak4991	chr3	157471932	157479162	.	7231	30.75	26.7	21.21	24.57	22.62	27.14	20	24.9
peak4992	chr3	157531554	157535999	.	4446	15.37	16.91	15.5	16.94	12.67	7.88	11.31	16.07
peak4993	chr3	157551041	157554766	.	3726	29.89	31.15	27.74	27.11	19.9	22.76	25.22	28.92
peak4994	chr3	157646762	157652844	.	6083	91.38	76.55	75.87	75.4	67.86	63.04	75.66	70.69
peak4995	chr3	157666848	157672942	.	6095	70.89	72.1	75.05	72.01	87.76	77.92	88.71	90.77
peak4996	chr3	157673582	157678124	.	4543	59.78	48.07	48.95	58.46	42.52	50.78	46.96	51.41
peak4997	chr3	157768937	157771690	.	2754	23.91	16.91	20.39	13.56	16.29	11.38	17.39	13.66
peak4998	chr3	157806327	157813093	.	6767	52.95	42.73	57.92	52.53	55.19	49.91	53.92	42.58
peak5000	chr3	157965258	157969182	.	3925	40.14	43.62	39.16	42.36	31.67	40.27	35.66	39.36
peak5001	chr3	158095472	158121358	.	25887	255.36	268.82	242.28	256.71	235.23	228.51	260.04	258.67
peak5002	chr3	158144828	158559269	.	414442	6276.38	6142.85	6191.68	6171.09	6236.35	6258.31	6090.58	6265.87
peak5003	chr3	158563993	159413014	.	849022	16240.54	16199.64	16469.54	16385.92	16990.05	16937.17	16974.99	17116.28
peak5004	chr3	159413906	159471926	.	58021	573.92	607.96	618.35	612.53	569.08	657.52	611.41	542.24
peak5005	chr3	159508981	159510922	.	1942	11.96	14.24	17.13	17.79	16.29	14.88	13.92	24.9
peak5006	chr3	159548856	159743506	.	194651	2196.61	2244.93	2181.36	2207.83	2230.18	2172.2	2258.64	2279.01
peak5007	chr3	159744558	159778122	.	33565	344.18	371.19	349.15	313.47	373.66	375.6	392.24	334.18
peak5008	chr3	159791374	159800317	.	8944	101.63	101.48	97.08	100.82	102.24	72.67	86.97	89.17
peak5011	chr4	3049960	3078324	.	28365	624.31	597.28	589.8	549.84	571.79	553.34	551.4	531.8
peak5012	chr4	3081582	3089356	.	7775	214.37	220.75	239.84	223.66	246.99	233.77	232.21	220.11
peak5013	chr4	3091237	3093574	.	2338	76.01	68.54	57.1	72.86	77.81	72.67	62.62	76.32
peak5014	chr4	3113397	3208274	.	94878	1331.46	1316.52	1303.6	1284.37	1310.06	1326.43	1391.54	1365.64
peak5015	chr4	3210790	3215474	.	4685	71.74	50.74	62	71.17	66.05	53.41	65.23	61.05
peak5016	chr4	3219988	3343775	.	123788	2267.49	2136.33	2237.65	2180.72	2246.46	2131.92	2209.06	2094.25
peak5017	chr4	3344582	3402662	.	58081	609.79	607.07	606.12	554.08	582.65	575.22	579.23	591.24
peak5018	chr4	3404534	3411134	.	6601	34.16	32.94	22.84	20.33	31.67	28.89	26.96	25.71
peak5019	chr4	3433406	3489223	.	55818	693.49	674.73	723.59	709.96	671.31	675.91	697.51	685.23
peak5020	chr4	3537131	3545969	.	8839	93.95	105.93	87.29	109.29	107.66	104.19	98.28	84.35
peak5021	chr4	3634024	3637087	.	3064	41.85	53.41	33.45	40.67	39.81	35.9	42.62	49
peak5022	chr4	3814404	3817271	.	2868	19.64	12.46	22.84	11.86	23.52	19.26	13.05	20.08
peak5023	chr4	3864965	3868377	.	3413	26.48	25.81	27.74	29.65	37.09	34.15	21.74	30.53
peak5024	chr4	4024998	4034825	.	9828	109.32	100.59	101.16	118.61	110.38	112.07	110.45	99.61
peak5025	chr4	4038541	4071289	.	32749	245.97	281.28	276.55	260.09	270.52	289.8	299.18	276.34
peak5026	chr4	4074780	4110083	.	35304	356.99	311.55	303.47	335.5	309.42	306.44	298.31	297.23
peak5027	chr4	4115440	4126001	.	10562	98.22	91.68	85.66	78.79	85.95	76.17	90.45	91.58
peak5028	chr4	4150740	4445500	.	294761	4049.89	3923.73	3985.84	4093.73	4140.07	4001.18	4000.66	4060.77
peak5029	chr4	4448020	4693826	.	245807	3323.09	3200.94	3232.89	3303.28	3337.57	3362.92	3399.7	3242.19
peak5030	chr4	4698852	4709770	.	10919	65.76	67.65	59.55	83.03	49.76	71.79	86.97	71.5
peak5031	chr4	4734492	4752467	.	17976	194.72	207.4	204.76	210.96	201.76	211.88	204.38	213.68
peak5032	chr4	4781239	4786271	.	5033	31.6	37.39	27.74	31.35	26.24	32.39	31.31	30.53
peak5033	chr4	4792098	4796409	.	4312	9.39	7.12	6.53	11.01	9.05	13.13	6.96	10.44
peak5034	chr4	4823027	4829623	.	6597	40.99	34.72	26.1	36.43	38.9	34.15	36.53	34.54
peak5035	chr4	4839975	4844245	.	4271	24.77	21.36	18.76	17.79	23.52	21.89	16.52	17.67
peak5036	chr4	4852092	4929121	.	77030	1021.44	1020.1	1054.79	1007.33	1016.02	1017.37	1055.83	1045.92
peak5037	chr4	4931267	5550330	.	619064	8510.57	8386.89	8407.3	8639.02	8386	8421.75	8430.97	8517.57
peak5038	chr4	5553337	5615821	.	62485	573.92	596.39	522.91	540.52	507.56	534.95	554.01	546.26
peak5040	chr4	5706059	5721687	.	15629	136.65	136.19	141.13	156.73	155.61	130.45	158.29	150.22
peak5041	chr4	5722959	5739931	.	16973	74.3	81.89	78.31	82.18	85.05	68.29	70.45	73.91
peak5042	chr4	5742532	5749482	.	6951	46.97	39.17	35.08	33.89	40.71	21.01	36.53	36.95
peak5043	chr4	5753856	5785751	.	31896	242.55	199.39	212.92	221.12	203.57	203.12	210.47	222.52
peak5044	chr4	5815353	5827609	.	12257	98.22	98.81	101.97	111.83	112.19	107.69	121.76	102.82
peak5045	chr4	5833997	5942787	.	108791	1120.51	1085.08	1160.02	1141.19	1073.02	1104.92	1087.14	1115.81
peak5046	chr4	5948572	5976906	.	28335	243.4	203.84	228.41	221.97	224.37	198.75	206.12	217.7
peak5047	chr4	5982452	6005995	.	23544	158.85	171.8	128.89	149.96	146.57	158.47	141.76	154.24
peak5048	chr4	6009580	6013301	.	3722	40.99	33.83	26.1	27.11	23.52	28.02	23.48	33.74
peak5049	chr4	6017869	6029162	.	11294	141.77	162.01	156.63	144.03	141.14	135.71	149.59	123.71
peak5050	chr4	6100752	6103984	.	3233	26.48	21.36	16.32	27.11	26.24	29.77	17.39	23.3
peak5051	chr4	6143787	6160734	.	16948	132.38	120.17	108.5	138.1	101.33	115.57	130.46	108.45
peak5052	chr4	6177205	6182386	.	5182	50.39	51.63	44.87	46.6	49.76	57.79	46.96	43.38
peak5053	chr4	6186621	6191053	.	4433	11.1	15.13	17.95	16.1	13.57	12.26	14.79	16.87
peak5054	chr4	6284103	6286601	.	2499	19.64	15.13	12.24	15.25	14.48	10.51	12.18	12.05
peak5055	chr4	6306630	6317259	.	10630	83.7	88.12	85.66	92.35	72.38	81.42	55.66	84.35
peak5058	chr4	6476617	6481226	.	4610	58.93	37.39	42.42	44.9	41.62	43.78	55.66	44.18
peak5059	chr4	6486547	6489458	.	2912	28.18	20.47	29.37	42.36	25.33	33.27	23.48	16.87
peak5060	chr4	6502192	6507337	.	5146	64.05	65.87	66.08	59.3	69.66	78.8	70.45	66.68
peak5061	chr4	6518863	6521865	.	3003	46.97	49.85	48.13	53.37	50.67	45.53	50.44	41.77
peak5062	chr4	6525641	6533128	.	7488	75.16	65.87	54.66	62.69	63.33	61.29	65.23	61.05
peak5063	chr4	6550019	6556561	.	6543	66.62	61.42	70.97	49.14	49.76	60.41	56.53	57.04
peak5064	chr4	6586544	6589115	.	2572	23.06	24.92	26.92	25.42	24.43	21.89	23.48	26.51
peak5065	chr4	6603421	6612282	.	8862	82.84	98.81	86.47	91.5	102.24	98.06	95.67	82.74
peak5066	chr4	6637079	6640998	.	3920	53.8	74.77	56.29	76.25	66.95	74.42	61.75	62.66
peak5067	chr4	6645826	6655810	.	9985	96.51	107.71	112.58	116.92	106.76	110.32	106.97	93.99
peak5068	chr4	6800346	6802336	.	1991	12.81	8.01	5.71	7.62	9.95	5.25	6.96	11.25
peak5069	chr4	6841164	6852521	.	11358	92.24	97.03	106.05	113.53	100.43	102.44	102.63	93.99
peak5072	chr4	6997564	7001167	.	3604	13.66	15.13	13.87	14.4	23.52	15.76	10.44	9.64
peak5073	chr4	7039729	7041104	.	1376	11.1	13.35	13.05	17.79	9.05	7.88	9.57	17.67
peak5074	chr4	7056498	7066719	.	10222	117.86	106.82	120.73	144.87	114.9	118.2	112.19	126.92
peak5075	chr4	7073076	7075486	.	2411	27.33	33.83	36.71	35.58	31.67	31.52	33.92	26.51
peak5076	chr4	7081875	7093076	.	11202	141.77	142.42	161.52	138.1	151.09	161.97	199.16	163.88
peak5077	chr4	7096830	7102066	.	5237	71.74	83.67	71.79	83.03	76.9	91.06	72.19	77.92
peak5078	chr4	7116809	7125787	.	8979	89.67	75.66	96.26	71.17	87.76	84.93	83.49	70.69
peak5079	chr4	7165708	7170151	.	4444	36.72	37.39	47.31	51.68	45.24	48.15	57.4	44.18
peak5080	chr4	7272245	7284171	.	11927	152.02	147.76	157.44	160.12	161.04	160.22	171.33	159.06
peak5081	chr4	7295181	7303624	.	8444	127.25	137.08	129.71	116.07	126.66	136.58	121.76	108.45
peak5082	chr4	7321613	7331042	.	9430	163.12	154.88	173.76	203.33	220.76	222.39	197.42	221.72
peak5083	chr4	7349394	7354994	.	5601	103.34	89.01	92.18	95.73	94.09	97.18	94.8	86.76
peak5084	chr4	7366995	7377940	.	10946	72.59	81.89	67.71	84.72	82.33	66.54	80.88	93.99
peak5085	chr4	7417420	7418397	.	978	7.69	16.02	10.6	17.79	11.76	12.26	8.7	20.08
peak5086	chr4	7470877	7473472	.	2596	30.75	32.04	44.87	36.43	33.48	30.64	31.31	32.94
peak5087	chr4	7495126	7498550	.	3425	32.45	38.28	26.1	36.43	33.48	36.77	34.79	31.33
peak5088	chr4	7503738	7510674	.	6937	82.84	79.22	75.87	72.01	85.95	64.79	77.4	72.3
peak5089	chr4	7515452	7519400	.	3949	28.18	38.28	28.55	27.11	31.67	42.03	31.31	41.77
peak5091	chr4	7618689	7640352	.	21664	238.28	258.14	227.6	250.77	276.85	232.02	248.74	253.04
peak5092	chr4	7647629	7652799	.	5171	55.51	59.64	61.18	43.21	46.14	44.65	51.31	54.63
peak5093	chr4	7659870	7663411	.	3542	44.41	40.95	35.08	30.5	38.9	47.28	29.57	57.04
peak5094	chr4	7674937	7679941	.	5005	29.04	29.37	30.18	33.04	38.9	31.52	27.83	27.31
peak5095	chr4	7691308	7695265	.	3958	64.91	64.98	71.79	75.4	79.62	71.79	69.58	68.28
peak5096	chr4	7702234	7710649	.	8416	84.55	93.46	88.1	96.58	81.43	91.93	92.19	79.53
peak5097	chr4	7733986	7739999	.	6014	77.72	75.66	74.23	91.5	76.9	94.56	80.88	109.25
peak5098	chr4	7744155	7749365	.	5211	36.72	41.84	34.26	57.61	49.76	44.65	52.18	44.18
peak5099	chr4	7759861	7767154	.	7294	115.3	136.19	134.6	130.47	165.57	149.72	156.55	166.29
peak5100	chr4	7774439	7778956	.	4518	70.03	81	62	62.69	72.38	72.67	89.58	79.53
peak5102	chr4	7806546	7811315	.	4770	27.33	30.26	28.55	33.04	26.24	27.14	28.7	34.54
peak5103	chr4	7829775	7838022	.	8248	178.5	135.3	172.94	183.84	168.28	179.48	160.9	183.96
peak5104	chr4	7869692	7875532	.	5841	76.01	85.45	75.87	83.03	83.24	82.3	88.71	83.54
peak5105	chr4	7879634	7890428	.	10795	158.85	137.97	144.39	160.12	138.42	144.46	154.81	147.81
peak5106	chr4	7928062	7929886	.	1825	14.52	22.25	17.13	11.01	11.76	17.51	15.65	11.25
peak5107	chr4	8013865	8016547	.	2683	35.87	31.15	30.18	37.28	28.95	26.27	27.83	28.92
peak5108	chr4	8041399	8048218	.	6820	80.28	75.66	97.89	92.35	104.04	83.18	97.41	99.61
peak5109	chr4	8117271	8123598	.	6328	55.51	46.29	66.89	64.39	65.14	71.79	56.53	64.27
peak5112	chr4	8192018	8197801	.	5784	87.11	77.44	85.66	64.39	72.38	97.18	83.49	74.71
peak5113	chr4	8254744	8260750	.	6007	55.51	55.19	48.13	49.99	47.05	50.78	54.79	73.1
peak5114	chr4	8263129	8266469	.	3341	40.99	43.62	34.26	38.97	25.33	40.27	40.01	34.54
peak5115	chr4	8298044	8305745	.	7702	107.61	87.23	101.16	84.72	80.52	91.06	87.84	81.14
peak5116	chr4	8314133	8316995	.	2863	42.7	35.61	35.89	23.72	29.86	35.9	20	24.9
peak5117	chr4	8383899	8398051	.	14153	114.44	110.38	115.02	114.37	114	136.58	133.07	119.69
peak5118	chr4	8401739	8410436	.	8698	84.55	77.44	95.44	86.42	78.71	91.06	102.63	78.73
peak5119	chr4	8435381	8450010	.	14630	139.21	147.76	158.26	140.64	150.19	137.46	140.89	155.84
peak5120	chr4	8458944	8470494	.	11551	290.38	316	334.46	313.47	345.61	338.83	330.49	349.44
peak5121	chr4	8477151	8485576	.	8426	92.24	80.11	88.1	83.03	94.09	91.06	95.67	102.82
peak5122	chr4	8488399	8496502	.	8104	51.24	57.86	57.92	61.85	49.76	53.41	52.18	63.46
peak5123	chr4	8517554	8519996	.	2443	49.53	35.61	46.5	51.68	47.95	44.65	41.75	59.45
peak5125	chr4	8547402	8549893	.	2492	26.48	44.51	55.47	41.51	44.33	44.65	35.66	40.97
peak5126	chr4	8556135	8561661	.	5527	44.41	40.06	41.6	37.28	31.67	47.28	40.88	33.74
peak5127	chr4	8619364	8623387	.	4024	110.17	97.92	110.94	102.51	131.19	127.83	124.37	126.12
peak5128	chr4	8654436	8660511	.	6076	79.43	74.77	75.05	72.86	84.14	82.3	85.23	73.91
peak5129	chr4	8701393	8703672	.	2280	6.83	5.34	4.08	5.93	8.14	4.38	7.83	5.62
peak5130	chr4	8880714	8887593	.	6880	37.58	40.06	44.05	39.82	49.76	56.91	49.57	44.99
peak5131	chr4	8970256	8973062	.	2807	14.52	24.03	17.95	13.56	23.52	21.89	22.61	19.28
peak5132	chr4	9149369	9156363	.	6995	79.43	70.32	65.26	70.32	79.62	63.91	78.27	73.1
peak5134	chr4	9481636	9483457	.	1822	21.35	20.47	17.95	19.49	20.81	17.51	18.26	13.66
peak5135	chr4	9494482	9500032	.	5551	67.47	80.11	80.76	59.3	76.9	64.79	67.84	76.32
peak5136	chr4	9522994	9524744	.	1751	15.37	21.36	11.42	16.1	13.57	10.51	8.7	20.08
peak5137	chr4	9584725	9592363	.	7639	81.99	77.44	88.1	71.17	77.81	78.8	94.8	77.92
peak5139	chr4	9716880	9734836	.	17957	170.81	161.12	149.29	177.91	174.61	172.48	151.33	147.81
peak5140	chr4	9800484	9803173	.	2690	21.35	34.72	20.39	17.79	14.48	27.14	17.39	20.89
peak5141	chr4	9812867	9815620	.	2754	22.21	17.8	15.5	14.4	20.81	18.39	22.61	19.28
peak5142	chr4	9917652	9930344	.	12693	105.05	112.16	100.34	110.14	109.47	106.81	105.23	98.81
peak5143	chr4	9940485	9948488	.	8004	40.14	64.09	51.39	48.29	50.67	43.78	38.27	39.36
peak5144	chr4	9974378	9978226	.	3849	12.81	16.02	9.79	12.71	3.62	16.64	9.57	16.87
peak5145	chr4	9987533	10027427	.	39895	357.85	331.13	363.83	362.61	335.66	319.57	353.1	357.48
peak5146	chr4	10061689	10115880	.	54192	387.74	364.96	368.73	344.82	321.18	343.21	390.5	345.43
peak5147	chr4	10118088	10122495	.	4408	23.91	30.26	20.39	23.72	14.48	17.51	26.09	24.1
peak5148	chr4	10127613	10136822	.	9210	66.62	72.99	70.97	57.61	63.33	73.54	69.58	57.84
peak5149	chr4	10138052	10145093	.	7042	35.87	32.94	20.39	32.19	23.52	19.26	29.57	27.31
peak5150	chr4	10156500	10174018	.	17519	144.33	138.86	138.68	144.03	133	129.58	126.11	119.69
peak5151	chr4	10175822	10192463	.	16642	99.92	105.04	93.81	108.44	106.76	103.31	112.19	101.22
peak5152	chr4	10220668	10228114	.	7447	38.43	41.84	31.81	35.58	34.38	32.39	33.05	35.35
peak5153	chr4	10240619	10251590	.	10972	60.64	49.85	44.87	47.44	44.33	55.16	57.4	44.18
peak5154	chr4	10252094	10263479	.	11386	34.16	26.7	25.29	27.11	23.52	28.89	27.83	28.92
peak5155	chr4	10272676	10277174	.	4499	24.77	25.81	34.26	26.26	27.14	23.64	33.92	21.69
peak5156	chr4	10323533	10326250	.	2718	36.72	28.48	25.29	27.11	15.38	16.64	16.52	23.3
peak5158	chr4	10370500	10372693	.	2194	14.52	13.35	14.68	16.94	16.29	8.76	7.83	16.07
peak5159	chr4	10375483	10379463	.	3981	31.6	35.61	35.08	33.04	32.57	33.27	43.49	28.92
peak5160	chr4	10424670	10437025	.	12356	74.3	72.1	68.52	80.49	71.47	78.8	68.71	77.92
peak5161	chr4	10442160	10461050	.	18891	157.14	167.35	149.29	164.36	173.71	157.6	162.64	171.91
peak5162	chr4	10472286	10480790	.	8505	73.45	74.77	89.73	72.86	73.28	92.81	77.4	82.74
peak5163	chr4	10483992	10500787	.	16796	130.67	118.39	137.86	106.75	113.09	115.57	116.54	125.32
peak5164	chr4	10526488	10529003	.	2516	23.91	32.04	18.76	19.49	21.71	22.76	17.39	16.87
peak5165	chr4	10577051	10584240	.	7190	51.24	32.04	37.53	41.51	33.48	28.02	44.36	40.97
peak5166	chr4	10599964	10606915	.	6952	25.62	32.04	22.84	27.96	25.33	26.27	19.13	20.08
peak5167	chr4	10640131	10646485	.	6355	36.72	39.17	41.6	37.28	37.09	45.53	31.31	36.95
peak5168	chr4	10657673	10667117	.	9445	134.09	113.05	141.94	134.71	145.66	153.22	114.8	148.61
peak5169	chr4	10672790	10678880	.	6091	72.59	74.77	82.39	79.64	75.09	79.67	73.06	78.73
peak5170	chr4	10735289	10740985	.	5697	73.45	84.56	53.02	65.24	83.24	65.66	82.62	65.07
peak5171	chr4	10815298	10817861	.	2564	35.02	41.84	44.05	53.37	47.05	29.77	40.88	39.36
peak5172	chr4	10865336	10871387	.	6052	70.03	77.44	73.42	70.32	76	87.55	53.92	74.71
peak5173	chr4	11174008	11179039	.	5032	112.73	133.52	119.92	119.46	142.04	136.58	124.37	137.37
peak5174	chr4	11181992	11185033	.	3042	30.75	31.15	29.37	35.58	38	27.14	32.18	36.15
peak5175	chr4	11301254	11302726	.	1473	18.79	16.91	10.6	12.71	6.33	9.63	12.18	12.85
peak5176	chr4	11433013	11439302	.	6290	75.16	71.21	81.58	77.1	64.24	76.17	64.36	61.05
peak5177	chr4	11441917	11446467	.	4551	13.66	20.47	21.21	15.25	13.57	15.76	16.52	23.3
peak5180	chr4	11515850	11517408	.	1559	8.54	11.57	8.16	9.32	4.52	4.38	9.57	8.03
peak5182	chr4	11628257	11630179	.	1923	5.12	8.01	8.97	4.24	11.76	2.63	6.96	6.43
peak5183	chr4	11745787	11755902	.	10116	45.26	36.5	39.16	51.68	38.9	22.76	38.27	26.51
peak5184	chr4	11787110	11794943	.	7834	66.62	93.46	93	84.72	87.76	87.55	95.67	86.76
peak5185	chr4	11841805	11844862	.	3058	59.78	48.07	53.84	65.24	58.81	65.66	60.88	40.17
peak5187	chr4	12031222	12033478	.	2257	21.35	19.58	21.21	22.87	36.19	21.89	20	22.49
peak5189	chr4	12091895	12097545	.	5651	16.23	21.36	26.1	14.4	21.71	19.26	19.13	20.08
peak5190	chr4	12105551	12122284	.	16734	239.13	242.12	276.55	236.37	263.28	295.93	266.13	270.72
peak5191	chr4	12123488	12126238	.	2751	22.21	20.47	18.76	12.71	19.9	16.64	21.74	12.05
peak5192	chr4	12132235	12138216	.	5982	46.97	35.61	42.42	38.97	48.86	59.54	30.44	41.77
peak5193	chr4	12141314	12148577	.	7264	34.16	40.06	52.21	51.68	55.19	44.65	47.83	53.02
peak5194	chr4	12158036	12160639	.	2604	23.91	24.03	26.92	24.57	21.71	21.01	26.09	21.69
peak5195	chr4	12195417	12207451	.	12035	111.88	101.48	79.13	103.36	94.09	93.68	100.02	98.81
peak5196	chr4	12211765	12222011	.	10247	87.11	84.56	98.71	107.6	82.33	77.92	100.02	91.58
