peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K4me3_Rep1_S1	Naive_P14_Day30_H3K4me3_Rep2_S2	Naive_P14_Day30_H3K4me3_Rep3_S3	Naive_P14_Day30_H3K4me3_Rep4_S4	Naive_P14_Day32_H3K4me3_Rep1_S9	Naive_P14_Day32_H3K4me3_Rep2_S10	Naive_P14_Day32_H3K4me3_Rep3_S11	Naive_P14_Day32_H3K4me3_Rep4_S12	Arm_P14_Day30_H3K4me3_Rep1_S5
peak11822	chr4	128882873	128885148	.	2276	346.67	346.82	353.35	339.93	374.17	373.01	343.11	356.52	363.66
peak11823	chr4	128924556	128926103	.	1548	112.43	113.71	105.85	122.51	104.56	103.8	102.76	104.59	124.88
peak11824	chr4	128961184	128963351	.	2168	236.32	246.76	250.62	252.74	224.68	231.71	246.61	238.95	249.77
peak11825	chr4	128980492	128982159	.	1668	125.97	153.51	122.97	130.23	100.24	107.15	90.25	91.61	138.87
peak11826	chr4	128992577	128994711	.	2135	488.25	454.85	448.31	507.68	575.52	587.31	560.24	580.2	475.56
peak11829	chr4	129019310	129020517	.	1208	23.94	18.19	17.12	16.55	11.23	10.71	13.4	11.45	33.97
peak11830	chr4	129031832	129036292	.	4461	546.55	544.68	485.67	552.93	441.57	462.75	411.91	471.8	769.28
peak11831	chr4	129044330	129045335	.	1006	40.6	19.33	18.68	26.49	16.42	13.39	22.34	15.27	53.95
peak11832	chr4	129047580	129050413	.	2834	422.66	371.84	412.5	429.32	309.36	356.94	357.41	348.88	464.57
peak11833	chr4	129057591	129058243	.	653	102.02	83.01	91.84	88.29	126.16	101.79	121.52	117.57	88.92
peak11834	chr4	129058623	129061122	.	2500	728.73	731.17	667.79	697.51	901.29	856.52	893.52	877.94	758.29
peak11835	chr4	129066951	129069339	.	2389	83.28	72.78	71.6	64.01	34.57	24.11	43.78	41.22	83.92
peak11837	chr4	129129689	129131957	.	2269	282.12	275.18	255.29	280.33	283.44	289.3	280.57	256.51	344.68
peak11838	chr4	129136106	129137956	.	1851	123.88	150.1	126.09	131.34	82.96	85.05	78.63	83.98	89.92
peak11839	chr4	129145562	129147350	.	1789	64.54	78.46	76.27	70.63	49.26	46.21	36.63	48.86	82.92
peak11840	chr4	129188094	129191308	.	3215	660.02	633.38	552.6	636.81	764.76	760.76	732.69	748.92	631.41
peak11841	chr4	129238313	129240736	.	2424	143.66	169.43	158.78	155.62	111.47	107.82	95.61	93.9	142.87
peak11842	chr4	129247541	129250521	.	2981	249.85	246.76	249.06	263.77	184.93	166.08	168.88	182.46	219.8
peak11844	chr4	129271315	129273137	.	1823	72.87	79.6	79.39	83.88	68.27	66.97	39.32	56.49	53.95
peak11846	chr4	129285551	129288967	.	3417	238.4	236.52	291.09	231.77	178.88	178.13	184.07	150.39	161.85
peak11847	chr4	129324631	129326482	.	1852	51.01	69.36	49.81	39.73	23.33	31.47	35.74	29.77	47.96
peak11848	chr4	129333997	129337218	.	3222	724.56	709.56	614.86	687.58	932.4	899.38	885.48	917.63	710.34
peak11850	chr4	129364446	129366276	.	1831	322.72	362.74	342.46	369.73	377.63	342.88	370.81	363.39	478.55
peak11851	chr4	129373156	129374282	.	1127	129.09	131.91	130.76	156.72	104.56	121.88	108.12	133.6	91.91
peak11852	chr4	129376274	129378902	.	2629	467.43	524.21	451.42	435.95	611.81	630.17	562.92	577.91	499.53
peak11853	chr4	129404921	129407263	.	2343	264.42	256.99	241.28	248.32	192.7	206.93	197.47	198.49	206.81
peak11854	chr4	129440524	129441621	.	1098	54.13	62.54	65.38	54.08	33.7	26.12	37.53	32.83	61.94
peak11855	chr4	129444546	129446044	.	1499	263.38	263.81	239.72	240.6	243.69	229.7	267.16	231.32	160.85
peak11856	chr4	129460586	129462692	.	2107	448.69	427.56	400.05	458.02	475.28	514.98	528.97	527.53	474.56
peak11857	chr4	129491460	129492555	.	1096	78.08	44.35	54.48	56.29	45.8	38.84	44.68	41.99	51.95
peak11858	chr4	129495840	129497082	.	1243	48.93	53.44	60.71	60.7	31.11	36.83	40.21	31.3	66.94
peak11859	chr4	129500194	129501863	.	1670	163.44	173.98	191.46	185.41	200.48	208.94	211.77	217.58	211.8
peak11860	chr4	129512361	129515173	.	2813	185.3	178.53	169.67	162.24	149.5	171.44	159.05	165.66	175.84
peak11862	chr4	129540249	129543561	.	3313	519.48	467.36	495.01	523.13	606.62	586.64	555.77	620.66	499.53
peak11863	chr4	129556230	129559360	.	3131	555.91	531.04	499.67	523.13	637.73	648.92	562.03	603.1	534.5
peak11864	chr4	129566909	129568868	.	1960	381.02	361.6	347.13	401.73	291.21	279.26	278.78	308.42	533.5
peak11865	chr4	129569628	129575846	.	6219	1540.74	1530.57	1382.28	1492.15	1946.9	1922.65	1946.1	1891.76	1517.59
peak11866	chr4	129584101	129586065	.	1965	311.27	311.57	317.55	326.68	368.99	364.97	361.88	424.46	326.7
peak11867	chr4	129599246	129601942	.	2697	395.59	393.44	417.17	405.04	474.41	479.49	444.98	507.68	330.69
peak11868	chr4	129608352	129610881	.	2530	237.36	224.01	255.29	218.52	172.83	200.23	171.56	172.53	54.95
peak11869	chr4	129618141	129619772	.	1632	269.63	285.42	312.88	303.51	348.25	350.24	346.69	348.88	298.72
peak11870	chr4	129623043	129625634	.	2592	625.66	651.57	594.63	629.09	793.28	790.22	769.32	824.5	611.43
peak11871	chr4	129639747	129641946	.	2200	483.04	511.7	463.87	427.12	555.64	525.7	532.54	547.37	484.55
peak11872	chr4	129671188	129673814	.	2627	538.22	523.08	540.15	602.6	734.52	782.85	726.44	720.67	595.45
peak11873	chr4	129695501	129697561	.	2061	298.78	275.18	323.78	304.61	424.29	384.4	371.71	410.72	321.7
peak11874	chr4	129701445	129702473	.	1029	61.42	47.76	52.93	60.7	50.98	50.23	51.82	36.64	51.95
peak11876	chr4	129730916	129733711	.	2796	365.4	393.44	401.61	412.77	253.19	281.27	259.12	256.51	354.67
peak11877	chr4	129739386	129743583	.	4198	844.28	836.92	787.65	872.99	1063.75	1059.43	1027.55	1106.96	903.16
peak11878	chr4	129750057	129751093	.	1037	69.75	71.64	73.16	73.95	45.8	59.6	44.68	47.33	12.99
peak11879	chr4	129754003	129755876	.	1874	155.11	168.29	188.35	167.76	158.14	154.7	144.75	147.34	87.92
peak11880	chr4	129760794	129762427	.	1634	194.67	178.53	180.57	173.27	137.4	167.42	139.39	130.55	219.8
peak11881	chr4	129770936	129773104	.	2169	385.18	394.58	362.69	413.87	347.38	356.94	352.94	368.73	321.7
peak11882	chr4	129784909	129786328	.	1420	65.59	62.54	40.47	59.6	38.02	44.87	50.93	41.22	97.91
peak11883	chr4	129792957	129794652	.	1696	149.91	167.16	160.33	166.65	151.22	141.97	154.58	142.76	281.74
peak11884	chr4	129808551	129812697	.	4147	1070.19	1075.72	932.42	1045.16	1385.21	1406.33	1341.18	1383.32	1247.84
peak11885	chr4	129819277	129820144	.	868	236.32	233.11	216.37	235.08	237.64	254.48	243.04	246.59	234.78
peak11886	chr4	129820609	129824622	.	4014	925.48	946.09	926.19	909.41	1121.65	1060.1	1076.7	1082.53	952.11
peak11887	chr4	129826432	129828531	.	2100	259.22	270.63	300.43	294.68	161.59	198.22	168.88	167.95	371.65
peak11888	chr4	129829660	129830790	.	1131	140.54	123.95	155.66	152.3	63.08	75.67	77.74	74.05	225.79
peak11889	chr4	129831514	129832562	.	1049	105.14	100.07	107.41	123.61	63.08	73.66	57.19	59.55	144.87
peak11890	chr4	129837062	129838287	.	1226	64.54	89.83	73.16	84.98	37.16	44.2	42	35.12	98.91
peak11891	chr4	129839563	129840701	.	1139	54.13	57.99	63.82	79.46	39.75	43.53	25.91	41.22	87.92
peak11892	chr4	129876850	129878578	.	1729	326.89	310.43	259.96	301.3	349.11	331.49	276.99	326.75	287.73
peak11893	chr4	129882061	129883867	.	1807	180.1	209.23	199.25	211.9	189.25	230.37	210.87	233.61	200.81
peak11895	chr4	129913155	129915008	.	1854	312.31	319.53	306.65	362	367.26	364.31	351.16	368.73	162.85
peak11896	chr4	129925890	129927267	.	1378	124.92	134.18	132.31	129.13	92.46	83.71	80.42	100.01	49.95
peak11897	chr4	129927879	129929066	.	1188	92.65	108.03	93.4	97.12	93.33	85.05	87.57	84.74	75.93
peak11898	chr4	129959436	129961424	.	1989	452.85	428.69	428.07	459.12	575.52	539.09	503.95	532.11	476.56
peak11899	chr4	129983695	129988739	.	5045	733.93	763.01	759.63	758.21	722.42	670.35	677.29	685.55	704.34
peak11900	chr4	130005902	130007465	.	1564	46.85	53.44	60.71	48.56	42.34	45.54	42.89	35.12	45.96
peak11901	chr4	130015299	130018435	.	3137	525.72	548.09	516.8	539.69	632.55	667.67	656.74	645.09	251.77
peak11902	chr4	130044965	130046632	.	1668	230.07	211.5	193.02	218.52	209.99	200.9	165.3	186.28	236.78
peak11903	chr4	130080773	130082247	.	1475	72.87	84.15	85.61	61.8	57.03	70.99	61.65	74.05	24.98
peak11904	chr4	130086852	130088128	.	1277	66.63	52.31	51.37	44.15	38.89	43.53	42.89	40.46	35.97
peak11905	chr4	130106588	130108891	.	2304	367.49	375.25	344.01	377.45	433.8	452.03	428.89	432.86	380.65
peak11906	chr4	130138181	130140528	.	2348	88.49	69.36	52.93	57.39	44.07	24.11	36.63	33.59	38.96
peak11909	chr4	130174436	130176010	.	1575	58.3	48.9	42.03	59.6	25.92	17.41	29.49	22.14	54.95
peak11911	chr4	130198104	130200087	.	1984	57.26	57.99	48.26	57.39	34.57	28.13	34.85	32.06	71.93
peak11913	chr4	130307137	130309668	.	2532	479.92	503.74	468.54	477.88	447.62	460.74	471.78	448.89	352.67
peak11914	chr4	130358892	130361402	.	2511	606.93	601.54	582.18	577.21	783.77	750.71	814.89	736.7	594.45
peak11915	chr4	130519082	130521457	.	2376	275.88	295.65	263.07	291.37	268.75	279.26	247.51	274.07	327.69
peak11916	chr4	130571793	130575929	.	4137	201.96	226.29	236.61	248.32	131.35	128.58	141.18	124.44	166.84
peak11918	chr4	130662478	130666573	.	4096	861.98	900.6	890.39	871.89	1011.9	1032.64	1007	974.13	829.23
peak11919	chr4	130667323	130669537	.	2215	385.18	395.72	390.71	394.01	270.47	293.99	280.57	267.2	249.77
peak11920	chr4	130676219	130677918	.	1700	67.67	56.86	76.27	76.15	26.79	40.85	31.27	29.77	53.95
peak11921	chr4	130684465	130686876	.	2412	97.86	100.07	98.07	93.81	50.12	57.59	62.55	46.57	123.88
peak11922	chr4	130701574	130705459	.	3886	226.95	230.84	256.84	209.7	97.65	113.18	115.26	122.15	142.87
peak11923	chr4	130712802	130716517	.	3716	240.48	224.01	261.51	257.15	145.18	129.92	142.96	113.75	164.85
peak11924	chr4	130773888	130776237	.	2350	265.46	317.26	333.12	302.4	242.82	280.6	284.14	283.23	104.9
peak11925	chr4	130791291	130795788	.	4498	374.77	418.46	410.95	432.63	274.8	279.93	276.1	309.95	314.71
peak11926	chr4	130801605	130803327	.	1723	104.1	102.34	90.28	81.67	45.8	52.23	36.63	38.93	73.93
peak11927	chr4	130876711	130879229	.	2519	89.53	98.93	80.94	87.19	47.53	54.91	40.21	51.15	65.94
peak11928	chr4	130899397	130903172	.	3776	252.97	286.55	287.97	296.88	203.07	199.56	215.34	203.07	445.59
peak11929	chr4	130904050	130905827	.	1778	109.31	126.22	110.52	125.82	79.5	79.02	97.39	67.18	125.88
peak11930	chr4	130909134	130909842	.	709	90.57	113.71	96.51	99.33	81.23	93.76	83.1	76.34	82.92
peak11931	chr4	130910610	130911340	.	731	105.14	100.07	88.73	99.33	87.28	89.07	80.42	87.03	137.87
peak11932	chr4	130912816	130913472	.	657	113.47	102.34	84.06	119.2	148.63	181.48	153.69	197.73	122.89
peak11933	chr4	130913791	130922539	.	8749	1864.5	1831.9	1682.71	1741.57	2391.93	2307.71	2383.03	2358.98	1932.2
peak11934	chr4	130938388	130940075	.	1688	48.93	45.48	60.71	43.04	17.28	26.79	21.44	29.77	55.95
peak11939	chr4	131837009	131838843	.	1835	283.16	289.97	281.75	301.3	289.49	276.58	287.71	304.61	276.74
peak11940	chr4	131842840	131844592	.	1753	231.11	255.85	252.17	249.43	326.64	291.98	271.63	297.74	253.76
peak11941	chr4	131860464	131861808	.	1345	88.49	103.48	79.39	73.95	67.4	64.96	60.76	69.47	27.97
peak11942	chr4	131872563	131875852	.	3290	778.7	748.23	795.43	795.74	985.12	1007.2	991.81	974.89	711.34
peak11943	chr4	131880811	131881993	.	1183	83.28	61.4	73.16	76.15	40.61	39.51	26.81	31.3	67.94
peak11944	chr4	131888367	131890658	.	2292	44.76	39.8	37.36	37.52	24.2	25.45	31.27	20.61	79.93
peak11945	chr4	131910089	131911729	.	1641	109.31	120.53	152.55	135.75	97.65	108.49	83.99	112.22	154.86
peak11946	chr4	131919661	131921621	.	1961	196.76	216.05	227.27	171.07	171.96	188.85	221.59	173.3	188.82
peak11947	chr4	132007694	132009279	.	1586	123.88	125.08	129.2	146.79	89.01	94.42	97.39	81.69	60.94
peak11948	chr4	132029658	132031377	.	1720	60.38	62.54	62.26	57.39	41.48	36.16	35.74	35.12	82.92
peak11949	chr4	132039374	132042336	.	2963	523.64	571.97	484.11	554.04	510.7	489.54	490.54	500.81	708.34
peak11950	chr4	132045958	132050324	.	4367	617.34	639.06	652.22	671.02	661.93	620.79	661.21	634.4	643.4
peak11951	chr4	132073212	132076072	.	2861	549.67	545.82	491.89	484.51	655.02	634.86	645.12	677.16	521.51
peak11952	chr4	132100638	132102955	.	2318	74.95	72.78	98.07	64.01	46.66	23.44	32.17	34.35	64.94
peak11953	chr4	132113074	132114553	.	1480	89.53	102.34	77.83	94.91	62.22	61.61	59.87	51.91	69.93
peak11954	chr4	132144827	132145839	.	1013	30.19	34.11	28.02	29.8	15.55	12.72	18.76	13.74	31.97
peak11955	chr4	132197232	132198949	.	1718	96.82	93.24	88.73	114.78	53.58	52.23	58.08	69.47	84.92
peak11956	chr4	132200241	132202024	.	1784	88.49	101.2	98.07	83.88	59.63	49.56	56.29	51.15	92.91
peak11957	chr4	132208262	132212861	.	4600	556.96	565.15	627.32	570.59	575.52	556.5	562.92	543.56	546.49
peak11958	chr4	132259574	132262675	.	3102	539.26	526.49	490.34	558.45	649.83	664.99	633.51	661.12	514.52
peak11959	chr4	132268037	132270827	.	2791	328.97	353.64	344.01	322.27	349.11	339.53	334.18	344.3	374.65
peak11960	chr4	132273410	132275884	.	2475	753.71	718.66	723.83	776.98	1078.44	1061.44	1090.99	1019.93	765.29
peak11961	chr4	132302367	132303983	.	1617	217.58	213.78	203.92	204.18	203.07	206.93	214.45	220.63	201.81
peak11962	chr4	132308212	132310667	.	2456	373.73	379.8	367.36	423.8	556.5	521.68	581.68	555.01	443.59
peak11963	chr4	132328545	132330742	.	2198	393.51	387.76	350.24	420.49	529.72	451.36	492.33	510.73	364.66
peak11964	chr4	132344200	132346217	.	2018	289.41	307.02	308.21	318.96	373.31	350.91	364.56	345.83	295.72
peak11965	chr4	132351765	132354329	.	2565	526.77	508.29	527.69	499.96	712.91	650.26	682.65	713.8	638.41
peak11967	chr4	132409231	132410900	.	1670	55.18	67.09	49.81	47.46	32.84	21.43	41.1	29.01	64.94
peak11968	chr4	132420186	132423514	.	3329	501.78	525.35	466.99	546.31	608.35	600.03	567.39	576.38	548.49
peak11969	chr4	132462347	132464892	.	2546	551.75	571.97	533.92	559.55	686.99	697.81	718.39	677.92	534.5
peak11970	chr4	132508953	132511047	.	2095	406.01	388.9	403.16	441.46	476.14	474.8	437.83	519.89	408.62
peak11971	chr4	132514339	132516187	.	1849	269.63	324.08	249.06	275.91	375.04	381.05	361.88	377.13	318.7
peak11972	chr4	132532528	132534335	.	1808	338.34	397.99	322.22	405.04	428.61	405.83	402.09	429.04	379.65
peak11973	chr4	132535032	132537012	.	1981	297.74	336.59	348.68	302.4	423.43	397.79	358.3	392.4	339.68
peak11974	chr4	132572555	132574134	.	1580	118.68	106.89	108.96	112.57	62.22	87.73	71.48	74.05	65.94
peak11975	chr4	132584568	132586889	.	2322	44.76	30.7	37.36	44.15	31.11	29.47	24.13	23.67	90.92
peak11977	chr4	132610573	132612801	.	2229	24.98	22.74	29.58	16.55	12.1	13.39	13.4	13.74	81.92
peak11978	chr4	132638296	132640619	.	2324	472.63	426.42	386.04	495.54	467.5	499.58	525.39	492.41	444.59
peak11979	chr4	132647009	132648834	.	1826	134.29	126.22	110.52	108.16	72.59	64.96	68.8	75.58	77.93
peak11980	chr4	132658075	132661114	.	3040	46.85	47.76	56.04	50.77	32.84	32.81	37.53	26.72	130.88
peak11981	chr4	132731283	132733181	.	1899	205.08	195.58	196.13	207.49	182.33	202.91	183.17	182.46	196.82
peak11982	chr4	132733941	132735191	.	1251	77.04	77.32	76.27	65.12	63.08	65.63	41.1	82.45	32.97
peak11983	chr4	132747125	132749658	.	2534	244.64	280.87	287.97	253.84	265.29	253.14	251.97	257.27	511.52
peak11984	chr4	132753179	132753977	.	799	27.07	31.84	18.68	20.97	15.55	19.42	12.51	19.09	117.89
peak11985	chr4	132755367	132758519	.	3153	474.71	500.33	485.67	499.96	394.91	405.16	417.28	396.22	723.33
peak11986	chr4	132767533	132769825	.	2293	419.54	442.34	418.73	408.35	458.86	467.44	472.67	500.04	478.55
peak11987	chr4	132771461	132772377	.	917	7.29	5.69	12.45	9.93	10.37	6.7	5.36	6.87	164.85
peak11988	chr4	132774602	132775789	.	1188	28.11	25.02	26.46	29.8	25.06	16.07	21.44	19.85	63.94
peak11990	chr4	132783494	132784798	.	1305	30.19	35.25	24.91	25.38	24.2	16.07	15.19	18.32	64.94
peak11991	chr4	132794501	132797028	.	2528	292.53	299.06	286.42	304.61	249.74	261.17	261.8	242.77	509.53
peak11992	chr4	132801425	132803131	.	1707	172.81	170.57	180.57	185.41	158.14	164.07	159.94	160.32	245.77
peak11993	chr4	132804173	132804910	.	738	47.89	37.53	68.49	48.56	22.47	30.81	27.7	23.67	46.96
peak11994	chr4	132807618	132808971	.	1354	31.23	34.11	35.8	40.84	24.2	26.12	19.66	22.14	93.91
peak11997	chr4	132841482	132844048	.	2567	553.83	602.67	507.46	558.45	649.83	680.39	646.02	606.92	593.45
peak11998	chr4	132882921	132885616	.	2696	562.16	622.01	549.49	559.55	724.15	704.5	679.97	703.11	620.42
peak12000	chr4	132921441	132923741	.	2301	392.47	420.73	403.16	407.25	489.1	459.4	449.44	480.96	424.6
peak12001	chr4	132939224	132941785	.	2562	58.3	43.21	37.36	45.25	50.12	36.83	47.36	47.33	167.84
peak12002	chr4	132944057	132944712	.	656	47.89	52.31	65.38	58.49	41.48	35.49	50.93	32.06	60.94
peak12003	chr4	132945227	132947258	.	2032	353.95	324.08	286.42	321.16	417.38	428.59	359.2	442.02	462.57
peak12004	chr4	132950070	132950658	.	589	13.53	12.51	18.68	9.93	8.64	10.05	12.51	6.11	56.95
peak12005	chr4	132971544	132972765	.	1222	186.35	201.27	179.01	238.39	177.15	185.5	174.24	182.46	156.85
peak12006	chr4	132973366	132974649	.	1284	151.99	152.37	140.1	146.79	152.09	158.71	137.6	142	115.89
peak12007	chr4	132975448	132978065	.	2618	525.72	565.15	429.63	488.92	483.92	476.14	433.36	496.23	492.54
peak12008	chr4	132981470	132983280	.	1811	128.05	118.26	101.18	105.95	83.82	87.06	89.35	90.85	44.96
peak12009	chr4	133010539	133014667	.	4129	632.95	610.63	599.3	622.46	711.18	699.81	697.84	729.07	529.51
peak12010	chr4	133023742	133025437	.	1696	83.28	81.87	63.82	81.67	66.54	59.6	43.78	67.94	46.96
peak12011	chr4	133037721	133040419	.	2699	263.38	278.59	323.78	315.65	284.3	265.86	266.27	267.96	225.79
peak12012	chr4	133049747	133051724	.	1978	148.87	151.24	121.42	148.99	119.25	77.01	90.25	98.48	132.88
peak12013	chr4	133055776	133059447	.	3672	460.14	569.7	421.84	487.82	468.36	444	416.38	436.68	393.63
peak12014	chr4	133072635	133074304	.	1670	167.61	175.12	182.12	222.94	149.5	139.29	155.47	142.76	137.87
peak12015	chr4	133078630	133080451	.	1822	287.33	276.32	261.51	284.74	261.83	275.91	221.59	280.94	111.9
peak12016	chr4	133084531	133086784	.	2254	311.27	299.06	286.42	321.16	314.55	299.35	327.92	330.56	186.83
peak12017	chr4	133092088	133093187	.	1100	227.99	210.37	202.36	208.59	212.58	190.86	182.28	190.09	185.83
peak12018	chr4	133094811	133098323	.	3513	682.92	667.49	574.39	625.77	952.28	931.52	876.55	955.04	647.4
peak12019	chr4	133100990	133101738	.	749	58.3	69.36	87.17	65.12	80.36	77.01	71.48	80.16	67.94
peak12020	chr4	133121384	133123039	.	1656	73.91	68.23	77.83	84.98	44.07	46.88	45.57	39.7	120.89
peak12021	chr4	133129202	133132773	.	3572	1267.99	1228.09	1218.83	1258.17	1787.9	1747.19	1756.67	1810.08	1316.77
peak12022	chr4	133138658	133139904	.	1247	98.9	71.64	76.27	83.88	45.8	49.56	61.65	61.84	35.97
peak12023	chr4	133142954	133144812	.	1859	99.94	120.53	118.3	100.43	63.95	71.66	67.91	53.44	96.91
peak12024	chr4	133145686	133147318	.	1633	216.54	225.15	210.14	238.39	139.99	143.31	152.79	127.49	81.92
peak12025	chr4	133158288	133159782	.	1495	174.89	204.68	199.25	203.07	170.23	188.18	153.69	157.27	207.81
peak12026	chr4	133161587	133163355	.	1769	120.76	122.81	118.3	108.16	82.96	92.42	90.25	85.5	151.86
peak12027	chr4	133168594	133170822	.	2229	535.09	545.82	547.93	522.03	502.93	512.3	553.09	538.21	546.49
peak12028	chr4	133174055	133175135	.	1081	204.04	220.6	186.79	186.52	162.46	184.16	171.56	177.88	124.88
peak12029	chr4	133184327	133185914	.	1588	83.28	76.19	70.05	76.15	70.86	54.24	54.5	54.2	40.96
peak12030	chr4	133211508	133213530	.	2023	219.66	245.62	200.8	193.14	207.39	198.22	226.06	194.67	235.78
peak12032	chr4	133240475	133242256	.	1782	167.61	205.82	202.36	214.11	222.95	193.54	221.59	234.37	188.82
peak12033	chr4	133250411	133252408	.	1998	93.69	83.01	113.63	83.88	88.14	80.36	85.78	71	88.92
peak12034	chr4	133261163	133264088	.	2926	621.5	650.43	646	641.23	737.11	794.24	692.48	767.24	629.41
peak12035	chr4	133276066	133278736	.	2671	707.91	687.96	703.59	637.91	857.22	863.22	827.4	832.13	710.34
peak12037	chr4	133297460	133299336	.	1877	81.2	68.23	87.17	69.53	70	54.91	58.08	48.86	17.98
peak12039	chr4	133327583	133329088	.	1506	119.72	138.73	105.85	145.68	95.06	102.46	87.57	98.48	107.9
peak12041	chr4	133337567	133340170	.	2604	468.47	469.63	412.5	444.77	552.18	539.09	571.86	516.07	494.54
peak12042	chr4	133369310	133372633	.	3324	780.78	758.46	775.2	822.23	897.84	884.65	945.35	861.9	753.3
peak12044	chr4	133397774	133400275	.	2502	56.22	43.21	34.25	49.66	16.42	17.41	27.7	28.25	116.89
peak12045	chr4	133400908	133402617	.	1710	55.18	52.31	66.93	48.56	24.2	30.81	28.59	25.19	34.97
peak12046	chr4	133412266	133413849	.	1584	35.4	39.8	45.14	32.01	19.88	20.09	35.74	20.61	110.9
peak12047	chr4	133438851	133441208	.	2358	133.25	125.08	93.4	133.54	63.08	87.73	91.14	66.42	67.94
peak12049	chr4	133467065	133468797	.	1733	67.67	76.19	60.71	72.84	54.44	40.85	51.82	45.04	61.94
peak12050	chr4	133479337	133481140	.	1804	175.94	212.64	185.24	198.66	192.7	176.13	165.3	174.82	240.78
peak12051	chr4	133493857	133494992	.	1136	153.03	162.61	124.53	144.58	134.81	136.61	146.54	147.34	156.85
peak12052	chr4	133496722	133499419	.	2698	348.75	374.11	368.92	396.21	425.16	431.94	417.28	429.81	257.76
peak12053	chr4	133505937	133507687	.	1751	300.86	344.55	325.33	336.62	286.03	279.26	304.69	290.1	52.95
peak12054	chr4	133517884	133519797	.	1914	113.47	125.08	115.19	98.23	51.85	68.31	58.97	77.11	66.94
peak12056	chr4	133544630	133546734	.	2105	318.56	372.98	378.26	386.28	375.9	399.13	393.15	427.52	424.6
peak12057	chr4	133573772	133576005	.	2234	271.71	231.97	292.64	259.36	313.68	311.4	302.9	296.21	248.77
peak12058	chr4	133583186	133585349	.	2164	303.98	322.94	294.2	313.44	425.16	394.44	379.75	400.8	288.73
peak12059	chr4	133598805	133602356	.	3552	441.4	420.73	438.97	477.88	435.53	438.64	444.98	442.79	486.55
peak12060	chr4	133619724	133621529	.	1806	270.67	261.54	287.97	284.74	222.08	229.03	227.85	263.38	220.79
peak12061	chr4	133622061	133623118	.	1058	145.75	137.59	141.65	148.99	128.76	137.28	133.14	116.8	170.84
peak12062	chr4	133625393	133626585	.	1193	289.41	274.05	266.18	279.23	251.46	265.86	274.31	265.67	283.74
peak12063	chr4	133628877	133630042	.	1166	280.04	277.46	250.62	289.16	279.98	294.66	268.06	252.69	253.76
peak12064	chr4	133630261	133633271	.	3011	682.92	705.02	658.45	688.68	988.57	1003.18	1040.96	1033.68	776.28
peak12065	chr4	133648748	133650735	.	1988	201.96	172.84	172.78	164.45	154.68	168.76	167.09	172.53	159.85
peak12066	chr4	133658797	133661563	.	2767	198.84	191.04	200.8	166.65	132.21	128.58	144.75	135.13	348.68
peak12067	chr4	133665844	133667078	.	1235	90.57	105.75	76.27	136.85	69.13	88.4	95.61	83.21	142.87
peak12068	chr4	133670998	133674580	.	3583	736.01	726.62	691.14	688.68	894.38	882.64	837.23	930.61	777.28
peak12069	chr4	133677109	133677706	.	598	19.78	28.43	28.02	24.28	17.28	20.76	20.55	19.85	71.93
peak12070	chr4	133678808	133679971	.	1164	28.11	34.11	14.01	28.7	14.69	12.05	12.51	9.92	49.95
peak12071	chr4	133705722	133708230	.	2509	512.19	504.88	477.88	514.3	495.15	523.02	503.95	548.9	452.58
peak12072	chr4	133711828	133713689	.	1862	161.36	163.75	157.22	187.62	105.42	116.52	95.61	85.5	72.93
peak12073	chr4	133724239	133725868	.	1630	259.22	239.93	241.28	267.09	174.56	198.89	201.04	190.09	285.73
peak12074	chr4	133727615	133730714	.	3100	565.28	617.46	613.31	621.36	531.44	571.24	543.26	542.03	689.36
peak12075	chr4	133739242	133740191	.	950	88.49	81.87	143.21	103.74	74.32	71.66	76.84	57.26	64.94
peak12076	chr4	133742627	133743954	.	1328	190.51	251.3	189.91	216.32	137.4	147.33	140.28	145.81	190.82
peak12077	chr4	133745808	133746875	.	1068	206.13	188.76	174.34	206.38	127.89	139.29	132.24	161.85	97.91
peak12078	chr4	133749950	133752317	.	2368	721.44	648.16	625.76	655.57	903.89	905.41	843.49	904.66	705.34
peak12079	chr4	133754116	133755559	.	1444	272.75	274.05	272.41	274.81	289.49	287.29	281.46	288.57	235.78
peak12080	chr4	133756007	133758133	.	2127	671.47	670.9	720.71	690.89	849.45	870.58	904.25	872.59	729.32
peak12082	chr4	133803823	133805553	.	1731	114.51	111.44	126.09	123.61	72.59	87.73	80.42	86.27	139.87
peak12083	chr4	133812540	133816479	.	3940	732.89	760.73	782.98	738.35	864.14	837.77	817.57	791.67	802.25
peak12084	chr4	133820200	133821615	.	1416	114.51	125.08	115.19	107.05	65.67	78.35	88.46	96.19	25.98
peak12085	chr4	133827416	133830178	.	2763	168.65	162.61	163.45	165.55	152.09	142.64	135.82	126.73	247.77
peak12086	chr4	133836751	133838130	.	1380	72.87	52.31	62.26	65.12	57.03	50.9	39.32	54.2	50.95
peak12087	chr4	133840383	133841848	.	1466	83.28	100.07	59.15	82.77	63.95	68.98	53.61	73.29	141.87
peak12088	chr4	133843086	133845577	.	2492	74.95	80.74	88.73	91.6	49.26	59.6	51.82	54.2	183.83
peak12089	chr4	133871778	133874487	.	2710	500.74	570.83	561.94	544.1	592.8	597.35	604.92	622.19	504.53
