peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K4me3_Rep1_S5	Arm_P14_Day30_H3K4me3_Rep2_S6	Arm_P14_Day30_H3K4me3_Rep3_S7	Arm_P14_Day30_H3K4me3_Rep4_S8
peak10041	chr4	8802750	8804496	.	1747	245.77	226.99	233.82	243.25
peak10042	chr4	8805316	8806759	.	1444	202.81	246.47	240.96	196.1
peak10043	chr4	8810218	8813136	.	2919	323.7	304.91	326.73	350.41
peak10044	chr4	8821872	8824290	.	2419	120.89	106.72	122.52	116.8
peak10045	chr4	8834323	8835143	.	821	126.88	108.41	132.73	110.37
peak10046	chr4	8837019	8840796	.	3778	813.24	731.78	815.8	695.46
peak10047	chr4	8842468	8843525	.	1058	221.79	177.86	206.25	184.31
peak10048	chr4	8909331	8914596	.	5266	1032.04	1028.22	989.38	931.21
peak10049	chr4	8921644	8923541	.	1898	172.84	156.69	148.05	163.95
peak10050	chr4	8925951	8929693	.	3743	940.12	949.45	874	900.13
peak10051	chr4	8941721	8943925	.	2205	355.67	365.89	343.07	326.83
peak10054	chr4	8978552	8980418	.	1867	66.94	73.69	68.41	94.3
peak10055	chr4	8987553	8989005	.	1453	96.91	93.17	76.58	86.8
peak10056	chr4	9008411	9010620	.	2210	307.71	304.06	302.22	328.98
peak10057	chr4	9015250	9016657	.	1408	52.95	59.29	62.28	90.01
peak10058	chr4	9027311	9029369	.	2059	513.52	454.82	447.21	454.35
peak10059	chr4	9032765	9034004	.	1240	86.92	90.63	77.6	77.15
peak10060	chr4	9065587	9067409	.	1823	117.89	107.57	135.8	131.8
peak10061	chr4	9079403	9081374	.	1972	193.82	231.22	201.14	202.53
peak10062	chr4	9082015	9083573	.	1559	114.89	124.5	94.96	123.23
peak10063	chr4	9093736	9095138	.	1403	88.92	94.86	66.37	77.15
peak10064	chr4	9096584	9097430	.	847	59.94	70.3	57.18	61.08
peak10066	chr4	9115140	9117067	.	1928	265.75	272.72	240.96	267.9
peak10067	chr4	9135535	9136934	.	1400	77.93	72.84	87.81	75.01
peak10068	chr4	9184253	9185752	.	1500	24.98	27.95	26.55	30
peak10069	chr4	9336892	9338282	.	1391	26.97	26.26	34.71	27.86
peak10070	chr4	9421610	9423757	.	2148	22.98	22.87	34.71	23.57
peak10071	chr4	9629757	9631925	.	2169	565.47	543.75	551.35	532.58
peak10072	chr4	9657070	9658934	.	1865	80.92	62.68	53.09	76.08
peak10073	chr4	9667586	9669937	.	2352	528.51	493.78	521.75	501.5
peak10075	chr4	9682139	9683646	.	1508	87.92	87.24	84.75	98.59
peak10076	chr4	9769443	9771750	.	2308	329.69	280.35	284.87	315.05
peak10077	chr4	9842676	9846087	.	3412	210.8	239.69	220.54	258.25
peak10078	chr4	9846576	9848205	.	1630	100.91	105.02	106.19	114.66
peak10079	chr4	10752467	10754195	.	1729	36.97	26.26	36.76	36.43
peak10080	chr4	10769109	10770846	.	1738	108.9	107.57	114.36	103.94
peak10083	chr4	10872663	10876068	.	3406	693.35	719.92	721.87	637.59
peak10089	chr4	10964310	10965654	.	1345	51.95	53.36	70.45	62.15
peak10090	chr4	10967467	10968714	.	1248	82.92	68.6	76.58	77.15
peak10091	chr4	10976361	10977653	.	1293	24.98	24.56	29.61	30
peak10092	chr4	10999196	11000569	.	1374	91.91	106.72	101.08	96.44
peak10093	chr4	11005843	11008721	.	2879	714.33	697.06	671.84	705.1
peak10095	chr4	11075086	11078558	.	3473	512.52	547.14	545.23	527.22
peak10096	chr4	11084287	11085537	.	1251	60.94	77.07	70.45	47.15
peak10097	chr4	11088245	11089747	.	1503	133.88	130.43	157.24	110.37
peak10098	chr4	11095093	11096318	.	1226	61.94	62.68	53.09	55.72
peak10099	chr4	11123148	11124529	.	1382	61.94	79.62	54.11	69.65
peak10100	chr4	11135182	11137273	.	2092	92.91	94.86	110.27	97.51
peak10101	chr4	11143041	11143608	.	568	7.99	9.32	13.27	16.07
peak10102	chr4	11146137	11148352	.	2216	634.41	533.59	587.09	580.8
peak10103	chr4	11155298	11159442	.	4145	833.22	841.04	795.38	776.9
peak10104	chr4	11189206	11193488	.	4283	477.56	474.3	479.88	452.21
peak10105	chr4	11234906	11236547	.	1642	30.97	37.27	38.8	41.79
peak10106	chr4	11251708	11254801	.	3094	763.29	761.43	763.73	766.18
peak10107	chr4	11320415	11323276	.	2862	656.39	588.64	585.05	599.02
peak10108	chr4	11384483	11390489	.	6007	1250.84	1321.27	1288.54	1264.47
peak10109	chr4	11403511	11405453	.	1943	85.92	89.78	73.51	93.23
peak10110	chr4	11419379	11420595	.	1217	17.98	40.65	30.63	37.51
peak10111	chr4	11453825	11456416	.	2592	311.71	309.14	284.87	250.75
peak10112	chr4	11468290	11469354	.	1065	66.94	88.93	69.43	88.94
peak10113	chr4	11475618	11477160	.	1543	136.87	112.65	121.5	118.95
peak10114	chr4	11485023	11487419	.	2397	513.52	466.68	521.75	448.99
peak10115	chr4	11488680	11489327	.	648	44.96	55.05	37.78	49.29
peak10116	chr4	11492206	11494069	.	1864	270.75	320.15	306.31	279.68
peak10117	chr4	11494675	11495122	.	448	44.96	50.82	45.95	48.22
peak10118	chr4	11506490	11507954	.	1465	73.93	88.08	88.83	87.87
peak10119	chr4	11557712	11559754	.	2043	292.73	279.5	279.76	276.47
peak10121	chr4	11615624	11617239	.	1616	69.93	70.3	56.16	64.3
peak10123	chr4	11682231	11684946	.	2716	334.69	319.31	330.81	325.76
peak10124	chr4	11693523	11695089	.	1567	61.94	54.21	40.84	61.08
peak10125	chr4	11703791	11708494	.	4704	842.22	758.89	788.23	707.25
peak10126	chr4	11712396	11713619	.	1224	75.93	71.99	88.83	78.23
peak10127	chr4	11720423	11722398	.	1976	247.77	254.09	268.53	241.11
peak10128	chr4	11724468	11725462	.	995	82.92	77.07	70.45	84.66
peak10129	chr4	11767435	11772557	.	5123	1000.07	885.93	969.98	807.97
peak10130	chr4	11793700	11795356	.	1657	204.81	212.59	194	218.6
peak10133	chr4	11899202	11901184	.	1983	172.84	188.03	182.76	203.6
peak10134	chr4	11913908	11915380	.	1473	152.86	141.44	160.3	139.31
peak10135	chr4	11925871	11927555	.	1685	64.94	60.98	72.49	65.37
peak10136	chr4	11965063	11967769	.	2707	458.57	480.23	452.32	455.42
peak10137	chr4	12087253	12092160	.	4908	1098.98	1027.37	1055.74	975.14
peak10138	chr4	12139574	12142896	.	3323	754.3	784.29	735.14	726.53
peak10139	chr4	12169997	12172676	.	2680	426.6	392.15	422.71	399.7
peak10140	chr4	12240718	12242635	.	1918	53.95	58.44	64.32	57.87
peak10141	chr4	12655005	12657395	.	2391	38.96	54.21	29.61	51.44
peak10143	chr4	12905974	12908336	.	2363	282.74	276.11	262.4	259.32
peak10144	chr4	14825273	14827564	.	2292	502.53	481.93	512.56	466.14
peak10145	chr4	14844583	14846653	.	2071	271.75	256.63	267.51	240.03
peak10146	chr4	14863124	14866158	.	3035	729.32	663.18	670.82	618.3
peak10147	chr4	14881115	14883424	.	2310	342.68	337.94	345.11	335.41
peak10148	chr4	14928888	14932623	.	3736	240.78	254.94	253.21	252.89
peak10149	chr4	15264693	15269602	.	4910	665.38	718.23	710.64	646.17
peak10152	chr4	15944229	15946381	.	2153	395.63	398.08	378.8	415.77
peak10153	chr4	15957195	15959383	.	2189	424.6	431.95	422.71	440.42
peak10155	chr4	15988322	15989767	.	1446	97.91	91.47	81.68	82.51
peak10156	chr4	16012131	16014870	.	2740	421.61	459.06	457.42	439.35
peak10157	chr4	16070743	16072422	.	1680	258.76	259.17	245.05	257.18
peak10159	chr4	16101074	16103268	.	2195	261.76	257.48	251.17	262.54
peak10160	chr4	16159394	16160251	.	858	181.83	152.45	158.26	147.88
peak10161	chr4	16161010	16165110	.	4101	1258.83	1164.58	1168.06	1127.31
peak10162	chr4	16167794	16169618	.	1825	471.56	475.15	493.16	438.28
peak10163	chr4	16254348	16257807	.	3460	96.91	75.38	75.56	91.08
peak10164	chr4	16646927	16648240	.	1314	61.94	67.76	61.26	66.44
peak10167	chr4	16752051	16754232	.	2182	20.98	17.79	13.27	20.36
peak10168	chr4	16917109	16919571	.	2463	99.91	86.39	113.33	109.3
peak10169	chr4	17852249	17858641	.	6393	669.38	676.73	675.92	644.02
peak10170	chr4	17889492	17891260	.	1769	25.98	24.56	32.67	40.72
peak10172	chr4	18648521	18650233	.	1713	45.96	34.73	42.88	38.58
peak10175	chr4	19328025	19329404	.	1380	84.92	75.38	86.79	88.94
peak10176	chr4	19332497	19334080	.	1584	68.94	95.71	62.28	82.51
peak10178	chr4	19568200	19570437	.	2238	555.48	514.96	534	497.22
peak10179	chr4	19574325	19576641	.	2317	505.53	524.27	482.95	447.92
peak10180	chr4	19696538	19699220	.	2683	104.9	110.95	109.25	111.44
peak10181	chr4	19706831	19709878	.	3048	564.47	595.42	662.65	578.66
peak10183	chr4	19894418	19896587	.	2170	310.71	315.07	312.43	294.69
peak10184	chr4	19902390	19904389	.	2000	84.92	80.46	64.32	92.16
peak10185	chr4	19922986	19924117	.	1132	60.94	51.67	58.2	41.79
peak10186	chr4	19925476	19928950	.	3475	528.51	503.95	504.39	495.07
peak10187	chr4	19948455	19951328	.	2874	122.89	166.01	132.73	128.59
peak10190	chr4	20007440	20010041	.	2602	143.87	175.32	156.22	185.38
peak10191	chr4	20032532	20033902	.	1371	161.85	154.15	151.11	165.02
peak10192	chr4	20041098	20043873	.	2776	435.59	387.07	413.52	366.48
peak10193	chr4	21676911	21681331	.	4421	455.58	443.81	445.17	488.64
peak10194	chr4	21687676	21691056	.	3381	567.47	594.57	547.27	573.3
peak10195	chr4	21712232	21714278	.	2047	64.94	49.12	54.11	58.94
peak10196	chr4	21726427	21729182	.	2756	666.38	719.08	696.34	622.59
peak10197	chr4	21754914	21756822	.	1909	53.95	57.59	51.05	56.79
peak10198	chr4	21765227	21767653	.	2427	340.68	343.02	387.99	351.48
peak10199	chr4	21775571	21777921	.	2351	559.48	558.15	558.5	577.58
peak10201	chr4	21847085	21850721	.	3637	644.4	653.86	644.27	646.17
peak10202	chr4	21878174	21881015	.	2842	636.41	644.54	652.44	597.94
peak10203	chr4	21930070	21932808	.	2739	345.68	376.05	332.85	339.69
peak10204	chr4	21935362	21937611	.	2250	208.81	234.61	233.82	205.74
peak10206	chr4	21988920	21991181	.	2262	36.97	33.03	27.57	26.79
peak10208	chr4	22356549	22359248	.	2700	383.64	384.52	405.35	382.56
peak10210	chr4	22477766	22479121	.	1356	68.94	71.15	73.51	73.94
peak10211	chr4	22487800	22490848	.	3049	274.74	246.47	235.86	245.39
peak10212	chr4	24495286	24498792	.	3507	715.33	641.16	604.45	666.53
peak10214	chr4	24543004	24545554	.	2551	96.91	96.55	120.48	109.3
peak10215	chr4	24551591	24552652	.	1062	64.94	62.68	76.58	49.29
peak10216	chr4	24554830	24557400	.	2571	132.88	111.8	128.65	135.02
peak10217	chr4	24566488	24569649	.	3162	357.67	331.17	345.11	282.9
peak10218	chr4	24849660	24851990	.	2331	224.79	202.43	225.65	226.1
peak10219	chr4	24896733	24899790	.	3058	541.5	535.29	550.33	525.08
peak10220	chr4	24942292	24943828	.	1537	55.95	64.37	77.6	80.37
peak10221	chr4	24965366	24968089	.	2724	156.85	168.55	178.68	160.74
peak10222	chr4	25280515	25282570	.	2056	502.53	502.25	502.35	482.21
peak10223	chr4	26337600	26340033	.	2434	185.83	190.57	190.93	182.17
peak10224	chr4	26342202	26342870	.	669	122.89	95.71	111.29	108.23
peak10225	chr4	26344790	26347652	.	2863	895.17	924.04	839.28	797.26
peak10226	chr4	28811653	28815366	.	3714	297.72	317.61	315.5	318.26
peak10227	chr4	31823268	31825332	.	2065	281.74	288.82	257.3	244.32
peak10229	chr4	31936351	31939321	.	2971	179.83	171.93	158.26	196.1
peak10230	chr4	31956729	31958159	.	1431	35.97	55.05	36.76	37.51
peak10231	chr4	31962720	31965818	.	3099	644.4	653.01	721.87	636.52
peak10232	chr4	32054891	32057469	.	2579	167.84	183.79	186.85	195.03
peak10233	chr4	32062306	32064332	.	2027	65.94	77.07	65.35	77.15
peak10234	chr4	32065517	32066950	.	1434	49.95	60.13	54.11	73.94
peak10235	chr4	32073790	32075378	.	1589	69.93	83.85	81.68	54.65
peak10236	chr4	32100777	32102104	.	1328	58.95	57.59	45.95	58.94
peak10238	chr4	32117273	32119327	.	2055	111.9	112.65	123.54	112.52
peak10239	chr4	32126050	32127816	.	1767	178.83	198.19	217.48	219.67
peak10240	chr4	32137879	32140682	.	2804	89.92	63.52	99.04	98.59
peak10241	chr4	32148048	32150060	.	2013	347.68	303.22	312.43	317.19
peak10242	chr4	32159924	32161407	.	1484	104.9	132.13	108.23	121.09
peak10243	chr4	32163998	32166966	.	2969	549.49	559.85	542.17	530.43
peak10244	chr4	32170508	32171534	.	1027	27.97	38.11	41.86	37.51
peak10246	chr4	32179543	32180765	.	1223	108.9	117.73	116.4	98.59
peak10247	chr4	32187550	32190069	.	2520	59.94	69.45	52.07	69.65
peak10249	chr4	32215996	32218237	.	2242	258.76	243.93	246.07	242.18
peak10251	chr4	32237900	32243288	.	5389	486.55	520.04	497.24	485.43
peak10252	chr4	32248086	32253029	.	4944	1109.97	1045.16	997.54	944.07
peak10253	chr4	32257189	32259027	.	1839	208.81	209.2	216.46	203.6
peak10254	chr4	32262674	32265009	.	2336	194.82	211.74	181.74	219.67
peak10255	chr4	32280128	32282302	.	2175	324.7	288.82	308.35	293.61
peak10256	chr4	32287560	32289447	.	1888	215.8	210.05	201.14	223.96
peak10257	chr4	32289781	32292302	.	2522	216.8	223.6	196.04	244.32
peak10258	chr4	32306402	32307957	.	1556	25.98	23.72	27.57	46.08
peak10260	chr4	32334583	32337523	.	2941	467.56	444.66	496.22	416.85
peak10261	chr4	32342864	32344691	.	1828	203.81	217.67	207.27	214.32
peak10262	chr4	32347123	32347701	.	579	30.97	44.89	45.95	28.93
peak10263	chr4	32349204	32352538	.	3335	227.79	198.19	215.44	205.74
peak10264	chr4	32362819	32365969	.	3151	301.72	271.88	277.72	292.54
peak10267	chr4	32387261	32389319	.	2059	138.87	143.98	121.5	140.38
peak10268	chr4	32393021	32395500	.	2480	57.95	60.98	65.35	85.73
peak10269	chr4	32404139	32406467	.	2329	178.83	185.49	182.76	183.24
peak10270	chr4	32410265	32411738	.	1474	35.97	40.65	37.78	55.72
peak10271	chr4	32423228	32426940	.	3713	599.44	561.54	539.1	540.08
peak10272	chr4	32439070	32440510	.	1441	43.96	55.9	50.03	52.51
peak10273	chr4	32530548	32532047	.	1500	21.98	21.17	29.61	31.08
peak10274	chr4	32559795	32561601	.	1807	34.97	47.43	37.78	43.93
peak10275	chr4	32564707	32565769	.	1063	9.99	15.25	9.19	24.65
peak10277	chr4	32586461	32589065	.	2605	374.65	353.19	384.93	355.77
peak10278	chr4	32604792	32607472	.	2681	74.93	68.6	63.3	85.73
peak10279	chr4	32614319	32616834	.	2516	554.48	526.82	557.48	536.86
peak10280	chr4	32656413	32658783	.	2371	454.58	400.62	379.82	406.13
peak10281	chr4	32766993	32769005	.	2013	67.94	69.45	68.41	79.3
peak10282	chr4	32799077	32801519	.	2443	415.61	415.86	416.58	392.2
peak10283	chr4	32852473	32854249	.	1777	27.97	25.41	49.01	36.43
peak10284	chr4	32862069	32864936	.	2868	77.93	83	73.51	90.01
peak10285	chr4	32868275	32870369	.	2095	46.96	53.36	64.32	63.22
peak10286	chr4	32874250	32875533	.	1284	13.99	15.25	15.32	22.5
peak10287	chr4	32888849	32890392	.	1544	31.97	52.51	47.99	58.94
peak10288	chr4	32906249	32907600	.	1352	32.97	60.13	52.07	77.15
peak10289	chr4	32931826	32932977	.	1152	41.96	44.89	42.88	45.01
peak10291	chr4	32949643	32952039	.	2397	268.75	318.46	301.2	250.75
peak10292	chr4	32981808	32985465	.	3658	591.45	539.52	545.23	602.23
peak10293	chr4	33014731	33016011	.	1281	48.95	58.44	43.9	63.22
peak10295	chr4	33030194	33034326	.	4133	764.29	723.31	765.77	705.1
peak10296	chr4	33059070	33060960	.	1891	38.96	62.68	49.01	64.3
peak10297	chr4	33072360	33073471	.	1112	60.94	53.36	75.56	38.58
peak10298	chr4	33076527	33078340	.	1814	25.98	19.48	25.53	32.15
peak10300	chr4	33109525	33111968	.	2444	301.72	270.18	289.97	288.26
peak10301	chr4	33146380	33148077	.	1698	52.95	56.75	51.05	61.08
peak10302	chr4	33187135	33190266	.	3132	277.74	280.35	292.01	346.12
peak10303	chr4	33207692	33210388	.	2697	270.75	251.55	244.03	256.11
peak10304	chr4	33226470	33228495	.	2026	51.95	66.06	65.35	79.3
peak10305	chr4	33245909	33249515	.	3607	578.46	531.05	594.24	566.87
peak10306	chr4	33254332	33256642	.	2311	50.95	62.68	43.9	70.72
peak10307	chr4	33269468	33271028	.	1561	13.99	16.94	19.4	25.72
peak10308	chr4	33288492	33291213	.	2722	208.81	220.21	200.12	234.68
peak10309	chr4	33297810	33299597	.	1788	44.96	67.76	53.09	73.94
peak10310	chr4	33309690	33311980	.	2291	567.47	516.65	523.79	498.29
peak10311	chr4	33315339	33316691	.	1353	203.81	206.66	184.81	207.89
peak10314	chr4	33580816	33582595	.	1780	270.75	259.17	287.93	233.61
peak10315	chr4	33586370	33589762	.	3393	770.28	732.63	720.85	729.75
peak10318	chr4	33922938	33926896	.	3959	84.92	71.15	76.58	79.3
peak10319	chr4	33987769	33989753	.	1985	135.87	126.2	117.42	133.95
peak10321	chr4	33996291	33998105	.	1815	20.98	28.8	28.59	23.57
peak10322	chr4	34048408	34050499	.	2092	28.97	17.79	38.8	35.36
peak10323	chr4	34428629	34430420	.	1792	21.98	27.95	27.57	22.5
peak10324	chr4	34549615	34550881	.	1267	348.68	315.92	350.21	346.12
peak10325	chr4	34551166	34553326	.	2161	507.53	461.6	449.25	467.21
peak10326	chr4	34578658	34582088	.	3431	137.87	171.93	164.39	169.31
peak10327	chr4	34613732	34616161	.	2430	601.44	616.59	601.39	556.15
peak10328	chr4	34685589	34688133	.	2545	511.52	469.22	474.78	469.35
peak10329	chr4	34728020	34731205	.	3186	235.78	228.68	226.67	252.89
peak10330	chr4	34777094	34778991	.	1898	364.66	348.95	394.12	315.05
peak10331	chr4	34781169	34783005	.	1837	140.87	124.5	135.8	121.09
peak10333	chr4	34847094	34848960	.	1867	211.8	225.29	190.93	220.75
peak10334	chr4	34856106	34860629	.	4524	223.79	193.96	213.39	229.32
peak10336	chr4	34867371	34869374	.	2004	179.83	184.64	163.36	161.81
peak10337	chr4	34873929	34875171	.	1243	72.93	80.46	85.77	81.44
peak10338	chr4	34880620	34883670	.	3051	613.43	559	578.92	543.29
peak10339	chr4	34886118	34888119	.	2002	482.55	455.67	486.01	435.06
peak10340	chr4	34888660	34889923	.	1264	139.87	127.05	113.33	128.59
peak10342	chr4	34899681	34900842	.	1162	31.97	33.88	41.86	58.94
peak10343	chr4	35003988	35005469	.	1482	31.97	26.26	30.63	31.08
peak10344	chr4	35095927	35097052	.	1126	14.99	12.7	11.23	20.36
peak10345	chr4	35099466	35100970	.	1505	43.96	50.82	47.99	63.22
peak10347	chr4	35137466	35138861	.	1396	54.95	77.07	58.2	86.8
peak10348	chr4	35139723	35141597	.	1875	417.61	444.66	408.41	414.7
peak10349	chr4	35155070	35157812	.	2743	982.09	869.84	882.17	869.06
peak10350	chr4	35223520	35227453	.	3934	812.24	757.19	756.58	698.67
peak10351	chr4	40133434	40135446	.	2013	57.95	55.9	61.26	63.22
peak10352	chr4	40142304	40144612	.	2309	623.42	597.11	628.95	600.09
peak10353	chr4	40170728	40173491	.	2764	242.77	238	207.27	213.25
peak10354	chr4	40236775	40237443	.	669	44.96	49.12	41.86	39.65
peak10355	chr4	40237577	40240585	.	3009	680.37	608.12	642.23	554.01
peak10356	chr4	40244039	40244859	.	821	46.96	55.05	44.93	60.01
peak10357	chr4	40267396	40270290	.	2895	630.41	643.7	644.27	555.08
peak10358	chr4	40278149	40280537	.	2389	473.56	448.05	422.71	451.14
peak10359	chr4	40300887	40302260	.	1374	96.91	81.31	69.43	83.58
peak10360	chr4	40605320	40608098	.	2779	42.96	47.43	50.03	54.65
peak10361	chr4	40702027	40704344	.	2318	558.48	504.79	556.46	514.36
peak10362	chr4	40720545	40726679	.	6135	1278.81	1308.57	1290.58	1253.75
peak10363	chr4	40756774	40758815	.	2042	428.6	402.31	389.01	372.91
peak10364	chr4	40759419	40760553	.	1135	128.88	132.13	123.54	132.88
peak10365	chr4	40772339	40775614	.	3276	150.86	150.76	166.43	161.81
peak10366	chr4	40776502	40777831	.	1330	135.87	158.38	126.61	145.74
peak10367	chr4	40780462	40782825	.	2364	552.49	514.11	576.88	546.51
peak10369	chr4	40822979	40825614	.	2636	260.76	237.15	244.03	262.54
peak10370	chr4	40832918	40834957	.	2040	444.59	442.97	459.46	431.85
peak10371	chr4	40837206	40840995	.	3790	649.4	657.25	650.39	621.52
peak10372	chr4	40844166	40847361	.	3196	456.57	478.54	513.58	465.07
peak10373	chr4	40850532	40854799	.	4268	1404.69	1362.77	1355.92	1236.61
peak10374	chr4	40875098	40877722	.	2625	299.72	271.88	263.43	290.4
peak10375	chr4	40882663	40884403	.	1741	43.96	39.81	33.69	53.58
peak10377	chr4	40946553	40949975	.	3423	655.39	597.11	614.66	521.86
peak10378	chr4	40969653	40972524	.	2872	323.7	305.76	283.85	294.69
peak10380	chr4	41063766	41064945	.	1180	41.96	45.74	38.8	43.93
peak10381	chr4	41096547	41099290	.	2744	448.58	459.9	463.55	420.06
peak10382	chr4	41123576	41125398	.	1823	332.69	322.7	304.27	276.47
peak10383	chr4	41134412	41138095	.	3684	475.56	536.98	494.18	455.42
peak10385	chr4	41157264	41158641	.	1378	45.96	47.43	37.78	46.08
peak10387	chr4	41240386	41241650	.	1265	119.89	113.49	143.96	127.52
peak10388	chr4	41254552	41257736	.	3185	130.88	127.05	143.96	132.88
peak10389	chr4	41273544	41276271	.	2728	506.53	489.55	511.53	483.28
peak10391	chr4	41303382	41305547	.	2166	309.71	295.59	269.55	288.26
peak10392	chr4	41313073	41315644	.	2572	486.55	482.77	499.28	459.71
peak10394	chr4	41347733	41350748	.	3016	643.4	599.65	585.05	581.87
peak10397	chr4	41463436	41465947	.	2512	659.39	614.9	614.66	572.23
peak10398	chr4	41502700	41503497	.	798	48.95	72.84	60.24	61.08
peak10399	chr4	41506210	41508387	.	2178	252.76	275.27	283.85	294.69
peak10402	chr4	41568358	41570275	.	1918	432.6	417.56	408.41	383.63
peak10406	chr4	41638967	41641380	.	2414	190.82	213.44	216.46	210.03
peak10407	chr4	41651566	41653782	.	2217	123.88	110.95	116.4	112.52
peak10409	chr4	41664143	41665473	.	1331	74.93	52.51	58.2	48.22
peak10410	chr4	41695744	41698629	.	2886	99.91	94.86	93.93	99.66
peak10411	chr4	41706814	41707902	.	1089	47.96	56.75	52.07	67.51
peak10412	chr4	41712544	41714856	.	2313	358.67	387.07	357.36	355.77
peak10413	chr4	41721880	41723734	.	1855	362.66	306.6	359.4	288.26
peak10414	chr4	41725585	41726243	.	659	60.94	65.22	61.26	62.15
peak10415	chr4	41730244	41732177	.	1934	288.73	297.29	293.03	305.4
peak10416	chr4	41739872	41741891	.	2020	531.51	509.03	539.1	456.5
peak10417	chr4	41754642	41756756	.	2115	413.61	443.81	453.34	394.34
peak10418	chr4	41770022	41770851	.	830	27.97	38.11	44.93	27.86
peak10419	chr4	41772669	41774957	.	2289	325.7	301.52	277.72	256.11
peak10420	chr4	41803747	41804711	.	965	43.96	51.67	44.93	45.01
peak10421	chr4	41910060	41911286	.	1227	110.9	102.48	107.21	84.66
peak10422	chr4	41941003	41943050	.	2048	101.91	80.46	98.02	79.3
peak10424	chr4	42053569	42055714	.	2146	94.91	88.93	87.81	79.3
peak10425	chr4	42082769	42083684	.	916	29.97	34.73	26.55	26.79
peak10426	chr4	42121112	42122461	.	1350	122.89	106.72	110.27	96.44
peak10427	chr4	42152814	42154871	.	2058	68.94	72.84	82.7	57.87
peak10428	chr4	42262158	42263374	.	1217	86.92	96.55	107.21	86.8
peak10429	chr4	42293156	42295294	.	2139	80.92	105.87	86.79	86.8
peak10431	chr4	42438385	42440521	.	2137	83.92	103.33	98.02	98.59
peak10434	chr4	42550877	42553227	.	2351	83.92	79.62	88.83	92.16
peak10435	chr4	42580082	42581046	.	965	35.97	29.64	44.93	26.79
peak10436	chr4	42618440	42619836	.	1397	110.9	121.12	102.1	112.52
peak10437	chr4	42649958	42652029	.	2072	73.93	79.62	79.64	76.08
peak10438	chr4	42734119	42736164	.	2046	88.92	80.46	101.08	85.73
peak10439	chr4	42766429	42767834	.	1406	136.87	118.58	125.59	122.16
peak10443	chr4	42932853	42935276	.	2424	100.91	105.02	110.27	87.87
peak10444	chr4	42948719	42950784	.	2066	425.6	460.75	443.13	430.78
peak10445	chr4	42965090	42966169	.	1080	80.92	71.15	67.39	97.51
peak10446	chr4	42997480	43001100	.	3621	823.23	778.37	811.72	768.33
peak10447	chr4	43009388	43011284	.	1897	337.69	357.42	378.8	360.05
peak10448	chr4	43024833	43026168	.	1336	243.77	276.96	224.63	257.18
peak10449	chr4	43030309	43032218	.	1910	353.67	347.26	337.96	323.62
peak10450	chr4	43039100	43040819	.	1720	302.72	286.28	294.06	267.9
peak10451	chr4	43043734	43047512	.	3779	653.39	696.21	680	605.45
peak10453	chr4	43058100	43060362	.	2263	454.58	446.35	408.41	451.14
peak10455	chr4	43165213	43166488	.	1276	31.97	45.74	33.69	36.43
peak10456	chr4	43170929	43173519	.	2591	122.89	108.41	122.52	102.87
peak10458	chr4	43286803	43288362	.	1560	58.95	55.05	58.2	54.65
peak10461	chr4	43425098	43426597	.	1500	100.91	89.78	103.12	113.59
peak10462	chr4	43427111	43428506	.	1396	151.86	119.42	133.75	129.66
peak10464	chr4	43441790	43444773	.	2984	569.47	549.68	529.91	459.71
peak10465	chr4	43452626	43455209	.	2584	323.7	332.01	315.5	285.04
peak10466	chr4	43456206	43457975	.	1770	307.71	250.7	250.15	259.32
peak10467	chr4	43473069	43474047	.	979	66.94	55.05	65.35	63.22
peak10468	chr4	43477884	43479915	.	2032	559.48	553.92	508.47	505.79
peak10469	chr4	43481681	43484401	.	2721	676.37	688.59	677.96	609.73
peak10470	chr4	43492249	43494693	.	2445	494.54	477.69	530.93	472.57
peak10471	chr4	43498750	43500461	.	1712	254.76	264.25	265.47	255.04
peak10472	chr4	43507654	43509658	.	2005	319.7	313.38	282.82	257.18
peak10473	chr4	43523130	43526104	.	2975	213.8	241.39	243	220.75
peak10474	chr4	43558096	43563720	.	5625	1847.28	1863.33	1821.51	1756.33
peak10475	chr4	43576513	43579886	.	3374	789.27	822.41	827.03	753.32
peak10477	chr4	43615538	43618937	.	3400	98.91	110.11	107.21	136.09
peak10478	chr4	43629915	43632160	.	2246	94.91	79.62	91.89	72.87
peak10479	chr4	43653219	43653957	.	739	55.95	49.12	49.01	60.01
peak10480	chr4	43655322	43657494	.	2173	464.57	445.51	453.34	457.57
peak10481	chr4	43662837	43665034	.	2198	168.84	176.17	147.03	129.66
peak10482	chr4	43668583	43670791	.	2209	270.75	272.72	247.09	298.97
peak10485	chr4	43822492	43824274	.	1783	96.91	112.65	108.23	106.09
peak10488	chr4	43871594	43872409	.	816	76.93	79.62	74.54	84.66
peak10489	chr4	43874712	43877443	.	2732	506.53	488.7	490.09	502.57
peak10490	chr4	43889470	43891177	.	1708	45.96	58.44	34.71	48.22
peak10491	chr4	43903308	43905075	.	1768	194.82	164.31	162.34	150.02
peak10493	chr4	43933595	43934638	.	1044	149.86	132.97	154.18	146.81
peak10494	chr4	43936001	43938902	.	2902	525.51	487.01	528.89	480.07
peak10495	chr4	43941037	43941803	.	767	19.98	36.42	28.59	36.43
