peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27ac_Rep1_S1	Naive_P14_Day30_H3K27ac_Rep2_S2	Naive_P14_Day30_H3K27ac_Rep3_S3	Naive_P14_Day30_H3K27ac_Rep4_S4	Naive_P14_Day32_H3K27ac_Rep1_S9	Naive_P14_Day32_H3K27ac_Rep2_S10	Naive_P14_Day32_H3K27ac_Rep3_S11	Naive_P14_Day32_H3K27ac_Rep4_S12
peak3443	chr2	43737373	43740049	.	2677	549.51	530.07	490.63	553.09	535.47	603.08	563.43	603.68
peak3444	chr2	43747890	43751698	.	3809	668.65	775.65	701.95	756.95	607.86	726.9	665.43	681.35
peak3445	chr2	43756036	43757729	.	1694	187.22	189.66	198.22	206.29	206.83	186.79	217.36	250.71
peak3446	chr2	43770889	43773591	.	2703	318.52	342.84	312.07	334.62	340.13	376.79	367.93	354.93
peak3447	chr2	43778921	43779834	.	914	16.21	30.39	22.93	21.93	25.28	26.68	25.5	30.48
peak3448	chr2	43789436	43791279	.	1844	34.85	34.04	31.94	34.92	52.86	28.82	44.93	34.41
peak3449	chr2	43793333	43795494	.	2162	61.6	58.36	67.98	60.1	56.3	61.91	63.14	71.77
peak3451	chr2	43860896	43862595	.	1700	27.56	29.18	37.68	30.86	31.03	24.55	38.86	30.48
peak3452	chr2	43898144	43901554	.	3411	71.32	85.1	86	83.65	74.69	67.25	77.71	79.64
peak3454	chr2	44158273	44160066	.	1794	35.66	34.04	29.49	26.8	34.47	39.49	21.86	40.31
peak3455	chr2	44164318	44167371	.	3054	17.02	9.73	9.01	13.81	14.94	8.54	17	13.76
peak3456	chr2	44322769	44325799	.	3031	43.77	34.04	40.13	49.54	57.45	50.17	38.86	49.16
peak3457	chr2	44328761	44329428	.	668	9.73	13.37	6.55	4.06	1.15	7.47	8.5	5.9
peak3458	chr2	44330313	44331516	.	1204	10.54	7.29	8.19	5.69	5.75	6.4	8.5	7.87
peak3459	chr2	44342388	44345611	.	3224	9.73	21.88	11.47	12.99	20.68	17.08	26.71	16.71
peak3460	chr2	44352372	44353723	.	1352	6.48	4.86	7.37	5.69	12.64	3.2	9.71	5.9
peak3461	chr2	44424883	44428258	.	3376	3.24	6.08	6.55	3.25	12.64	8.54	14.57	6.88
peak3462	chr2	44790602	44792380	.	1779	52.68	48.63	44.23	61.73	44.81	43.76	43.71	39.33
peak3463	chr2	44803916	44805361	.	1446	16.21	26.75	13.11	26.8	24.13	13.88	19.43	20.65
peak3464	chr2	44873367	44875286	.	1920	9.73	15.8	9.01	3.25	6.89	6.4	8.5	11.8
peak3465	chr2	44885403	44887764	.	2362	9.73	8.51	2.46	8.93	13.79	9.61	14.57	9.83
peak3466	chr2	44900820	44902810	.	1991	23.5	32.83	20.48	24.37	17.24	14.94	26.71	34.41
peak3467	chr2	44918309	44924264	.	5956	150.75	164.13	137.61	152.69	168.91	176.12	155.43	156.33
peak3468	chr2	44925637	44927998	.	2362	136.97	155.62	145.8	148.63	127.55	127.02	154.22	137.65
peak3470	chr2	44960075	44961729	.	1655	20.26	29.18	16.38	13.81	12.64	17.08	20.64	13.76
peak3471	chr2	44976194	44977604	.	1411	34.04	27.96	39.32	36.55	29.88	20.28	36.43	26.55
peak3473	chr2	44980500	44982416	.	1917	29.99	34.04	27.03	25.99	33.32	23.48	30.36	29.5
peak3474	chr2	45016886	45020631	.	3746	32.42	41.34	40.95	35.74	24.13	29.89	36.43	37.36
peak3475	chr2	45023324	45025134	.	1811	1.62	2.43	3.28	3.25	4.6	9.61	4.86	6.88
peak3477	chr2	45054273	45056628	.	2356	1.62	7.29	4.1	4.87	2.3	5.34	0	4.92
peak3478	chr2	45067143	45068927	.	1785	1.62	7.29	2.46	4.06	2.3	4.27	9.71	4.92
peak3479	chr2	45094132	45095208	.	1077	2.43	1.22	0.82	1.62	2.3	3.2	1.21	1.97
peak3480	chr2	45102833	45104790	.	1958	4.86	6.08	2.46	4.06	6.89	4.27	6.07	3.93
peak3481	chr2	45109874	45113255	.	3382	21.88	18.24	25.39	21.12	21.83	26.68	26.71	30.48
peak3482	chr2	45114266	45115207	.	942	1.62	3.65	2.46	5.69	6.89	3.2	4.86	2.95
peak3483	chr2	45116171	45117151	.	981	4.05	6.08	2.46	6.5	3.45	4.27	7.29	3.93
peak3485	chr2	45138583	45139978	.	1396	4.05	4.86	0.82	4.87	4.6	1.07	3.64	2.95
peak3486	chr2	45142977	45144789	.	1813	3.24	3.65	2.46	1.62	3.45	2.13	3.64	0.98
peak3487	chr2	45170481	45173549	.	3069	9.73	10.94	5.73	7.31	5.75	6.4	12.14	6.88
peak3488	chr2	45176646	45178073	.	1428	0	7.29	1.64	1.62	2.3	4.27	8.5	4.92
peak3489	chr2	45185225	45190554	.	5330	5.67	12.16	9.01	7.31	9.19	16.01	14.57	8.85
peak3490	chr2	45190778	45191317	.	540	0	1.22	0	0.81	1.15	1.07	0	0
peak3491	chr2	45191669	45192301	.	633	0	0	0	0	0	1.07	3.64	0
peak3492	chr2	45239685	45241137	.	1453	18.64	18.24	24.57	25.99	22.98	26.68	21.86	29.5
peak3493	chr2	46370619	46372687	.	2069	8.92	25.53	15.56	24.37	13.79	24.55	21.86	13.76
peak3494	chr2	48314945	48316141	.	1197	7.29	10.94	15.56	8.12	10.34	9.61	9.71	5.9
peak3495	chr2	48321651	48323187	.	1537	78.62	77.81	77.81	69.03	71.24	67.25	77.71	65.87
peak3497	chr2	48332157	48333622	.	1466	69.7	82.67	71.26	74.72	80.44	53.37	65.57	54.08
peak3498	chr2	48349471	48350884	.	1414	25.13	30.39	26.21	32.49	20.68	19.21	18.21	27.53
peak3500	chr2	48380787	48382440	.	1654	77	55.92	63.07	51.98	75.84	44.83	53.43	67.84
peak3501	chr2	48467672	48470189	.	2518	47.01	47.41	54.88	56.04	41.37	35.22	49.79	53.09
peak3502	chr2	48471776	48474137	.	2362	42.15	46.2	49.14	54.42	55.16	49.1	42.5	51.13
peak3503	chr2	48812830	48815712	.	2883	39.71	55.92	47.51	46.29	32.17	36.29	35.21	29.5
peak3504	chr2	48948170	48950741	.	2572	219.64	211.54	196.58	233.09	183.85	215.61	189.43	209.42
peak3507	chr2	49312078	49313881	.	1804	47.01	44.98	34.4	47.11	65.5	64.04	57.07	52.11
peak3508	chr2	49332777	49334100	.	1324	50.25	58.36	50.78	53.6	71.24	60.84	68	45.23
peak3509	chr2	49334758	49336137	.	1380	28.37	20.67	30.31	33.3	31.03	28.82	26.71	29.5
peak3510	chr2	49385372	49386776	.	1405	15.4	12.16	29.49	30.86	25.28	17.08	29.14	19.66
peak3511	chr2	49416716	49417945	.	1230	48.63	49.85	43.41	54.42	47.11	44.83	48.57	58.99
peak3512	chr2	49450586	49453697	.	3112	235.85	226.13	213.78	226.6	251.65	258.31	264.72	229.08
peak3513	chr2	49469384	49470846	.	1463	39.71	26.75	34.4	35.74	50.56	37.36	42.5	34.41
peak3514	chr2	49481956	49484301	.	2346	46.2	41.34	58.97	69.03	71.24	54.44	68	67.84
peak3515	chr2	49487622	49488308	.	687	9.73	10.94	4.1	6.5	5.75	8.54	7.29	10.82
peak3516	chr2	49496205	49497829	.	1625	27.56	34.04	22.93	15.43	19.53	17.08	24.29	20.65
peak3517	chr2	49523650	49525059	.	1410	6.48	13.37	9.01	9.75	14.94	10.67	9.71	2.95
peak3519	chr2	49616280	49617800	.	1521	17.02	24.31	18.02	26.8	26.43	25.62	21.86	29.5
peak3520	chr2	49619791	49621296	.	1506	17.83	21.88	10.65	12.18	10.34	8.54	9.71	20.65
peak3522	chr2	49732669	49734782	.	2114	219.64	229.78	219.51	251.77	240.16	226.29	268.36	227.12
peak3524	chr2	49773996	49775286	.	1291	25.94	29.18	27.85	25.18	16.09	14.94	21.86	26.55
peak3525	chr2	49845772	49849331	.	3560	759.42	744.04	727.34	817.05	775.63	799.48	704.29	802.29
peak3526	chr2	49867917	49869350	.	1434	57.54	52.28	48.33	65.79	50.56	53.37	60.71	65.87
peak3528	chr2	50295389	50297127	.	1739	115.9	117.93	106.48	130.76	96.52	128.09	112.93	117
peak3529	chr2	50812894	50814715	.	1822	21.88	24.31	26.21	23.55	16.09	13.88	18.21	16.71
peak3530	chr2	50826036	50827599	.	1564	4.86	1.22	2.46	2.44	9.19	1.07	2.43	1.97
peak3532	chr2	51933444	51935752	.	2309	145.89	141.03	153.99	151.06	145.93	143.03	140.86	131.75
peak3533	chr2	51959420	51960687	.	1268	9.73	7.29	4.91	8.12	11.49	10.67	14.57	5.9
peak3534	chr2	51971712	51973905	.	2194	181.55	182.36	190.85	198.17	228.67	166.51	236.79	178.94
peak3535	chr2	52072013	52075030	.	3018	62.41	62	76.17	68.22	70.09	56.57	60.71	42.28
peak3537	chr2	52091726	52094447	.	2722	25.13	24.31	26.21	20.3	24.13	21.35	19.43	25.56
peak3538	chr2	52113921	52115287	.	1367	10.54	14.59	11.47	14.62	14.94	24.55	17	10.82
peak3539	chr2	52176101	52177598	.	1498	51.87	40.12	38.5	41.42	41.37	32.02	41.29	50.14
peak3540	chr2	52310329	52311282	.	954	41.33	35.26	48.33	36.55	42.52	43.76	48.57	34.41
peak3541	chr2	52314359	52320650	.	6292	245.58	211.54	216.24	256.65	234.41	215.61	225.86	226.13
peak3542	chr2	52378027	52379575	.	1549	11.35	30.39	22.93	19.49	27.58	18.15	27.93	35.39
peak3544	chr2	52423191	52425510	.	2320	53.49	60.79	53.24	52.79	35.62	58.71	49.79	42.28
peak3545	chr2	52455346	52456836	.	1491	6.48	10.94	8.19	5.69	9.19	8.54	12.14	8.85
peak3548	chr2	52569649	52573164	.	3516	162.91	189.66	210.5	202.23	185	178.26	212.5	195.66
peak3549	chr2	52731868	52733150	.	1283	44.58	31.61	33.58	31.67	34.47	30.95	25.5	38.34
peak3550	chr2	52740987	52743074	.	2088	190.46	171.42	176.1	191.67	175.81	138.76	189.43	173.04
peak3551	chr2	53050587	53052314	.	1728	43.77	37.69	52.42	50.35	60.9	51.24	41.29	54.08
peak3552	chr2	53088475	53089528	.	1054	25.94	25.53	33.58	23.55	24.13	24.55	25.5	23.6
peak3553	chr2	53094652	53096185	.	1534	25.13	38.9	30.31	28.43	32.17	24.55	26.71	31.46
peak3554	chr2	53178549	53180324	.	1776	16.21	18.24	24.57	22.74	18.39	20.28	8.5	12.78
peak3555	chr2	53190241	53193080	.	2840	325.82	305.15	309.61	307	329.79	290.33	302.36	270.38
peak3556	chr2	57114081	57117912	.	3832	58.35	54.71	67.98	61.73	72.39	66.18	64.36	69.81
peak3557	chr2	57119875	57123903	.	4029	22.69	29.18	25.39	21.93	19.53	16.01	27.93	28.51
peak3558	chr2	57161788	57163087	.	1300	5.67	2.43	5.73	1.62	6.89	3.2	6.07	2.95
peak3559	chr2	57180600	57182959	.	2360	58.35	47.41	63.89	50.35	65.5	72.58	78.93	75.71
peak3561	chr2	57237104	57240345	.	3242	184.79	178.71	188.39	174.62	193.05	197.47	213.72	208.44
peak3562	chr2	57252833	57253706	.	874	6.48	13.37	14.74	12.99	6.89	18.15	9.71	13.76
peak3563	chr2	57255077	57257184	.	2108	30.8	34.04	31.94	25.99	33.32	35.22	35.21	26.55
peak3564	chr2	57260440	57261712	.	1273	4.05	6.08	8.19	7.31	8.04	2.13	7.29	6.88
peak3565	chr2	57267351	57270569	.	3219	21.88	9.73	17.2	23.55	13.79	25.62	27.93	23.6
peak3566	chr2	57275405	57277430	.	2026	8.1	9.73	6.55	7.31	12.64	7.47	8.5	13.76
peak3567	chr2	57324833	57326153	.	1321	27.56	34.04	38.5	36.55	37.92	34.16	36.43	25.56
peak3568	chr2	57353692	57357367	.	3676	21.88	29.18	21.3	18.68	21.83	20.28	30.36	25.56
peak3569	chr2	57406751	57408622	.	1872	66.46	68.08	80.27	103.15	85.03	67.25	69.21	92.42
peak3570	chr2	57902177	57906042	.	3866	127.25	115.5	129.41	122.64	150.53	149.44	144.5	131.75
peak3571	chr2	58052113	58053848	.	1736	4.05	4.86	6.55	3.25	10.34	3.2	12.14	8.85
peak3572	chr2	58105579	58107889	.	2311	34.85	29.18	31.94	30.05	29.88	12.81	27.93	27.53
peak3573	chr2	58123133	58124600	.	1468	47.82	40.12	31.94	28.43	32.17	28.82	44.93	32.45
peak3574	chr2	58129318	58132043	.	2726	104.55	114.28	100.75	90.15	119.5	120.62	119	106.18
peak3575	chr2	58134628	58135852	.	1225	77.81	74.16	76.17	63.35	70.09	76.85	61.93	81.61
peak3576	chr2	58137182	58140527	.	3346	206.67	207.89	169.55	166.5	212.58	214.55	165.14	208.44
peak3577	chr2	58140907	58142970	.	2064	83.48	87.53	102.39	95.84	116.06	115.28	115.36	119.95
peak3578	chr2	58148903	58150313	.	1411	81.05	92.4	77.81	78.78	116.06	92.86	77.71	86.52
peak3579	chr2	58153432	58162368	.	8937	1075.51	1187.78	1071.36	1180.9	1124.95	1151.72	1056.44	1156.24
peak3580	chr2	58169720	58170843	.	1124	26.75	19.45	13.92	21.12	28.73	19.21	17	25.56
peak3581	chr2	58178115	58180322	.	2208	158.86	171.42	140.06	162.43	168.91	148.37	115.36	147.48
peak3582	chr2	58183686	58185216	.	1531	12.97	8.51	8.19	11.37	14.94	5.34	10.93	14.75
peak3583	chr2	58193543	58195468	.	1926	23.5	23.1	24.57	29.24	21.83	14.94	24.29	23.6
peak3584	chr2	58821426	58823430	.	2005	38.09	32.83	26.21	34.92	37.92	43.76	42.5	37.36
peak3585	chr2	58843935	58845525	.	1591	66.46	69.3	64.71	64.16	80.44	71.52	78.93	74.72
peak3586	chr2	58906531	58908582	.	2052	180.74	176.28	194.94	205.48	194.19	202.81	187	198.61
peak3587	chr2	59049152	59050091	.	940	3.24	4.86	4.91	3.25	2.3	2.13	4.86	1.97
peak3588	chr2	59052778	59056503	.	3726	17.02	17.02	14.74	12.99	8.04	7.47	12.14	12.78
peak3589	chr2	59160057	59162642	.	2586	38.09	31.61	45.87	44.67	22.98	28.82	25.5	37.36
peak3590	chr2	59171415	59173101	.	1687	29.99	27.96	18.02	18.68	27.58	8.54	30.36	17.7
peak3591	chr2	59180082	59182296	.	2215	25.13	30.39	18.02	11.37	13.79	19.21	14.57	13.76
peak3592	chr2	59202847	59204673	.	1827	25.94	20.67	27.85	19.49	17.24	20.28	17	25.56
peak3593	chr2	59243776	59245898	.	2123	29.18	30.39	30.31	21.12	34.47	32.02	32.79	27.53
peak3596	chr2	59326915	59328992	.	2078	8.92	7.29	9.83	12.18	12.64	10.67	13.36	7.87
peak3597	chr2	59338072	59340975	.	2904	397.95	421.86	417.73	378.47	419.41	415.22	395.86	448.34
peak3598	chr2	59352579	59354897	.	2319	166.15	182.36	200.67	195.73	216.03	238.03	221	212.37
peak3599	chr2	59364001	59365233	.	1233	33.23	18.24	11.47	20.3	20.68	33.09	18.21	23.6
peak3600	chr2	59401483	59402803	.	1321	29.18	29.18	28.67	39.8	48.26	33.09	47.36	52.11
peak3601	chr2	59438061	59439674	.	1614	48.63	36.47	40.95	38.98	27.58	50.17	35.21	32.45
peak3603	chr2	59467371	59472739	.	5369	1246.53	1283.83	1186.85	1237.75	1326.04	1313.97	1307.8	1357.79
peak3604	chr2	59473684	59474888	.	1205	237.47	234.64	224.43	223.35	193.05	220.95	207.64	219.25
peak3605	chr2	59484676	59485499	.	824	116.71	121.57	113.03	130.76	119.5	123.82	131.14	116.02
peak3606	chr2	59486315	59489486	.	3172	479.81	455.9	470.15	454	497.55	467.52	454.15	499.46
peak3609	chr2	59611452	59613690	.	2239	52.68	37.69	57.34	46.29	37.92	52.3	55.86	46.21
peak3610	chr2	59628813	59631937	.	3125	331.49	301.51	344.83	324.87	375.75	291.4	297.5	364.76
peak3611	chr2	59644634	59645608	.	975	64.84	72.94	69.62	60.1	85.03	65.11	69.21	65.87
peak3612	chr2	59646326	59647946	.	1621	137.78	136.16	178.56	159.19	139.04	144.1	160.29	130.76
peak3614	chr2	59714998	59717479	.	2482	59.98	44.98	64.71	42.23	32.17	55.5	58.29	48.18
peak3615	chr2	59881261	59883227	.	1967	27.56	43.77	40.13	33.3	42.52	44.83	41.29	37.36
peak3616	chr2	60010801	60012289	.	1489	7.29	4.86	4.91	9.75	6.89	4.27	8.5	9.83
peak3617	chr2	60017915	60020248	.	2334	323.38	340.41	335	358.98	415.97	368.25	389.79	373.61
peak3618	chr2	60036340	60037934	.	1595	100.5	111.85	99.93	108.02	110.31	103.54	95.93	123.88
peak3619	chr2	60050374	60051746	.	1373	54.3	40.12	55.7	47.11	64.35	56.57	64.36	64.89
peak3621	chr2	60082291	60083556	.	1266	20.26	25.53	18.02	29.24	26.43	11.74	25.5	32.45
peak3622	chr2	60123870	60126505	.	2636	95.64	96.04	101.57	95.02	122.95	127.02	94.71	117.98
peak3623	chr2	60165423	60166824	.	1402	31.61	25.53	29.49	37.36	32.17	39.49	30.36	43.26
peak3624	chr2	60171811	60173482	.	1672	21.88	19.45	21.3	9.75	19.53	13.88	19.43	17.7
peak3625	chr2	60199823	60200853	.	1031	19.45	14.59	13.92	12.99	20.68	14.94	24.29	16.71
peak3626	chr2	60203911	60205213	.	1303	41.33	21.88	39.32	38.98	27.58	32.02	35.21	27.53
peak3627	chr2	60208817	60209645	.	829	35.66	21.88	39.32	36.55	34.47	41.63	27.93	30.48
peak3628	chr2	60210156	60211572	.	1417	55.11	53.49	54.06	54.42	66.65	61.91	63.14	64.89
peak3629	chr2	60222872	60224434	.	1563	31.61	31.61	27.85	28.43	24.13	35.22	37.64	43.26
peak3631	chr2	60327940	60329626	.	1687	4.86	10.94	3.28	3.25	4.6	1.07	2.43	3.93
peak3632	chr2	60341811	60343726	.	1916	24.31	23.1	25.39	20.3	17.24	27.75	23.07	24.58
peak3633	chr2	60374701	60375995	.	1295	61.6	57.14	61.43	73.91	56.3	57.64	64.36	82.59
peak3634	chr2	60381486	60383793	.	2308	220.45	227.34	224.43	223.35	260.84	238.03	210.07	190.74
peak3635	chr2	60500500	60502320	.	1821	47.82	52.28	45.05	45.48	52.86	46.97	36.43	49.16
peak3636	chr2	60504349	60505580	.	1232	29.99	35.26	32.76	31.67	37.92	27.75	38.86	33.43
peak3637	chr2	60749716	60752457	.	2742	158.04	142.24	141.7	163.25	134.44	146.23	184.57	149.45
peak3638	chr2	60756472	60758686	.	2215	289.34	288.13	279.31	292.38	313.7	279.66	269.57	300.86
peak3639	chr2	60774119	60775682	.	1564	38.09	37.69	41.77	36.55	44.81	36.29	29.14	57.03
peak3640	chr2	60794847	60796584	.	1738	7.29	3.65	5.73	8.93	6.89	6.4	6.07	2.95
peak3641	chr2	60802477	60803512	.	1036	17.83	20.67	25.39	19.49	16.09	22.42	20.64	11.8
peak3642	chr2	60808960	60812546	.	3587	201.81	193.3	207.23	210.35	250.5	225.22	241.64	237.93
peak3643	chr2	60828337	60829884	.	1548	7.29	14.59	15.56	8.93	13.79	9.61	18.21	6.88
peak3644	chr2	60842678	60844494	.	1817	35.66	32.83	42.59	44.67	34.47	37.36	43.71	44.24
peak3645	chr2	60844857	60846819	.	1963	26.75	24.31	27.03	31.67	24.13	19.21	21.86	20.65
peak3646	chr2	60854592	60857771	.	3180	36.47	40.12	48.33	49.54	42.52	39.49	36.43	41.29
peak3647	chr2	60866643	60869048	.	2406	83.48	97.26	89.28	95.84	104.57	77.92	80.14	88.49
peak3648	chr2	60869662	60871054	.	1393	35.66	37.69	33.58	33.3	51.71	51.24	57.07	32.45
peak3649	chr2	60877372	60881322	.	3951	130.49	149.54	145.8	129.14	101.12	135.56	125.07	117.98
peak3650	chr2	60903204	60905458	.	2255	26.75	18.24	25.39	24.37	20.68	22.42	20.64	18.68
peak3651	chr2	60922668	60924700	.	2033	124.81	125.22	121.22	138.88	172.36	152.64	155.43	170.09
peak3652	chr2	61051541	61053115	.	1575	34.04	34.04	37.68	33.3	48.26	42.7	47.36	31.46
peak3654	chr2	61401673	61403537	.	1865	25.13	27.96	29.49	24.37	22.98	23.48	23.07	24.58
peak3656	chr2	61490262	61491414	.	1153	6.48	4.86	4.1	3.25	9.19	4.27	8.5	5.9
peak3657	chr2	61493475	61494890	.	1416	32.42	26.75	22.93	24.37	33.32	29.89	24.29	27.53
peak3658	chr2	61513219	61515919	.	2701	111.04	91.18	100.75	112.89	116.06	128.09	121.43	104.22
peak3660	chr2	61577947	61580769	.	2823	89.15	88.75	88.46	99.09	94.22	88.59	92.29	91.44
peak3661	chr2	61581241	61582582	.	1342	14.59	20.67	16.38	17.87	10.34	13.88	18.21	9.83
peak3662	chr2	61592487	61595151	.	2665	259.36	254.09	263.74	267.21	304.51	291.4	313.29	299.87
peak3664	chr2	61634201	61635975	.	1775	16.21	20.67	14.74	16.24	22.98	14.94	20.64	24.58
peak3665	chr2	61711085	61712899	.	1815	88.34	77.81	76.99	101.52	81.58	96.07	92.29	102.25
peak3666	chr2	61728608	61729746	.	1139	3.24	10.94	8.19	9.75	6.89	10.67	10.93	14.75
peak3667	chr2	61733076	61734758	.	1683	25.94	26.75	24.57	29.24	24.13	24.55	24.29	28.51
peak3668	chr2	61737892	61739801	.	1910	21.07	12.16	20.48	17.06	14.94	21.35	19.43	14.75
peak3669	chr2	61754013	61755645	.	1633	25.94	32.83	29.49	29.24	32.17	29.89	17	22.61
peak3670	chr2	61797694	61799205	.	1512	15.4	19.45	26.21	17.06	20.68	18.15	17	22.61
peak3671	chr2	62331482	62333136	.	1655	50.25	54.71	48.33	47.92	40.22	35.22	51	45.23
peak3672	chr2	62351720	62353548	.	1829	59.17	48.63	39.32	53.6	33.32	46.97	52.21	37.36
peak3673	chr2	62390174	62396188	.	6015	862.36	920.32	874.78	825.98	902.03	925.44	916.79	935.02
peak3674	chr2	62408188	62412528	.	4341	525.19	543.44	561.89	552.28	503.3	539.04	505.15	533.87
peak3675	chr2	62440589	62441873	.	1285	49.44	42.55	29.49	44.67	37.92	37.36	36.43	40.31
peak3676	chr2	62459311	62460978	.	1668	8.92	3.65	7.37	5.69	11.49	3.2	4.86	1.97
peak3678	chr2	62618625	62620438	.	1814	6.48	14.59	9.01	7.31	5.75	8.54	8.5	4.92
peak3679	chr2	62644244	62647265	.	3022	123.19	138.6	131.05	144.57	121.8	133.42	119	127.82
peak3680	chr2	62648071	62649229	.	1159	3.24	8.51	4.91	5.69	9.19	4.27	2.43	9.83
peak3681	chr2	62663649	62665191	.	1543	20.26	8.51	18.02	20.3	16.09	7.47	19.43	14.75
peak3682	chr2	62684913	62686752	.	1840	22.69	30.39	21.3	22.74	22.98	32.02	15.79	13.76
peak3684	chr2	65043906	65045983	.	2078	3.24	7.29	5.73	5.69	3.45	5.34	3.64	5.9
peak3685	chr2	65090735	65091857	.	1123	4.86	2.43	1.64	5.69	5.75	2.13	4.86	0.98
peak3686	chr2	65093391	65095209	.	1819	6.48	4.86	10.65	12.99	3.45	8.54	8.5	7.87
peak3687	chr2	65104029	65105358	.	1330	4.86	2.43	0.82	2.44	3.45	6.4	4.86	3.93
peak3688	chr2	65133425	65136773	.	3349	11.35	15.8	9.83	12.18	6.89	8.54	13.36	5.9
peak3689	chr2	65170110	65172038	.	1929	118.33	98.48	131.87	100.71	83.88	102.47	114.14	84.55
peak3690	chr2	65180394	65183552	.	3159	115.09	121.57	105.66	103.15	98.82	76.85	82.57	93.4
peak3691	chr2	65187600	65190131	.	2532	141.83	126.44	123.68	119.39	122.95	95	86.21	87.5
peak3692	chr2	65193143	65194000	.	858	17.83	31.61	28.67	19.49	14.94	11.74	26.71	22.61
peak3693	chr2	65194874	65196392	.	1519	12.16	15.8	6.55	8.12	16.09	6.4	8.5	10.82
peak3694	chr2	65198354	65199208	.	855	4.86	6.08	3.28	6.5	8.04	4.27	4.86	4.92
peak3695	chr2	65199328	65200395	.	1068	18.64	15.8	20.48	15.43	28.73	9.61	14.57	15.73
peak3696	chr2	65213948	65215860	.	1913	39.71	35.26	27.85	25.99	40.22	30.95	30.36	33.43
peak3697	chr2	65237375	65240527	.	3153	41.33	46.2	36.04	44.67	48.26	36.29	30.36	41.29
peak3698	chr2	65278691	65280251	.	1561	12.97	15.8	18.02	15.43	11.49	11.74	12.14	11.8
peak3699	chr2	65336367	65338505	.	2139	34.04	34.04	41.77	51.98	47.11	38.43	52.21	35.39
peak3700	chr2	65340881	65343481	.	2601	71.32	97.26	59.79	82.03	81.58	71.52	70.43	76.69
peak3701	chr2	65346601	65347795	.	1195	25.13	35.26	29.49	35.74	33.32	24.55	9.71	29.5
peak3702	chr2	65413599	65415473	.	1875	41.33	37.69	37.68	52.79	42.52	41.63	41.29	34.41
peak3704	chr2	65550211	65553137	.	2927	48.63	55.92	52.42	58.48	58.6	62.98	58.29	55.06
peak3705	chr2	65791833	65792940	.	1108	17.02	20.67	15.56	23.55	14.94	23.48	21.86	22.61
peak3706	chr2	65817723	65819381	.	1659	17.02	27.96	18.84	18.68	16.09	9.61	10.93	13.76
peak3707	chr2	65826086	65828128	.	2043	1.62	3.65	0	1.62	3.45	3.2	2.43	0
peak3708	chr2	66101502	66103684	.	2183	6.48	4.86	1.64	3.25	6.89	3.2	6.07	2.95
peak3709	chr2	66119761	66120887	.	1127	4.86	2.43	4.91	3.25	11.49	8.54	1.21	2.95
peak3710	chr2	66123394	66125884	.	2491	12.97	8.51	8.19	11.37	11.49	7.47	14.57	10.82
peak3711	chr2	66126131	66127587	.	1457	0.81	8.51	3.28	0.81	3.45	1.07	8.5	0.98
peak3712	chr2	66148191	66150151	.	1961	52.68	55.92	54.06	66.6	63.2	53.37	60.71	58.01
peak3713	chr2	66190791	66192728	.	1938	44.58	48.63	36.04	51.98	63.2	53.37	41.29	60.96
peak3714	chr2	66255628	66257728	.	2101	51.87	51.06	51.6	59.29	67.8	62.98	59.5	49.16
peak3715	chr2	68288896	68289998	.	1103	2.43	1.22	2.46	2.44	2.3	2.13	2.43	1.97
peak3716	chr2	68296351	68297686	.	1336	8.1	12.16	6.55	5.69	13.79	5.34	9.71	10.82
peak3717	chr2	68319267	68321276	.	2010	24.31	34.04	29.49	31.67	27.58	27.75	27.93	18.68
peak3718	chr2	68353235	68355147	.	1913	12.16	7.29	10.65	4.87	10.34	18.15	17	7.87
peak3719	chr2	68380493	68385306	.	4814	139.4	165.34	153.99	124.26	148.23	155.84	160.29	142.56
peak3720	chr2	68430099	68431229	.	1131	24.31	30.39	25.39	23.55	18.39	21.35	26.71	15.73
peak3721	chr2	68433616	68437876	.	4261	77.81	80.24	69.62	82.84	59.75	83.26	76.5	64.89
peak3722	chr2	68460428	68461460	.	1033	2.43	0	1.64	2.44	4.6	3.2	12.14	3.93
peak3723	chr2	68465282	68467845	.	2564	54.3	48.63	58.15	44.67	49.41	43.76	41.29	37.36
peak3724	chr2	68472013	68472934	.	922	14.59	7.29	15.56	15.43	14.94	6.4	15.79	18.68
peak3725	chr2	68781962	68783412	.	1451	54.3	55.92	62.25	58.48	56.3	56.57	77.71	73.74
peak3726	chr2	68861008	68863207	.	2200	64.03	54.71	67.16	70.66	72.39	56.57	52.21	43.26
peak3727	chr2	68872948	68874812	.	1865	54.3	43.77	46.69	60.1	54.01	38.43	36.43	40.31
peak3728	chr2	68875333	68876540	.	1208	16.21	17.02	17.2	23.55	32.17	27.75	23.07	27.53
peak3729	chr2	68881476	68883423	.	1948	8.1	2.43	7.37	4.06	5.75	2.13	10.93	5.9
peak3730	chr2	68907127	68909251	.	2125	149.13	189.66	153.17	155.94	209.13	176.12	174.86	208.44
peak3731	chr2	68915392	68917409	.	2018	85.1	71.73	76.17	67.41	78.14	87.53	75.29	76.69
peak3732	chr2	68930939	68933306	.	2368	167.77	172.64	149.07	156.75	178.11	207.08	178.5	162.23
peak3733	chr2	68935253	68936166	.	914	33.23	32.83	27.85	34.11	36.77	38.43	37.64	32.45
