peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27me3_Rep1_S5	Naive_P14_Day30_H3K27me3_Rep2_S6	Naive_P14_Day30_H3K27me3_Rep3_S3	Naive_P14_Day30_H3K27me3_Rep4_S4	Naive_P14_Day32_H3K27me3_Rep1_S9	Naive_P14_Day32_H3K27me3_Rep2_S10	Naive_P14_Day32_H3K27me3_Rep3_S11	Naive_P14_Day32_H3K27me3_Rep4_S12
peak736	chr1	69650261	69665363	.	15103	81.66	79.42	95.38	83.03	71.92	88.73	76	84.48
peak737	chr1	69672021	69697817	.	25797	230.79	195.16	202.68	237.13	279.59	272.76	261.76	256.53
peak738	chr1	69703889	69726907	.	23019	137.59	145.31	131.14	132.4	133.05	124.88	139.32	131.87
peak739	chr1	69729777	69754019	.	24243	145.57	166.43	165.99	158.59	162.72	134.74	176.27	145.26
peak740	chr1	69759971	69806969	.	46999	445.6	419.04	452.13	441.35	441.4	453.5	464.42	463.61
peak741	chr1	69807566	69908105	.	100540	2043.36	2039.46	2119.41	2110.99	2214.21	2481.12	2363.25	2261.37
peak742	chr1	69911521	69940216	.	28696	431.4	482.41	454.88	461.54	491.75	468.84	431.7	430.64
peak743	chr1	69946823	69961660	.	14838	180.19	212.9	210.02	178.03	167.21	179.65	178.38	219.44
peak744	chr1	69966747	70116845	.	150099	3168.01	3178.32	3090.62	3213.6	3090.72	3091.27	3017.65	3074.23
peak745	chr1	70121714	70137230	.	15517	184.63	196.85	172.41	189.26	160.92	133.64	164.66	156.6
peak749	chr1	70988468	71014595	.	26128	215.7	245.01	204.51	213.94	176.2	211.42	227.99	209.14
peak750	chr1	71105703	71151061	.	45359	1089.14	1051.83	1050.08	1007.62	1087.78	1071.32	1071.32	1108.54
peak751	chr1	71159416	71184885	.	25470	264.52	263.59	247.62	246.86	205.87	210.32	245.93	234.89
peak754	chr1	71496714	71511812	.	15099	240.55	246.7	248.53	255.83	264.3	237.71	259.65	236.95
peak755	chr1	71514118	71558238	.	44121	1090.92	1144.77	1125.28	1117.58	1188.46	1282.74	1186.37	1255.86
peak756	chr1	71572799	71609058	.	36260	691.48	714.74	715.34	695.68	769.53	789.8	720.9	703.65
peak757	chr1	71645347	71659835	.	14489	495.31	481.56	448.46	480.99	559.17	564.14	565.74	534.69
peak758	chr1	71936574	71940244	.	3671	74.56	53.23	64.2	73.31	51.24	60.25	65.44	55.63
peak759	chr1	72108464	72113495	.	5032	57.7	46.47	51.36	44.13	44.95	44.91	33.78	43.27
peak760	chr1	72116939	72125497	.	8559	96.75	94.62	72.45	96.5	71.92	100.78	77.05	85.51
peak761	chr1	72135050	72155566	.	20517	302.69	313.44	285.22	281.27	274.19	296.86	297.65	284.35
peak762	chr1	72174002	72192621	.	18620	457.14	509.44	498.9	460.05	447.7	427.21	502.41	469.79
peak763	chr1	72199014	72244261	.	45248	2471.21	2333.47	2387.2	2420.68	3056.56	3086.89	2788.61	3105.13
peak764	chr1	72248022	72253156	.	5135	26.63	15.21	28.43	17.95	19.78	23	29.55	24.73
peak765	chr1	72279601	72308005	.	28405	1055.41	1118.58	1012.48	1024.82	1229.82	1198.39	1108.27	1227.01
peak766	chr1	72401844	72427533	.	25690	292.04	328.65	302.64	278.27	279.59	258.52	245.93	225.62
peak767	chr1	72431018	72437288	.	6271	38.17	45.62	62.36	53.11	38.66	30.67	51.72	46.36
peak768	chr1	72440472	72444362	.	3891	24.85	26.19	19.26	26.93	17.98	17.53	21.11	15.45
peak769	chr1	72456035	72468493	.	12459	61.25	62.52	57.78	59.84	62.03	49.29	55.94	53.57
peak770	chr1	72469702	72474014	.	4313	29.29	21.97	23.84	24.69	21.58	18.62	26.39	22.67
peak771	chr1	72499252	72506039	.	6788	45.27	51.54	48.61	56.1	38.66	50.39	44.33	44.3
peak772	chr1	72516800	72522885	.	6086	48.82	42.24	49.52	40.39	30.57	29.58	43.28	23.7
peak773	chr1	72530002	72542180	.	12179	300.02	291.47	279.71	308.94	297.57	288.1	297.65	277.13
peak774	chr1	72556977	72584511	.	27535	1425.56	1371.19	1393.99	1418.29	1730.55	1694.61	1600.13	1622.62
peak775	chr1	72636627	72696039	.	59413	2787.21	2801.51	2762.3	2848.56	2830.92	2854.66	2737.95	2770.31
peak776	chr1	72696838	72708575	.	11738	450.92	436.79	434.7	434.61	447.7	462.27	438.03	427.55
peak777	chr1	72722619	72741055	.	18437	430.51	382.72	395.27	386.74	405.44	357.11	396.86	350.28
peak778	chr1	72743099	72752456	.	9358	69.24	83.64	76.12	70.32	69.22	64.63	72.83	64.9
peak779	chr1	72817650	72832009	.	14360	417.19	392.01	394.35	383.75	397.35	407.5	391.59	416.22
peak780	chr1	72863542	72882371	.	18830	818.41	789.93	774.03	742.06	1007.77	937.68	852.84	873.64
peak782	chr1	73808089	73830472	.	22384	230.79	227.26	257.7	251.34	205.87	233.32	184.71	181.32
peak783	chr1	73834141	73882632	.	48492	813.97	838.93	808.88	822.1	728.18	719.69	745.18	718.08
peak784	chr1	73890140	73908457	.	18318	445.6	456.22	492.48	455.56	479.16	496.22	439.08	486.27
peak785	chr1	73946173	73952360	.	6188	16.87	13.52	9.17	13.46	10.79	14.24	20.05	18.54
peak786	chr1	73968453	73974808	.	6356	17.75	13.52	13.76	9.72	14.38	10.95	16.89	26.79
peak787	chr1	73977913	73985493	.	7581	2.66	5.07	8.25	5.24	5.39	8.76	11.61	11.33
peak788	chr1	74034408	74047066	.	12659	150.01	144.47	143.07	141.38	138.44	133.64	150.94	130.84
peak789	chr1	74052693	74073833	.	21141	128.71	116.59	124.73	127.92	127.66	113.92	139.32	151.44
peak790	chr1	74079118	74201374	.	122257	2864.43	2982.31	2932.88	2921.12	3148.26	3345.41	3198.14	3239.07
peak791	chr1	74207354	74225917	.	18564	135.81	153.76	150.4	142.88	117.77	147.88	128.77	123.63
peak792	chr1	74273310	74278647	.	5338	19.53	20.28	13.76	19.45	8.09	26.29	26.39	21.63
peak793	chr1	74300540	74346783	.	46244	343.52	355.68	346.66	385.24	356	392.16	348.31	322.46
peak794	chr1	74351364	74380417	.	29054	422.52	402.99	433.79	413.67	424.32	405.31	439.08	418.28
peak795	chr1	74390804	74432312	.	41509	323.1	328.65	320.98	305.2	325.43	291.38	339.87	310.1
peak796	chr1	74532996	74561032	.	28037	1066.06	1094.92	1050.08	1048.01	1116.54	1155.67	1051.27	1132.23
peak797	chr1	74601918	74653806	.	51889	2058.45	2107.05	2093.73	2124.45	2127.91	2233.56	2138.43	2077.99
peak798	chr1	74704332	74724482	.	20151	932.03	903.99	922.6	893.91	1076.09	1128.28	999.55	1009.63
peak799	chr1	74726215	74751235	.	25021	649.76	604.91	626.38	598.44	647.27	652.87	601.63	627.41
peak800	chr1	74756041	74813951	.	57911	4922.88	4849.42	5005.52	4860.8	7295.3	7226.48	6395.22	6782.05
peak801	chr1	74824684	74863289	.	38606	3768.94	3678.47	3767.44	3683.38	4802.4	4849.42	4400.34	4577.34
peak802	chr1	74867339	74909657	.	42319	3250.56	3123.4	3138.31	3094.67	4272	4253.51	3792.38	4161.13
peak803	chr1	74913498	74916466	.	2969	181.08	156.3	139.4	160.83	175.3	157.74	136.16	177.2
peak804	chr1	74928542	74963861	.	35320	3020.66	2826.01	3042.93	2956.28	3745.19	3695.94	3396.57	3510.02
peak805	chr1	74968035	74973912	.	5878	125.16	127.57	148.57	123.43	113.27	121.59	126.66	117.45
peak806	chr1	74979277	75054918	.	75642	1645.7	1677.87	1543.47	1612.79	1618.18	1623.41	1556.85	1530.93
peak807	chr1	75122129	75134964	.	12836	103.85	92.93	88.04	86.77	95.29	113.92	92.88	104.05
peak808	chr1	75150514	75169120	.	18607	179.3	192.63	210.02	195.24	169.01	150.07	167.82	176.17
peak809	chr1	75200884	75236712	.	35829	128.71	131.8	143.07	118.19	133.95	147.88	148.82	153.51
peak810	chr1	75255869	75306271	.	50403	2565.3	2493.99	2449.57	2508.95	3072.75	3078.13	2702.06	2841.39
peak811	chr1	75314840	75399415	.	84576	5181.19	5053.03	5119.24	5027.62	6667.8	6481.6	6024.75	6168.03
peak812	chr1	75409218	75436476	.	27259	1590.66	1631.4	1652.61	1636.72	2100.94	2184.27	1998.05	2024.42
peak813	chr1	75443142	75471455	.	28314	2354.92	2241.38	2271.65	2135.67	3241.76	3177.81	2889.94	3144.28
peak814	chr1	75480547	75496126	.	15580	900.96	928.49	941.86	870.73	1294.54	1293.69	1157.87	1283.68
peak815	chr1	75498695	75521635	.	22941	1714.04	1637.31	1630.6	1650.19	2167.46	2185.36	1974.82	2065.63
peak816	chr1	75539122	75609364	.	70243	2895.5	2863.19	2909.95	2819.38	3251.64	3227.11	3114.76	2991.81
peak818	chr1	77477623	77483839	.	6217	66.57	56.6	61.45	58.35	82.71	79.97	61.22	57.69
peak819	chr1	77510683	77519930	.	9248	235.23	222.19	222.85	216.19	294.87	306.72	281.82	278.16
peak820	chr1	78132823	78154310	.	21488	426.07	378.49	399.85	403.2	377.58	364.77	425.36	368.82
peak822	chr1	78181302	78221284	.	39983	3287.84	3209.58	3093.37	3223.33	4354.7	4267.75	4073.14	4192.03
peak823	chr1	78250259	78260628	.	10370	45.27	56.6	66.03	38.9	44.05	46.01	51.72	43.27
peak824	chr1	78270688	78284636	.	13949	50.6	38.86	40.35	40.39	38.66	35.05	46.44	54.6
peak825	chr1	78293587	78296776	.	3190	24.85	25.35	13.76	30.67	20.68	18.62	19	18.54
peak826	chr1	78299943	78320204	.	20262	599.16	556.75	553.01	611.9	685.03	639.72	616.41	675.84
peak827	chr1	78331253	78412392	.	81140	808.65	838.93	823.55	787.69	654.46	636.44	695.57	700.56
peak828	chr1	78486392	78573583	.	87192	3908.3	3844.06	4003.13	3787.36	4494.05	4714.68	4311.68	4653.58
peak829	chr1	78574909	78634872	.	59964	1563.14	1480.17	1553.56	1626.25	1676.61	1677.09	1659.23	1606.14
peak830	chr1	78636041	78638309	.	2269	25.74	27.04	26.6	35.16	19.78	35.05	26.39	27.82
peak831	chr1	78648215	78663946	.	15732	186.41	196	188	180.28	186.99	203.75	174.16	203.99
peak832	chr1	78671051	78672221	.	1171	9.76	12.67	8.25	13.46	3.6	7.67	8.44	11.33
peak833	chr1	78676131	78697714	.	21584	47.05	52.38	36.68	53.11	53.94	53.68	61.22	73.15
peak834	chr1	78704331	78741561	.	37231	507.73	460.44	486.06	507.92	514.22	472.13	480.25	480.09
peak835	chr1	78743500	78747379	.	3880	44.38	46.47	53.19	46.38	38.66	48.2	42.22	37.09
peak836	chr1	78752813	78757049	.	4237	59.47	43.93	45.85	41.89	31.46	32.86	39.05	34
peak838	chr1	79437788	79444539	.	6752	33.73	46.47	31.18	32.91	29.67	20.81	35.89	30.91
peak839	chr1	79447612	79452237	.	4626	27.52	28.72	25.68	25.43	20.68	25.19	28.5	21.63
peak840	chr1	79455893	79476370	.	20478	58.58	60.83	61.45	63.58	58.43	62.44	68.61	71.09
peak841	chr1	79489469	79512449	.	22981	117.17	114.9	109.13	102.48	107.88	99.68	130.88	109.21
peak842	chr1	79515008	79598779	.	83772	1619.95	1639	1647.11	1665.9	1565.14	1593.83	1541.02	1541.23
peak844	chr1	79670965	79698178	.	27214	365.71	349.77	354.92	366.54	323.64	356.01	349.37	344.1
peak845	chr1	79766443	79774489	.	8047	128.71	136.02	136.65	132.4	142.04	125.97	136.16	126.72
peak846	chr1	79785635	79832192	.	46558	449.15	420.73	412.69	420.4	372.18	382.3	424.31	390.46
peak847	chr1	79848696	79935750	.	87055	2421.5	2559.89	2530.27	2538.12	2687.08	2696.92	2557.46	2662.13
peak848	chr1	79945002	79957084	.	12083	143.8	133.49	122.89	139.14	125.86	112.83	126.66	135.99
peak849	chr1	79961603	80002725	.	41123	616.03	561.82	571.35	596.19	562.77	586.05	577.35	576.93
peak850	chr1	80008259	80017497	.	9239	140.25	142.78	140.32	133.9	136.65	136.93	113.99	150.41
peak851	chr1	80019549	80044449	.	24901	371.92	402.15	380.6	347.84	360.49	403.11	396.86	336.89
peak852	chr1	80046838	80082937	.	36100	560.99	551.69	575.94	572.26	497.14	468.84	524.58	470.82
peak853	chr1	80083171	80139971	.	56801	1195.66	1179.41	1134.45	1188.64	1007.77	1027.5	981.61	1026.12
peak854	chr1	80145150	80260144	.	114995	1015.47	1007.06	1077.59	1086.91	938.54	904.82	1041.77	901.46
peak855	chr1	80340943	80380672	.	39730	227.24	218.82	217.35	211.7	181.6	216.89	239.6	229.74
peak856	chr1	80411285	80423399	.	12115	23.08	20.28	22.93	13.46	25.17	15.34	22.17	25.76
peak857	chr1	80427496	80479941	.	52446	246.77	267.82	261.37	230.4	236.43	246.47	274.43	242.11
peak858	chr1	80483254	80499207	.	15954	79.89	97.16	68.78	95.75	72.82	74.49	76	82.42
peak859	chr1	80771406	80779416	.	8011	55.03	46.47	52.27	62.09	48.55	52.58	50.66	55.63
peak860	chr1	80788169	80872952	.	84784	1345.67	1299.38	1371.06	1318.06	1157.9	1241.11	1223.31	1185.8
peak861	chr1	80880980	80980387	.	99408	1686.53	1671.95	1705.8	1692.83	1670.32	1544.54	1525.19	1636.02
peak862	chr1	80991045	81360352	.	369308	10117.39	10160.98	10202.71	10344.72	9996.76	9961.74	9674.64	9637.87
peak864	chr1	82229364	82247166	.	17803	201.5	227.26	221.94	208.7	176.2	179.65	160.43	192.65
peak865	chr1	82249547	82316740	.	67194	4762.22	4818.16	4803.76	4899.7	6394.51	6533.08	5724.99	6215.42
peak866	chr1	82396635	82403021	.	6387	57.7	56.6	46.77	56.85	63.83	66.82	57	57.69
peak867	chr1	82421332	82427377	.	6046	58.58	59.98	54.11	64.33	56.64	49.29	64.38	51.51
peak868	chr1	82447338	82459101	.	11764	126.05	121.66	127.48	126.42	102.48	88.73	103.44	92.72
peak869	chr1	82462357	82468919	.	6563	79.89	72.66	91.71	92.01	73.72	78.87	68.61	68
peak871	chr1	82530260	82547242	.	16983	159.78	182.49	171.5	190	144.74	164.31	123.49	141.14
peak872	chr1	82552436	82563007	.	10572	120.72	120.81	132.06	109.96	111.47	123.78	123.49	111.27
peak873	chr1	82576206	82593976	.	17771	334.64	390.32	341.16	347.09	323.64	293.57	326.15	308.04
peak874	chr1	82596843	82692950	.	96108	1736.24	1718.42	1661.78	1703.3	1421.3	1485.39	1440.75	1399.06
peak875	chr1	82693187	82725369	.	32183	2117.92	2052.98	2065.3	2076.58	2372.43	2315.72	2166.92	2155.26
peak876	chr1	82762724	82802842	.	40119	810.42	804.29	873.99	828.83	907.98	955.21	924.61	871.58
peak877	chr1	82808600	82826474	.	17875	85.21	75.19	93.54	73.31	102.48	99.68	88.66	89.63
peak878	chr1	82909769	82934439	.	24671	246.77	239.94	244.86	221.42	240.93	274.95	248.04	225.62
peak880	chr1	82941417	83000334	.	58918	2162.31	2085.93	2106.57	2057.13	2447.95	2553.42	2393.85	2533.35
peak881	chr1	83005470	83058578	.	53109	2105.5	2224.48	2182.69	2204.49	2299.61	2256.56	2128.93	2150.1
peak882	chr1	83062028	83096290	.	34263	1009.25	1057.75	1049.16	1065.97	1048.22	1007.79	1023.83	978.73
peak883	chr1	83099559	83103525	.	3967	37.28	41.4	43.1	28.43	26.07	20.81	34.83	24.73
peak884	chr1	83110949	83118995	.	8047	50.6	65.05	63.28	46.38	44.05	37.24	41.16	38.12
peak885	chr1	83120055	83124427	.	4373	30.18	23.66	29.35	27.68	21.58	18.62	23.22	18.54
peak886	chr1	84161344	84166451	.	5108	53.26	46.47	38.52	41.14	39.56	48.2	38	56.66
peak887	chr1	84254952	84259091	.	4140	29.29	44.78	33.02	35.91	43.15	40.53	32.72	40.18
peak888	chr1	84274098	84301894	.	27797	450.04	471.42	403.52	469.77	603.22	599.19	520.36	573.84
peak890	chr1	84330819	84358754	.	27936	285.82	283.02	277.88	282.76	318.24	339.58	324.04	327.62
peak891	chr1	84367270	84372015	.	4746	66.57	55.76	63.28	64.33	65.63	85.44	70.72	72.12
peak892	chr1	84392406	84402685	.	10280	75.45	96.31	86.21	91.26	93.49	77.77	49.61	74.18
peak893	chr1	84542966	84548619	.	5654	48.82	59.98	57.78	54.61	52.14	69.01	48.55	65.94
peak894	chr1	84670432	84675009	.	4578	42.61	29.57	33.02	31.42	14.38	29.58	26.39	21.63
peak895	chr1	84690686	84721614	.	30929	1097.13	1115.2	1135.37	1083.17	1230.72	1192.91	1112.49	1236.28
peak897	chr1	84848094	84883963	.	35870	171.32	174.04	197.18	163.07	171.71	180.74	205.82	194.71
peak898	chr1	84923475	84940170	.	16696	497.97	468.89	497.07	465.28	547.48	518.13	573.13	537.78
peak900	chr1	85037649	85046264	.	8616	34.62	41.4	26.6	37.4	41.35	36.15	41.16	53.57
peak901	chr1	85068229	85082119	.	13891	149.12	149.54	140.32	139.14	130.35	150.07	159.38	134.96
peak902	chr1	85093446	85116976	.	23531	270.73	226.42	258.62	270.04	262.5	306.72	260.71	268.89
peak904	chr1	85151584	85191011	.	39428	339.97	374.27	346.66	341.86	326.33	365.87	332.48	338.95
peak906	chr1	85224572	85229580	.	5009	16.87	21.12	20.18	18.7	24.27	24.1	10.55	28.85
peak907	chr1	85263561	85271294	.	7734	59.47	53.23	56.86	59.84	54.84	65.73	66.5	74.18
peak908	chr1	85313108	85320153	.	7046	31.07	27.88	24.76	32.91	29.67	28.48	34.83	32.97
peak909	chr1	85447300	85469582	.	22283	271.62	251.76	243.03	228.9	248.12	254.14	252.26	283.32
peak910	chr1	85476870	85523693	.	46824	959.55	981.71	1004.22	964.98	980.8	968.35	984.77	925.15
peak911	chr1	85528943	85542156	.	13214	116.28	140.24	108.22	142.13	129.45	121.59	143.55	172.05
peak912	chr1	85544598	85571392	.	26795	289.37	287.25	279.71	267.05	260.71	277.14	295.54	299.8
peak914	chr1	85597882	85610680	.	12799	164.21	154.61	164.16	166.81	145.64	130.35	158.32	161.75
peak915	chr1	85613657	85621918	.	8262	59.47	65.05	54.11	59.1	55.74	64.63	66.5	71.09
peak916	chr1	85628124	85641153	.	13030	148.24	157.99	154.99	175.79	141.14	157.74	166.77	149.38
peak918	chr1	85655371	85663049	.	7679	19.53	32.1	14.67	23.19	25.17	29.58	24.28	32.97
peak919	chr1	85758538	85765074	.	6537	56.81	49.85	50.44	52.36	28.77	40.53	52.77	41.21
peak920	chr1	85768557	85791929	.	23373	163.33	128.42	145.82	159.33	141.14	122.69	155.16	152.48
peak921	chr1	85863502	85897078	.	33577	219.25	249.23	231.11	222.92	176.2	202.65	224.82	214.29
peak922	chr1	85913354	85962237	.	48884	600.05	615.89	620.87	624.62	556.47	566.33	592.13	562.51
peak923	chr1	85968480	85978408	.	9929	89.65	71.81	65.11	78.54	65.63	67.92	67.55	90.66
peak924	chr1	85978966	85994741	.	15776	117.17	119.12	121.06	130.16	92.6	108.45	135.1	106.11
peak925	chr1	85998096	86067140	.	69045	2262.61	2170.41	2158.85	2216.46	2444.35	2495.36	2205.98	2360.27
peak926	chr1	86145690	86151709	.	6020	63.02	58.29	75.2	62.84	44.05	60.25	58.05	51.51
peak928	chr1	86218654	86341031	.	122378	646.21	675.88	668.56	645.56	581.65	622.2	651.24	699.53
peak929	chr1	86364448	86367897	.	3450	15.98	19.43	11.01	11.97	11.69	14.24	16.89	16.48
peak930	chr1	86371799	86391503	.	19705	124.27	133.49	150.4	170.55	120.46	152.26	143.55	115.39
peak931	chr1	86396813	86443571	.	46759	213.03	196	207.26	231.15	174.4	187.32	232.21	218.41
peak932	chr1	86447049	86476212	.	29164	203.27	234.87	233.86	228.15	198.68	182.94	202.65	213.26
peak933	chr1	86478712	86487840	.	9129	57.7	48.16	51.36	59.1	53.04	51.48	50.66	50.48
peak934	chr1	86493294	86500633	.	7340	40.83	51.54	35.77	43.39	27.87	38.34	41.16	40.18
peak935	chr1	86515812	86520007	.	4196	23.97	32.95	43.1	20.95	22.47	19.72	16.89	22.67
peak936	chr1	86535091	86540504	.	5414	15.98	18.59	14.67	14.21	8.09	16.43	12.67	23.7
peak937	chr1	86547871	86586028	.	38158	71.01	82.8	81.62	83.03	92.6	82.16	123.49	100.96
peak938	chr1	86610517	86700455	.	89939	4079.62	3991.06	3982.04	4044.68	4380.77	4348.81	4140.69	4060.16
peak939	chr1	86733220	86738238	.	5019	19.53	18.59	21.09	20.95	11.69	12.05	21.11	13.39
peak941	chr1	86783246	86794368	.	11123	24.85	28.72	30.26	29.17	35.06	35.05	25.33	28.85
peak942	chr1	86916712	86925982	.	9271	14.2	24.5	9.17	29.92	17.08	18.62	13.72	15.45
peak945	chr1	87053210	87135116	.	81907	2306.99	2352.06	2290.91	2247.88	2314.9	2311.33	2269.31	2157.32
peak946	chr1	87143150	87174792	.	31643	2553.76	2394.3	2494.5	2441.62	3127.58	3155.9	2870.94	2956.78
peak947	chr1	87177722	87210790	.	33069	2164.97	2102.83	2142.34	2113.23	2625.05	2569.85	2347.41	2345.85
peak948	chr1	87250251	87272025	.	21775	1667.89	1753.9	1769.08	1665.15	2161.17	2086.77	1982.21	2014.11
peak949	chr1	87277030	87327088	.	50059	1833.88	1853.6	1781	1807.28	1920.24	1849.07	1816.5	1759.64
peak950	chr1	87467164	87524062	.	56899	3377.49	3365.03	3304.3	3247.27	3897.12	3855.88	3593.95	3790.24
peak951	chr1	87527616	87549892	.	22277	1002.15	987.63	928.1	976.2	979.9	994.64	982.66	961.21
peak952	chr1	87552688	87617359	.	64672	2708.21	2675.63	2733.87	2615.92	2892.05	2810.85	2617.62	2781.64
peak953	chr1	87630895	87641076	.	10182	142.02	138.55	136.65	114.45	130.35	142.4	132.99	132.9
peak954	chr1	87724373	87756013	.	31641	511.28	572.81	485.14	554.3	481.86	478.7	512.97	518.21
peak955	chr1	87807029	87812748	.	5720	22.19	17.74	22.93	24.69	15.28	19.72	27.44	18.54
peak956	chr1	87815982	87824177	.	8196	15.09	14.36	15.59	14.96	16.18	19.72	20.05	27.82
peak957	chr1	87829719	87845174	.	15456	110.96	130.11	114.64	106.22	117.77	98.59	105.55	130.84
peak958	chr1	88008520	88170516	.	161997	3856.82	3872.78	3867.4	3817.28	3447.62	3349.79	3341.69	3389.48
peak959	chr1	88178927	88217960	.	39034	1221.4	1190.39	1177.55	1215.57	1053.62	1075.7	1059.71	977.69
peak960	chr1	88221950	88223300	.	1351	55.03	54.92	57.78	56.85	44.05	64.63	41.16	39.15
peak961	chr1	88224760	88259253	.	34494	634.67	565.2	586.03	555.8	506.13	499.51	662.85	574.87
peak962	chr1	88277283	88359094	.	81812	4181.7	4310.41	4278.26	4353.63	4315.15	4268.85	4183.97	3968.47
peak963	chr1	88361671	88457422	.	95752	3385.48	3480.77	3429.94	3482.9	3658.89	3589.69	3230.86	3381.24
peak964	chr1	88457784	88504074	.	46291	285.82	300.77	291.64	291.74	233.74	259.61	283.93	265.8
peak965	chr1	88513619	88565533	.	51915	281.38	304.99	298.97	306.7	292.17	287	294.48	279.19
peak966	chr1	88590910	88598792	.	7883	7.99	5.91	14.67	11.22	10.79	10.95	20.05	10.3
peak967	chr1	88610854	88621311	.	10458	16.87	15.21	18.34	16.46	20.68	20.81	21.11	23.7
peak968	chr1	88660022	88693352	.	33331	28.4	33.79	41.27	26.18	32.36	37.24	49.61	60.78
peak969	chr1	88706680	88924002	.	217323	4760.44	4826.61	4810.18	4836.86	4498.54	4638	4396.12	4532.01
peak970	chr1	88935090	89007075	.	71986	1355.44	1250.37	1328.87	1361.44	1138.12	1203.87	1207.48	1145.62
peak971	chr1	89011630	89041935	.	30306	629.34	635.33	666.73	627.61	563.67	593.72	581.58	545
peak972	chr1	89045556	89082573	.	37018	1174.36	1280.79	1262.84	1182.66	1352.08	1316.69	1263.42	1296.04
peak973	chr1	89086883	89102995	.	16113	421.63	416.51	420.03	424.89	427.92	433.79	428.53	401.79
peak974	chr1	89116077	89142442	.	26366	438.5	441.86	428.28	380.01	410.84	430.5	400.03	398.7
peak975	chr1	89146628	89151427	.	4800	43.49	67.59	64.2	68.07	66.53	73.39	66.5	54.6
peak976	chr1	89156038	89200397	.	44360	1101.57	1042.54	1125.28	1071.2	1041.03	1013.26	1030.16	946.79
peak977	chr1	89203313	89216418	.	13106	252.09	262.75	277.88	252.09	234.64	224.56	220.6	242.11
peak978	chr1	89221517	89257357	.	35841	737.63	712.21	689.66	694.93	644.58	612.34	689.24	618.14
peak979	chr1	89261670	89284058	.	22389	462.46	464.67	414.53	469.02	409.04	425.02	415.86	396.64
peak980	chr1	89286712	89330228	.	43517	1510.77	1606.9	1454.52	1456.45	1548.06	1483.2	1472.41	1459.85
peak981	chr1	89334027	89351391	.	17365	200.61	234.87	204.51	213.94	195.08	185.13	200.54	179.26
peak982	chr1	89356339	89362969	.	6631	58.58	58.29	47.69	62.84	41.35	46.01	63.33	39.15
peak983	chr1	89366070	89374564	.	8495	90.54	106.45	113.72	100.99	81.81	75.58	72.83	82.42
peak984	chr1	89376093	89382430	.	6338	83.44	75.19	84.37	81.54	61.13	62.44	72.83	74.18
peak985	chr1	89385611	89399334	.	13724	152.68	175.73	144.9	166.81	140.24	120.5	159.38	119.51
peak986	chr1	89409949	89439274	.	29326	343.52	337.09	335.66	323.16	281.38	308.91	305.04	259.62
peak987	chr1	89441055	89467378	.	26324	881.43	790.78	836.39	832.57	916.07	907.01	879.22	887.03
peak988	chr1	89484015	89501251	.	17237	385.24	337.94	378.76	346.35	344.31	389.97	359.92	337.92
peak989	chr1	89504645	89510799	.	6155	92.32	89.55	80.7	90.51	77.31	96.4	102.38	78.3
peak990	chr1	89513124	89553239	.	40116	492.64	489.17	468.64	522.88	406.34	434.88	439.08	448.15
peak991	chr1	89556451	89560115	.	3665	67.46	74.35	74.28	64.33	65.63	53.68	72.83	54.6
peak992	chr1	89571871	89627136	.	55266	2077.09	2055.51	1991.02	2066.1	2342.77	2407.73	2233.42	2260.34
peak993	chr1	89638196	89663496	.	25301	316.89	333.71	339.33	301.46	321.84	328.63	287.09	290.53
peak994	chr1	89692069	89700553	.	8485	77.23	91.24	76.12	77.05	68.32	69.01	60.16	80.36
peak995	chr1	89742611	89751329	.	8719	47.93	61.67	65.11	49.37	45.85	50.39	53.83	58.72
peak996	chr1	89753844	89763258	.	9415	81.66	77.73	56.86	85.28	75.52	65.73	69.66	71.09
peak997	chr1	89812563	89819644	.	7082	48.82	43.09	60.53	43.39	43.15	43.82	53.83	54.6
peak998	chr1	89870081	89874580	.	4500	43.49	45.62	36.68	32.91	21.58	26.29	27.44	22.67
peak999	chr1	89918704	89973004	.	54301	2629.21	2449.21	2446.82	2485.76	3126.68	3087.99	2984.93	2999.02
peak1000	chr1	89978746	89997952	.	19207	621.35	606.6	610.79	614.15	642.78	632.06	613.24	668.62
peak1001	chr1	90015712	90022652	.	6941	72.79	56.6	45.85	52.36	47.65	44.91	42.22	44.3
peak1002	chr1	90032540	90039922	.	7383	77.23	92.93	91.71	77.8	55.74	65.73	82.33	76.24
peak1003	chr1	90047219	90061282	.	14064	222.8	236.56	220.1	215.44	218.45	191.7	242.76	234.89
peak1004	chr1	90065692	90072979	.	7288	60.36	50.69	40.35	33.66	36.86	32.86	44.33	38.12
peak1005	chr1	90116263	90122704	.	6442	60.36	61.67	59.61	54.61	57.54	51.48	52.77	53.57
peak1006	chr1	90140964	90145579	.	4616	36.39	40.55	35.77	26.18	28.77	16.43	30.61	21.63
peak1007	chr1	90151415	90163422	.	12008	138.47	141.93	154.07	148.86	131.25	122.69	148.82	161.75
peak1008	chr1	90199183	90210311	.	11129	551.23	533.94	569.52	501.94	591.53	589.34	539.36	625.35
peak1009	chr1	90222164	90227474	.	5311	31.96	36.33	34.85	45.63	38.66	35.05	39.05	34
peak1010	chr1	90349071	90353278	.	4208	35.51	43.09	29.35	29.92	19.78	32.86	39.05	29.88
