peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K27ac_Rep1_S5	Arm_P14_Day30_H3K27ac_Rep2_S6	Arm_P14_Day30_H3K27ac_Rep3_S7	Arm_P14_Day30_H3K27ac_Rep4_S8
peak8392	chr4	98113462	98114448	.	987	7.38	5.97	4.26	9.59
peak8393	chr4	98130742	98132757	.	2016	3.28	1	4.26	1.6
peak8396	chr4	98281042	98284141	.	3100	144.24	146.28	142.26	139.88
peak8398	chr4	98381912	98383852	.	1941	68.84	75.63	64.74	66.34
peak8399	chr4	98394939	98396808	.	1870	13.11	10.95	17.04	16.79
peak8400	chr4	98435108	98438118	.	3011	299.96	320.41	315.19	310.12
peak8401	chr4	98922124	98926483	.	4360	282.75	280.61	287.08	329.31
peak8403	chr4	99099490	99101485	.	1996	4.92	1.99	2.56	0.8
peak8404	chr4	99193551	99195135	.	1585	3.28	3.98	7.67	5.6
peak8405	chr4	99715024	99716804	.	1781	20.49	23.88	24.7	23.18
peak8406	chr4	99828112	99830157	.	2046	108.18	116.42	109.89	115.1
peak8407	chr4	99928592	99930855	.	2264	150.8	194.04	170.38	160.66
peak8408	chr4	99941626	99942842	.	1217	30.32	36.82	23.85	23.18
peak8411	chr4	101147965	101149967	.	2003	45.08	46.77	56.22	57.55
peak8412	chr4	101159254	101161305	.	2052	23.77	24.88	21.3	33.57
peak8413	chr4	101167366	101170833	.	3468	348.31	394.05	361.2	358.88
peak8414	chr4	101174838	101177225	.	2388	267.99	286.58	248.75	259.77
peak8415	chr4	101182231	101183298	.	1068	145.88	142.3	133.74	128.69
peak8416	chr4	101184693	101185917	.	1225	199.15	192.05	161.86	190.23
peak8417	chr4	101186941	101188947	.	2007	370.44	364.2	352.68	352.49
peak8418	chr4	101194078	101197009	.	2932	240.13	218.92	223.19	266.96
peak8419	chr4	101206903	101208131	.	1229	39.34	48.76	45.15	51.15
peak8420	chr4	101212510	101214144	.	1635	174.56	155.23	148.23	160.66
peak8421	chr4	101215921	101219260	.	3340	372.9	404	346.71	399.64
peak8422	chr4	101234525	101237251	.	2727	179.48	147.27	129.49	184.64
peak8423	chr4	101243551	101246599	.	3049	358.14	344.29	357.79	350.89
peak8424	chr4	101252571	101255912	.	3342	368.8	390.07	372.27	401.24
peak8425	chr4	101260579	101262438	.	1860	183.58	170.16	199.34	175.84
peak8426	chr4	101263024	101265635	.	2612	205.71	204.98	208.71	220.6
peak8427	chr4	101283387	101284652	.	1266	15.57	9.95	12.78	13.59
peak8428	chr4	101291714	101294097	.	2384	395.84	364.2	407.2	375.66
peak8429	chr4	101298026	101299750	.	1725	168.83	162.2	152.49	162.26
peak8430	chr4	101300682	101301688	.	1007	23.77	30.85	32.37	37.57
peak8431	chr4	101319089	101321283	.	2195	44.26	32.84	38.33	37.57
peak8432	chr4	101355350	101358441	.	3092	132.77	164.19	132.04	168.65
peak8433	chr4	101507459	101509632	.	2174	13.11	13.93	16.19	13.59
peak8435	chr4	101646244	101648959	.	2716	136.05	157.22	138	140.67
peak8436	chr4	102104251	102105502	.	1252	4.1	1.99	4.26	4.8
peak8437	chr4	102278492	102280240	.	1749	23.77	22.89	28.11	13.59
peak8438	chr4	102289663	102291170	.	1508	11.47	12.94	17.04	11.99
peak8441	chr4	102504964	102508047	.	3084	459.77	469.67	444.68	486.77
peak8442	chr4	102510651	102512437	.	1787	88.51	101.5	104.78	112.7
peak8443	chr4	102516807	102519199	.	2393	349.95	367.18	328.82	366.87
peak8444	chr4	102557565	102559193	.	1629	2.46	8.96	11.93	5.6
peak8445	chr4	102566964	102574810	.	7847	991.66	1052.79	937.06	971.13
peak8446	chr4	102578626	102580665	.	2040	109.82	104.48	101.37	110.3
peak8447	chr4	102586369	102588459	.	2091	64.74	54.73	37.48	51.95
peak8448	chr4	102603596	102604599	.	1004	34.42	55.72	30.67	47.96
peak8449	chr4	102605691	102609396	.	3706	640.07	630.87	595.46	610.66
peak8450	chr4	102629301	102630336	.	1036	26.23	24.88	19.59	17.58
peak8452	chr4	102634764	102636128	.	1365	17.21	20.9	20.45	24.78
peak8453	chr4	102711087	102712374	.	1288	13.11	22.89	29.82	11.19
peak8455	chr4	102930158	102931390	.	1233	6.56	10.95	15.33	7.19
peak8456	chr4	102955265	102956364	.	1100	12.29	9.95	6.82	7.19
peak8457	chr4	102978365	102979769	.	1405	49.99	48.76	38.33	45.56
peak8458	chr4	102988901	102991693	.	2793	69.66	76.62	90.3	95.91
peak8459	chr4	103006426	103007846	.	1421	21.31	19.9	38.33	27.18
peak8460	chr4	103038415	103040395	.	1981	11.47	14.93	17.04	13.59
peak8461	chr4	103093332	103094577	.	1246	50.81	53.73	39.19	40.76
peak8462	chr4	103113096	103115313	.	2218	122.93	154.24	140.56	150.27
peak8463	chr4	103119705	103123643	.	3939	332.74	361.21	353.53	388.45
peak8464	chr4	103149683	103151229	.	1547	25.41	25.87	35.78	30.37
peak8465	chr4	103153250	103155507	.	2258	58.19	53.73	61.34	57.55
peak8466	chr4	103174036	103175756	.	1721	28.68	24.88	17.04	35.17
peak8467	chr4	103213516	103216377	.	2862	112.28	118.41	116.71	110.3
peak8468	chr4	103313068	103315201	.	2134	82.77	74.63	87.74	85.52
peak8469	chr4	103340950	103342193	.	1244	13.11	9.95	17.04	5.6
peak8470	chr4	103349827	103351770	.	1944	28.68	32.84	24.7	20.78
peak8471	chr4	103710876	103712659	.	1784	10.65	5.97	9.37	13.59
peak8473	chr4	106232183	106233892	.	1710	9.02	8.96	9.37	7.99
peak8474	chr4	106280870	106282317	.	1448	57.37	59.7	56.22	39.96
peak8475	chr4	106289732	106290711	.	980	10.65	11.94	8.52	8.79
peak8476	chr4	106292105	106294395	.	2291	123.75	123.39	90.3	124.69
peak8477	chr4	106312675	106316337	.	3663	213.9	180.11	172.93	206.22
peak8478	chr4	106316914	106317540	.	627	21.31	27.86	21.3	27.98
peak8479	chr4	106321569	106324106	.	2538	104.08	113.44	110.74	99.11
peak8480	chr4	106332971	106334509	.	1539	22.95	24.88	28.11	27.98
peak8481	chr4	106529113	106530456	.	1344	22.95	27.86	20.45	15.19
peak8482	chr4	106560312	106562485	.	2174	29.5	33.83	36.63	28.77
peak8483	chr4	106589441	106591465	.	2025	54.91	39.8	57.93	47.96
peak8485	chr4	106613924	106615695	.	1772	12.29	12.94	18.74	15.19
peak8486	chr4	106650501	106651897	.	1397	59.01	44.78	52.82	39.17
peak8487	chr4	106678061	106679528	.	1468	33.6	33.83	34.93	42.36
peak8488	chr4	106786082	106788535	.	2454	39.34	42.79	51.96	39.17
peak8489	chr4	106794004	106796084	.	2081	44.26	57.71	60.48	35.97
peak8490	chr4	106803443	106805588	.	2146	79.5	102.49	104.78	94.32
peak8491	chr4	106827263	106829235	.	1973	53.27	58.71	63.04	65.54
peak8492	chr4	106838928	106843309	.	4382	131.95	149.26	138.86	149.47
peak8493	chr4	106868838	106870937	.	2100	29.5	19.9	30.67	20.78
peak8494	chr4	106882540	106884043	.	1504	8.2	12.94	7.67	11.19
peak8495	chr4	106908096	106911157	.	3062	146.7	144.29	138	151.07
peak8496	chr4	106919763	106921293	.	1531	35.24	24.88	27.26	31.17
peak8497	chr4	106934169	106936201	.	2033	45.89	43.78	60.48	47.96
peak8498	chr4	106941108	106943018	.	1911	18.03	20.9	15.33	20.78
peak8499	chr4	106949018	106951085	.	2068	20.49	41.79	28.96	27.18
peak8500	chr4	106957290	106958836	.	1547	15.57	18.91	22.15	20.78
peak8501	chr4	106968709	106971690	.	2982	91.79	99.51	86.89	97.51
peak8502	chr4	106972341	106973459	.	1119	6.56	8.96	5.11	6.39
peak8503	chr4	106987212	106988421	.	1210	38.52	18.91	29.82	27.98
peak8504	chr4	106995188	106997158	.	1971	2.46	4.98	9.37	7.19
peak8505	chr4	107005223	107006647	.	1425	18.03	18.91	12.78	19.98
peak8507	chr4	107066087	107067816	.	1730	92.61	84.58	74.97	75.93
peak8509	chr4	107177494	107180128	.	2635	140.96	140.31	147.37	161.46
peak8510	chr4	107195265	107197686	.	2422	51.63	50.75	59.63	56.75
peak8511	chr4	107201427	107203632	.	2206	41.8	31.84	40.89	30.37
peak8512	chr4	107209552	107211774	.	2223	88.51	99.51	96.26	88.72
peak8513	chr4	107252910	107254790	.	1881	54.09	41.79	42.59	53.55
peak8514	chr4	107259171	107260786	.	1616	9.02	12.94	10.22	7.19
peak8515	chr4	107266772	107268112	.	1341	9.02	7.96	6.82	8.79
peak8516	chr4	107313306	107315205	.	1900	96.71	109.46	94.56	83.13
peak8518	chr4	107367321	107368774	.	1454	59.83	47.76	58.78	50.36
peak8520	chr4	107801359	107804417	.	3059	48.35	41.79	51.11	59.95
peak8522	chr4	107879092	107880793	.	1702	104.08	102.49	86.04	111.1
peak8523	chr4	107889193	107890975	.	1783	155.71	170.16	155.89	161.46
peak8524	chr4	107922556	107924178	.	1623	77.86	80.6	76.67	66.34
peak8527	chr4	107995971	107998108	.	2138	47.53	58.71	79.22	64.74
peak8528	chr4	108057621	108059587	.	1967	29.5	32.84	40.89	31.17
peak8529	chr4	108069935	108072190	.	2256	90.97	94.53	86.04	98.31
peak8530	chr4	108080601	108083929	.	3329	157.35	180.11	140.56	156.66
peak8531	chr4	108117835	108119264	.	1430	59.01	60.7	65.59	67.14
peak8533	chr4	108299933	108302229	.	2297	168.83	162.2	166.12	160.66
peak8534	chr4	108308931	108311605	.	2675	210.62	258.72	214.67	217.41
peak8535	chr4	108317383	108319715	.	2333	240.95	244.79	230.01	217.41
peak8536	chr4	108326871	108329095	.	2225	156.53	166.18	143.97	151.07
peak8537	chr4	108348805	108351004	.	2200	179.48	179.11	184.86	200.62
peak8538	chr4	108433406	108435176	.	1771	49.17	44.78	48.56	49.56
peak8539	chr4	108454404	108456709	.	2306	156.53	120.4	120.97	131.88
peak8540	chr4	108457994	108462192	.	4199	228.65	220.91	222.34	228.6
peak8541	chr4	108538834	108540326	.	1493	23.77	24.88	40.89	35.97
peak8543	chr4	108578207	108580151	.	1945	153.26	131.35	160.15	148.67
peak8544	chr4	108618789	108621035	.	2247	156.53	154.24	130.34	162.26
peak8545	chr4	108638127	108639347	.	1221	19.67	9.95	13.63	15.19
peak8546	chr4	108825348	108827007	.	1660	54.91	43.78	35.78	39.96
peak8547	chr4	108832446	108835395	.	2950	245.87	247.77	235.12	242.98
peak8548	chr4	108847140	108849194	.	2055	106.54	124.38	115	121.49
peak8549	chr4	108999778	109002279	.	2502	235.21	221.9	212.97	218.21
peak8550	chr4	109048573	109049937	.	1365	13.93	6.97	8.52	9.59
peak8551	chr4	109078869	109081548	.	2680	135.23	144.29	126.93	133.48
peak8552	chr4	109102485	109103673	.	1189	26.23	26.87	26.41	36.77
peak8553	chr4	109116621	109120731	.	4111	303.23	308.47	262.38	289.34
peak8554	chr4	109132490	109135297	.	2808	38.52	42.79	53.67	41.56
peak8555	chr4	109136201	109137471	.	1271	13.93	15.92	10.22	13.59
peak8556	chr4	109200847	109202807	.	1961	136.05	125.38	115	127.09
peak8557	chr4	109229311	109230569	.	1259	4.1	4.98	4.26	8.79
peak8558	chr4	109273087	109274750	.	1664	12.29	16.92	11.07	11.99
peak8559	chr4	109279552	109282553	.	3002	56.55	56.72	69.85	65.54
peak8560	chr4	109360162	109362245	.	2084	23.77	29.85	29.82	25.58
peak8561	chr4	109475090	109477315	.	2226	84.41	93.54	88.6	101.51
peak8562	chr4	109656074	109658511	.	2438	32.78	15.92	39.19	23.18
peak8563	chr4	109664333	109668027	.	3695	269.63	257.72	304.12	298.93
peak8564	chr4	109675660	109678040	.	2381	164.73	162.2	169.52	203.82
peak8567	chr4	109738336	109739882	.	1547	31.14	22.89	29.82	33.57
peak8568	chr4	109759830	109762508	.	2679	314.71	319.42	277.71	306.13
peak8569	chr4	109907049	109908308	.	1260	9.83	5.97	5.96	9.59
peak8571	chr4	111414420	111416608	.	2189	6.56	2.99	5.96	5.6
peak8572	chr4	111439763	111441077	.	1315	1.64	0	4.26	0.8
peak8573	chr4	111441620	111442674	.	1055	0.82	1.99	2.56	2.4
peak8574	chr4	111718576	111723299	.	4724	517.14	505.5	442.98	481.97
peak8576	chr4	114651434	114653755	.	2322	295.04	293.55	276.01	277.35
peak8578	chr4	114908098	114910352	.	2255	70.48	77.62	78.37	83.93
peak8579	chr4	114985499	114987845	.	2347	163.91	171.15	176.34	179.04
peak8580	chr4	114999045	115000623	.	1579	155.71	154.24	141.41	146.27
peak8581	chr4	115031203	115032688	.	1486	34.42	26.87	35.78	25.58
peak8582	chr4	115074437	115076346	.	1910	25.41	27.86	20.45	37.57
peak8583	chr4	115095674	115097435	.	1762	35.24	35.82	29.82	39.96
peak8584	chr4	115279835	115281961	.	2127	14.75	7.96	11.93	15.99
peak8585	chr4	115613294	115614697	.	1404	24.59	16.92	26.41	25.58
peak8586	chr4	115731626	115733434	.	1809	60.65	42.79	41.74	53.55
peak8587	chr4	115737017	115738601	.	1585	101.62	118.41	113.3	79.13
peak8588	chr4	115784195	115786465	.	2271	102.44	91.55	97.11	95.12
peak8589	chr4	115827148	115829085	.	1938	130.31	104.48	123.52	129.48
peak8590	chr4	115838426	115840327	.	1902	65.56	61.69	53.67	70.34
peak8591	chr4	116009690	116011363	.	1674	115.56	98.51	101.37	102.31
peak8592	chr4	116014796	116018514	.	3719	135.23	169.16	123.52	129.48
peak8593	chr4	116044856	116046983	.	2128	43.44	33.83	46.85	50.36
peak8594	chr4	116052442	116054688	.	2247	263.08	240.81	247.9	271.76
peak8595	chr4	116073980	116076896	.	2917	264.72	258.72	276.86	273.36
peak8596	chr4	116123158	116124726	.	1569	68.84	71.65	84.34	84.72
peak8597	chr4	116143562	116145262	.	1701	15.57	26.87	15.33	24.78
peak8598	chr4	116149555	116151472	.	1918	62.29	51.74	55.37	63.94
peak8600	chr4	116184590	116186517	.	1928	90.15	89.56	79.22	85.52
peak8601	chr4	116220194	116222611	.	2418	204.07	191.05	203.6	180.64
peak8603	chr4	116506886	116508855	.	1970	140.14	139.31	136.3	120.69
peak8604	chr4	116555382	116559278	.	3897	323.72	351.26	338.19	330.11
peak8605	chr4	116596528	116598584	.	2057	104.08	92.54	101.37	112.7
peak8606	chr4	116601132	116601947	.	816	12.29	20.9	17.89	13.59
peak8607	chr4	116625976	116628542	.	2567	171.29	174.14	166.97	160.66
peak8608	chr4	116650138	116652393	.	2256	191.78	194.04	212.97	184.64
peak8609	chr4	116674794	116676843	.	2050	20.49	22.89	31.52	25.58
peak8610	chr4	116684802	116686648	.	1847	114.74	102.49	116.71	135.08
peak8611	chr4	116699808	116701861	.	2054	144.24	123.39	148.23	140.67
peak8612	chr4	116707412	116709391	.	1980	63.11	62.69	79.22	60.75
peak8613	chr4	116720209	116721846	.	1638	42.62	46.77	41.74	46.36
peak8614	chr4	116734732	116735807	.	1076	11.47	9.95	5.11	5.6
peak8615	chr4	116738688	116740086	.	1399	18.03	15.92	24.7	18.38
peak8616	chr4	116745148	116747430	.	2283	17.21	5.97	10.22	10.39
peak8617	chr4	116806377	116808489	.	2113	188.5	168.17	161.86	156.66
peak8618	chr4	116823889	116825547	.	1659	118.02	87.57	102.23	121.49
peak8619	chr4	116993644	116996423	.	2780	54.91	65.67	63.04	59.15
peak8620	chr4	117018727	117020389	.	1663	46.71	34.83	40.04	40.76
peak8621	chr4	117033070	117035055	.	1986	39.34	27.86	26.41	31.17
peak8623	chr4	117120051	117121783	.	1733	177.02	194.04	183.15	201.42
peak8624	chr4	117123216	117127176	.	3961	585.98	555.25	566.5	614.65
peak8625	chr4	117133023	117134985	.	1963	82.77	88.56	79.22	89.52
peak8627	chr4	117154448	117156868	.	2421	81.96	105.48	87.74	73.53
peak8628	chr4	117181989	117183450	.	1462	44.26	36.82	37.48	40.76
peak8629	chr4	117189049	117190922	.	1874	194.23	182.1	224.04	200.62
peak8630	chr4	117201809	117203156	.	1348	125.39	120.4	94.56	139.88
peak8631	chr4	117210386	117211378	.	993	39.34	34.83	48.56	41.56
peak8632	chr4	117211916	117213481	.	1566	20.49	14.93	13.63	15.99
peak8633	chr4	117218286	117219165	.	880	27.05	24.88	28.11	27.18
peak8634	chr4	117219853	117221961	.	2109	204.07	204.98	197.64	197.42
peak8636	chr4	117287752	117290474	.	2723	114.74	117.42	103.08	143.07
peak8639	chr4	117549777	117551326	.	1550	22.95	26.87	14.48	33.57
peak8640	chr4	117622978	117625223	.	2246	24.59	25.87	19.59	32.77
peak8641	chr4	117681358	117682880	.	1523	59.01	54.73	54.52	51.95
peak8642	chr4	117700117	117701791	.	1675	10.65	14.93	17.04	11.99
peak8645	chr4	117891439	117892677	.	1239	19.67	24.88	20.45	19.18
peak8646	chr4	117914388	117916243	.	1856	101.62	111.45	91.15	96.71
peak8647	chr4	117968716	117970867	.	2152	9.02	7.96	11.07	11.19
peak8648	chr4	117972230	117973241	.	1012	8.2	2.99	0	4
peak8649	chr4	118007616	118009513	.	1898	9.02	11.94	5.11	3.2
peak8650	chr4	118078140	118079748	.	1609	7.38	6.97	11.93	7.19
peak8651	chr4	118112156	118114386	.	2231	13.11	3.98	9.37	3.2
peak8652	chr4	118133815	118136019	.	2205	45.08	41.79	40.04	43.96
peak8653	chr4	118160432	118163059	.	2628	51.63	31.84	39.19	28.77
peak8654	chr4	118178588	118181125	.	2538	345.85	324.39	345.01	313.32
peak8655	chr4	118256924	118258793	.	1870	1.64	3.98	1.7	1.6
peak8656	chr4	118260329	118261335	.	1007	1.64	0	5.11	0.8
peak8658	chr4	118325932	118328083	.	2152	19.67	20.9	26.41	16.79
peak8659	chr4	118359111	118361326	.	2216	64.74	73.64	82.63	78.33
peak8660	chr4	118408590	118410494	.	1905	108.18	100.5	97.11	102.31
peak8661	chr4	118427240	118429309	.	2070	109.82	89.56	104.78	105.51
peak8662	chr4	118436930	118438476	.	1547	104.9	87.57	89.45	102.31
peak8663	chr4	118620088	118621969	.	1882	49.99	43.78	57.08	48.76
peak8664	chr4	118999411	119000802	.	1392	15.57	25.87	23	26.38
peak8665	chr4	119105438	119106538	.	1101	59.83	54.73	60.48	55.15
peak8666	chr4	119108036	119110244	.	2209	109.82	100.5	103.93	111.9
peak8667	chr4	119115141	119116865	.	1725	49.17	40.8	47.71	55.15
peak8668	chr4	119124332	119128279	.	3948	813	779.14	817.8	775.31
peak8669	chr4	119172605	119174568	.	1964	69.66	62.69	67.3	77.53
peak8670	chr4	119194595	119196192	.	1598	54.91	43.78	47.71	52.75
peak8672	chr4	119231898	119233823	.	1926	42.62	48.76	55.37	55.15
peak8673	chr4	119273447	119275897	.	2451	43.44	39.8	49.41	35.97
peak8675	chr4	119291890	119295456	.	3567	227.84	232.85	255.56	230.99
peak8676	chr4	119319825	119321222	.	1398	49.17	39.8	43.45	38.37
peak8677	chr4	119358863	119360567	.	1705	49.17	89.56	59.63	53.55
peak8678	chr4	119421540	119423572	.	2033	82.77	89.56	82.63	89.52
peak8679	chr4	119463406	119464800	.	1395	42.62	45.77	44.3	43.96
peak8680	chr4	119538759	119541289	.	2531	54.91	74.63	69	73.53
peak8681	chr4	119564148	119565976	.	1829	100.8	68.66	78.37	83.93
peak8682	chr4	119613175	119615778	.	2604	42.62	47.76	49.41	39.96
peak8684	chr4	119732987	119733994	.	1008	27.86	24.88	28.11	15.19
peak8685	chr4	119738300	119739761	.	1462	29.5	15.92	28.96	29.57
peak8687	chr4	119875009	119876495	.	1487	27.05	17.91	33.22	19.18
peak8688	chr4	119878069	119878878	.	810	10.65	14.93	10.22	7.99
peak8690	chr4	119896600	119898786	.	2187	59.01	60.7	70.71	47.96
peak8691	chr4	119920717	119922173	.	1457	3.28	5.97	5.11	2.4
peak8693	chr4	119961733	119963383	.	1651	13.11	14.93	10.22	12.79
peak8694	chr4	120031453	120033794	.	2342	9.02	6.97	5.96	6.39
peak8695	chr4	120052694	120054214	.	1521	13.93	3.98	12.78	8.79
peak8696	chr4	120058428	120060064	.	1637	29.5	28.86	24.7	30.37
peak8698	chr4	120405605	120407637	.	2033	8.2	6.97	9.37	11.19
peak8699	chr4	120569000	120571007	.	2008	104.08	100.5	94.56	104.71
peak8703	chr4	120666315	120668150	.	1836	15.57	20.9	13.63	11.19
peak8705	chr4	120730781	120732168	.	1388	18.03	11.94	15.33	23.18
peak8706	chr4	120787886	120788802	.	917	21.31	9.95	9.37	6.39
peak8707	chr4	120796336	120797699	.	1364	45.08	48.76	52.82	41.56
peak8708	chr4	120797940	120800038	.	2099	94.25	67.66	81.78	79.93
peak8709	chr4	120814966	120816937	.	1972	144.24	146.28	114.15	126.29
peak8710	chr4	120824348	120826577	.	2230	146.7	149.26	161	143.87
peak8711	chr4	120881574	120883084	.	1511	7.38	7.96	7.67	13.59
peak8712	chr4	120924132	120926032	.	1901	132.77	121.4	132.89	127.89
peak8713	chr4	120950779	120952761	.	1983	113.92	117.42	119.26	118.29
peak8714	chr4	120958852	120960237	.	1386	25.41	26.87	34.08	31.17
peak8715	chr4	120972398	120979599	.	7202	1181.79	1145.33	1112.55	1086.23
peak8716	chr4	120983731	120985282	.	1552	163.09	160.21	172.93	172.65
peak8717	chr4	120986469	120987647	.	1179	40.16	47.76	49.41	52.75
peak8718	chr4	121001910	121003267	.	1358	64.74	74.63	77.52	68.74
peak8719	chr4	121004350	121005887	.	1538	74.58	60.7	76.67	69.54
peak8720	chr4	121014932	121017851	.	2920	131.13	106.47	114.15	108.7
peak8721	chr4	121073605	121075443	.	1839	59.83	40.8	58.78	68.74
peak8722	chr4	121096957	121098843	.	1887	140.14	120.4	114.15	117.5
peak8724	chr4	121195343	121198988	.	3646	327	339.32	316.9	308.52
peak8725	chr4	121207277	121209811	.	2535	112.28	114.43	131.19	130.28
peak8726	chr4	121213593	121215888	.	2296	109	90.55	86.04	93.52
peak8727	chr4	121230574	121232296	.	1723	25.41	21.89	25.56	20.78
peak8728	chr4	122835232	122836907	.	1676	67.2	62.69	63.89	59.15
peak8729	chr4	122847549	122848884	.	1336	31.96	29.85	26.41	28.77
peak8730	chr4	122854970	122856183	.	1214	25.41	23.88	23.85	27.98
peak8731	chr4	122870949	122875735	.	4787	617.94	639.83	576.72	613.05
peak8732	chr4	122878100	122879275	.	1176	133.59	145.28	132.89	140.67
peak8733	chr4	122883584	122887439	.	3856	601.55	571.17	575.87	586.68
peak8734	chr4	122922522	122923807	.	1286	16.39	20.9	24.7	25.58
peak8735	chr4	122931510	122935340	.	3831	559.75	578.14	571.61	554.71
peak8737	chr4	122954834	122956399	.	1566	41.8	41.79	47.71	53.55
peak8738	chr4	122960034	122961878	.	1845	43.44	46.77	53.67	48.76
peak8739	chr4	122982726	122984295	.	1570	77.04	97.52	65.59	94.32
peak8741	chr4	123016051	123018116	.	2066	44.26	45.77	47.71	47.96
peak8742	chr4	123025098	123026819	.	1722	21.31	22.89	28.96	15.19
peak8744	chr4	123138978	123140491	.	1514	40.98	44.78	42.59	44.76
peak8745	chr4	123147194	123148898	.	1705	9.02	7.96	6.82	5.6
peak8747	chr4	123235956	123237582	.	1627	18.85	21.89	23	16.79
peak8748	chr4	123282295	123288771	.	6477	193.41	220.91	204.45	207.81
peak8749	chr4	123305556	123306983	.	1428	31.14	33.83	23	28.77
peak8750	chr4	123389337	123390687	.	1351	27.05	22.89	23.85	22.38
peak8751	chr4	123415317	123417330	.	2014	176.2	154.24	155.89	142.27
peak8752	chr4	123531318	123532931	.	1614	57.37	29.85	30.67	46.36
peak8753	chr4	123547900	123549440	.	1541	24.59	26.87	24.7	27.18
peak8754	chr4	123562094	123565436	.	3343	619.58	620.92	600.57	609.86
peak8755	chr4	123571056	123573974	.	2919	413.87	411.96	407.2	399.64
peak8756	chr4	123575563	123576208	.	646	70.48	86.57	72.41	91.92
peak8757	chr4	123576545	123579062	.	2518	573.69	634.86	561.39	570.69
peak8758	chr4	123662825	123663987	.	1163	12.29	11.94	22.15	17.58
peak8759	chr4	123717091	123719152	.	2062	63.93	74.63	69.85	80.73
peak8760	chr4	123742752	123744869	.	2118	57.37	65.67	50.26	47.96
peak8761	chr4	123745904	123746883	.	980	22.95	20.9	24.7	31.17
peak8762	chr4	123747276	123751029	.	3754	148.34	149.26	165.26	146.27
peak8763	chr4	123904019	123906037	.	2019	53.27	44.78	57.08	60.75
peak8764	chr4	123916497	123919123	.	2627	70.48	61.69	80.93	73.53
peak8765	chr4	123927370	123928811	.	1442	27.86	20.9	27.26	30.37
peak8766	chr4	123939773	123941486	.	1714	11.47	12.94	18.74	23.18
peak8767	chr4	123951501	123952754	.	1254	12.29	12.94	11.93	11.19
peak8769	chr4	124645677	124647297	.	1621	29.5	35.82	31.52	33.57
peak8770	chr4	124690275	124691763	.	1489	48.35	47.76	54.52	46.36
peak8771	chr4	124692462	124694183	.	1722	86.87	76.62	101.37	79.13
peak8772	chr4	124695662	124696306	.	645	23.77	25.87	25.56	19.18
peak8773	chr4	124700065	124701913	.	1849	52.45	57.71	51.11	55.95
peak8774	chr4	124703285	124704443	.	1159	72.94	54.73	68.15	55.15
peak8775	chr4	124708254	124709728	.	1475	22.13	9.95	18.74	25.58
peak8776	chr4	124714285	124715522	.	1238	32.78	36.82	37.48	43.16
peak8777	chr4	124741070	124742406	.	1337	17.21	16.92	17.89	14.39
peak8778	chr4	124750947	124753478	.	2532	144.24	155.23	142.26	148.67
peak8779	chr4	124754911	124757641	.	2731	210.62	242.8	199.34	235.79
peak8780	chr4	124759218	124760122	.	905	9.83	10.95	16.19	8.79
peak8781	chr4	124766022	124767473	.	1452	51.63	56.72	45.15	43.96
peak8782	chr4	124801435	124803518	.	2084	74.58	74.63	73.26	71.14
peak8783	chr4	124817830	124819484	.	1655	18.85	13.93	18.74	15.19
peak8784	chr4	124849834	124852295	.	2462	64.74	51.74	91.15	89.52
peak8785	chr4	124927893	124929302	.	1410	14.75	12.94	28.11	11.19
peak8786	chr4	124931711	124932609	.	899	13.11	17.91	14.48	15.19
peak8787	chr4	124933363	124934348	.	986	16.39	14.93	13.63	8.79
peak8788	chr4	124936481	124938021	.	1541	48.35	74.63	57.08	63.14
peak8789	chr4	124968628	124969895	.	1268	9.83	9.95	11.07	12.79
peak8790	chr4	125029473	125031072	.	1600	55.73	45.77	80.08	38.37
peak8791	chr4	125065348	125067964	.	2617	63.11	58.71	57.93	64.74
peak8792	chr4	125083900	125086171	.	2272	63.93	65.67	48.56	61.55
peak8793	chr4	125122457	125126591	.	4135	308.97	319.42	331.38	321.31
peak8794	chr4	125126819	125128310	.	1492	109.82	109.46	115	112.7
peak8795	chr4	126046172	126048116	.	1945	84.41	88.56	66.45	75.93
peak8796	chr4	126057580	126059050	.	1471	35.24	36.82	28.96	26.38
peak8797	chr4	126089415	126091698	.	2284	46.71	49.75	45.15	46.36
peak8798	chr4	126095986	126097673	.	1688	55.73	56.72	65.59	55.15
peak8799	chr4	126102577	126104779	.	2203	114.74	100.5	112.45	131.08
peak8800	chr4	126108794	126112554	.	3761	561.39	591.07	547.76	557.1
peak8803	chr4	126147952	126149222	.	1271	28.68	20.9	23.85	27.18
peak8804	chr4	126162489	126164029	.	1541	25.41	28.86	30.67	28.77
peak8805	chr4	126183403	126184579	.	1177	20.49	32.84	21.3	16.79
peak8806	chr4	126193626	126195585	.	1960	95.89	90.55	100.52	85.52
peak8807	chr4	126197479	126198103	.	625	36.88	33.83	34.08	28.77
peak8808	chr4	126201576	126203870	.	2295	264.72	260.71	287.93	280.55
peak8809	chr4	126204380	126205402	.	1023	56.55	51.74	57.08	46.36
peak8810	chr4	126206827	126207562	.	736	31.96	42.79	22.15	46.36
peak8811	chr4	126211362	126213338	.	1977	51.63	58.71	48.56	62.34
peak8812	chr4	126234972	126236354	.	1383	27.86	30.85	24.7	27.18
peak8813	chr4	126237345	126238721	.	1377	34.42	37.81	37.48	40.76
